folder;file_name;number_of_words;pct_pol_neg;pct_pol_pos;pct_pol_neu;city;state;city_state;2000_education_var_01_quantity;2000_family_var_01_total;2000_family_var_01_suitable;2000_family_var_01_semi_suitable;2000_family_var_01_inappropriate;2000_family_var_02_quantity;2000_fertility_var_01_total;2000_fertility_var_01_has_children;2000_fertility_var_01_children_born;2000_fertility_var_01_children_borned_live;2000_fertility_var_01_children_borned_dead;2000_fertility_var_02_total;2000_fertility_var_02_married;2000_fertility_var_02_separated;2000_fertility_var_02_divorced;2000_fertility_var_02_widow;2000_fertility_var_02_single;2000_fertility_var_03_total;2000_work_var_01_total;2000_work_var_01_domestic_regular;2000_work_var_01_domestic_irregular;2000_work_var_01_other_regular;2000_work_var_01_military_and_gov;2000_work_var_01_other_irregular;2000_work_var_02_total;2000_work_var_02_regular;2000_work_var_02_military_and_gov;2000_work_var_02_irregular;2000_work_var_02_employers;2000_work_var_02_entrepreneur;2010_education_var_01_quantity;2010_family_var_01_total;2010_family_var_01_suitable;2010_family_var_01_semi_suitable;2010_family_var_01_inappropriate;2010_family_var_02_quantity;2010_fertility_var_01_total;2010_fertility_var_01_has_children;2010_fertility_var_01_children_born;2010_fertility_var_01_children_borned_live;2010_fertility_var_01_children_borned_dead;2010_fertility_var_02_total;2010_fertility_var_02_married;2010_fertility_var_02_separated;2010_fertility_var_02_divorced;2010_fertility_var_02_widow;2010_fertility_var_02_single;2010_fertility_var_03_total;2010_work_var_01_total;2010_work_var_01_main_regular;2010_work_var_01_main_irregular;2010_work_var_01_other_regular;2010_work_var_01_other_irregular;2010_work_var_02_total;2010_work_var_02_regular;2010_work_var_02_military_and_gov;2010_work_var_02_irregular;2010_work_var_02_entrepreneur;2010_work_var_02_employers;social_indicator_var_01_2000_total;social_indicator_var_01_2010_total;social_indicator_var_01_2000_15_to_24_years;social_indicator_var_01_2010_15_to_24_years;social_indicator_var_01_2000_25_to_59_years;social_indicator_var_01_2010_25_to_59_years;social_indicator_var_01_2000_60_to_more_years;social_indicator_var_01_2010_60_to_more_years;social_indicator_var_02_2000_suitable;social_indicator_var_02_2010_suitable;social_indicator_var_02_2000_semi_suitable;social_indicator_var_02_2010_semi_suitable;social_indicator_var_02_2000_inappropriate;social_indicator_var_02_2010_inappropriate;social_indicator_var_03_2000_responsable_illiterate;social_indicator_var_03_2010_responsable_illiterate;social_indicator_var_03_2000_inappropriate_residence;social_indicator_var_03_2010_inappropriate_residence;social_indicator_var_03_2000_responsable_illiterate_and_inappropriate_residence;social_indicator_var_03_2010_responsable_illiterate_and_inappropriate_residence;2000_enem_var_01_enem_score_mean;2000_enem_var_01_enem_score_std;2000_enem_var_01_enem_score_median;2010_enem_var_01_enem_score_mean;2010_enem_var_01_enem_score_std;2010_enem_var_01_enem_score_median
ciclo_3;8998-Santo Antônio de Jesus-BA.pdf;45543;0.015062559095806671;0.03230204279086131;0.9540866811794976;santo antonio de jesus;ba;santo antonio de jesus_ba;26718.0;19655.0;7514.0;11405.0;735.0;77119.0;33263.0;19208.0;71478.0;66424.0;5054.0;63036.0;20918.0;649.0;809.0;3074.0;37587.0;27643.0;19217.0;364.0;2004.0;8952.0;843.0;7055.0;152.0;200.0;300.0;150.0;900.0;151.0;29001.9644427;27449.21256434;14939.00096954;11965.43792906;544.77366574;90765.51616295;41402.13588897;25227.97586436;78320.11678560001;74410.11744387;3909.99934175;77627.51492667;23416.20549907;957.33704735;1842.82513892;3899.1337036;47512.01353773;37561.1266388;42860.72501437;22353.01187446;20507.71313991;22397.84362382;20462.88139056;837.3;791.64;1697.34;515.27;801.27;3653.76;16.85;12.38;5.53;2.6;16.09;10.76;51.62;41.66;48.45;62.64;38.19;25.97;13.37;11.39;28.81;16.24;16;12.25;8.57;4.61;54.25230769230769;15.176002934373155;51.21;508.436205882354;71.91684182605341;504.62
ciclo_3;9024-Ulianópolis-PA.pdf;17432;0.018944830357655432;0.02215971066077271;0.9596417704805098;ulianopolis;pa;ulianopolis_pa;5124.0;4147.0;0.0;2784.0;1363.0;19153.0;6427.0;4178.0;16041.0;14944.0;1097.0;13792.0;4055.0;66.0;39.0;226.0;9405.0;7660.0;4961.0;16.0;310.0;1631.0;363.0;2642.0;250.0;280.0;230.0;200.0;4000.0;300.0;13648.94821601;8519.70780296;358.24665982;6870.10565305;1291.35549009;43149.93211242;16224.47498304;8458.86608209;26639.65759257;25628.50584459;1011.151748;33584.75336944;7492.17355111;148.20571167;282.16630304;672.36380205;24989.84400157;15169.57531811;13136.42358293;7639.5521023;5496.87148063;7639.5521023;5496.87148063;1717.85;892.61;895.07;653.52;2375.62;103086.4;25.38;15.0;13.63;4.22;30.47;16.86;62.63;55.86;-;7.93;17.1;68.11;82.9;23.97;41.94;19.9;85.75;24.36;38.6;6.1;42.7475;2.485480335870708;42.7475;515.9248648648648;59.02121264716899;505.48
ciclo_3;9010-Aldeias Altas-MA.pdf;59605;0.02276277991499655;0.02414030607959413;0.9544072437717338;aldeias altas;ma;aldeias altas_ma;7690.0;4164.0;43.0;2451.0;1669.0;18827.0;6649.0;4142.0;20828.0;18992.0;1836.0;13954.0;2918.0;22.0;16.0;227.0;10770.0;6740.0;1790.0;34.0;259.0;393.0;273.0;830.0;100.0;151.0;322.0;140.0;960.0;60.0;8848.35805459;5795.00000001;248.46531787;4261.32671355;1285.20796859;23952.0;8704.72621454;5706.06494449;25248.78984626;23109.87444996;2138.91539627;18194.0606155;4788.29749865;165.93290311;142.38121823;682.86813149;12414.58086402;9134.49360214;7231.70992126;2000.52167556;5231.188245699999;2000.52167556;5231.188245699999;521.63;642.36;845.92;335.25;331.57;6141.94;49.08;37.68;27.14;13.24;56.58;42.18;82.21;77.69;2.59;5.81;23.22;40.91;74.18;53.28;70.57;53.6;78.97;59.57;59.63;36.66;0.0;0.0;0.0;466.0307878787879;61.4076376236849;458.64
ciclo_3;9034-Paraíba do Sul-RJ.pdf;15486;0.0143420117578655;0.029007041798565787;0.9571031720395374;paraiba do sul;rj;paraiba do sul_rj;9933.0;10352.0;5505.0;4579.0;268.0;37255.0;16142.0;10185.0;34521.0;32652.0;1870.0;31033.0;11066.0;810.0;1057.0;2218.0;15883.0;15475.0;10662.0;674.0;986.0;4848.0;721.0;3433.0;226.0;250.0;405.0;151.0;1000.0;300.0;12294.14225946;12825.99999997;8447.388262999999;4232.39587904;146.21585793;40945.0;18581.96213338;11598.99004579;31672.2035362;30360.627626200003;1311.57590992;35512.528065900005;11679.20930803;668.32680613;1529.46103916;2384.05429642;19251.47661616;17418.9233688;17212.25681154;11455.08612193;5757.17068961;11455.08612193;5757.17068961;972.59;949.93;2085.32;578.11;1059.88;4338.68;10.72;6.06;3.26;1.08;9.31;4.56;28.32;17.2;69.78;78.3;22.15;17.27;8.07;4.44;19.13;8.86;10.53;5.75;5.01;2.13;47.030080645161256;11.103368198852863;45.755;545.1532792207788;72.51305014452056;546.6299999999999
ciclo_3;9045-Governador Celso Ramos-SC.pdf;5177;0.0119853083317224;0.02513048521167601;0.9636574521554224;governador celso ramos;sc;governador celso ramos_sc;3160.0;3343.0;1706.0;1633.0;5.0;11579.0;4593.0;3210.0;10774.0;10370.0;404.0;9479.0;4630.0;110.0;113.0;380.0;4247.0;5880.0;3117.0;129.0;148.0;2129.0;200.0;511.0;320.0;352.0;330.0;200.0;1300.0;380.0;3364.29360573;4105.4425511;2701.25843943;1404.18411167;-;12972.99626553;5599.22020115;3839.63755859;11614.09455498;11255.59655218;358.49800285;11446.56169295;5106.0012186;196.89077557;293.49974462;650.67003533;5199.49991883;7177.77408895;6724.60452314;4730.30864492;1994.29587822;4730.30864492;1994.29587822;1054.22;1062.5;1284.86;736.7;1049.84;2099.21;10.03;7.75;1.99;1.39;9.16;5.65;32.88;27.27;58.38;68.59;41.26;31.24;0.36;0.17;10.25;6.12;0.41;0.12;0.16;0.0;39.47375;4.102404020815113;40.9325;551.9452941176472;59.47480630953081;555.6300000000001
ciclo_3;9016-Pirajuba-MG.pdf;13512;0.0176741422842715;0.026808257834546274;0.9589336105747809;pirajuba;mg;pirajuba_mg;776.0;826.0;489.0;317.0;20.0;2738.0;1141.0;739.0;2549.0;2394.0;154.0;2274.0;873.0;40.0;24.0;159.0;1178.0;1149.0;806.0;21.0;111.0;347.0;53.0;274.0;296.0;300.0;628.0;151.0;1000.0;400.0;1206.55542271;1510.3235117999998;1113.79517162;373.26511226;23.26322792;4616.86564437;1788.2701306;1251.06421331;3268.48808101;3178.34727827;90.14080271;3929.53961358;1475.90890103;82.93498498;115.69479346;155.41342008;2099.58751403;2202.81202799;2178.23350406;1489.39422239;688.83928167;1492.38212145;685.85138261;1274.64;1212.78;1318.37;579.05;1983.9;1500;12.43;9.01;3.91;2.89;11.02;8.25;28.49;23.66;70.94;84.2;11.86;6.37;17.19;9.43;14.87;10.34;18.22;8.17;4.09;0.72;0.0;0.0;0.0;495.668;60.769926218743905;499.28
ciclo_3;9018-Naviraí-MS.pdf;40637;0.014626445995609604;0.0291049009693412;0.9585871790444712;navirai;ms;navirai_ms;10776.0;9886.0;669.0;8927.0;289.0;36549.0;14642.0;9680.0;36171.0;34059.0;2111.0;29247.0;10936.0;495.0;575.0;1151.0;16090.0;15833.0;11999.0;365.0;1434.0;5827.0;1341.0;3031.0;250.0;300.0;390.0;151.0;1000.0;300.0;13735.93799911;14689.23386508;2986.91247958;11572.28995454;130.03143096;45999.66123937;19557.88238295;12963.467362700001;39053.48179462;37085.23516988;1968.24662479;39141.55409388;13893.79189454;692.04505654;1227.79700189;1781.19202754;21546.72811337;21264.52414541;22493.75326514;14482.0233479;8011.72991724;14501.01280922;7992.74045592;1104.71;1019.54;1805.59;683.1;1280.7;4179.42;15;10.11;3.73;1.11;15.08;8.79;48.23;37.86;8.17;25.18;81.69;69.16;10.14;5.66;20.99;9.77;11.69;6.49;3.17;0.81;45.72014705882353;12.297519981890293;43.4225;491.24792131844737;67.93070981636737;485.22
ciclo_3;9015-Nova Lima-MG.pdf;22943;0.012481997119539128;0.024222057347357398;0.964605245930258;nova lima;mg;nova lima_mg;21223.0;16759.0;11060.0;5642.0;57.0;64172.0;27553.0;16358.0;54088.0;50768.0;3320.0;53605.0;20893.0;1277.0;1208.0;3059.0;27168.0;24318.0;20235.0;1950.0;1751.0;12419.0;1216.0;2899.0;300.0;302.0;600.0;200.0;2600.0;350.0;25610.73528349;24187.39868442;18634.44989474;5552.94878968;-;80683.39868443;36720.84957736;21438.26405885;59759.18208118;57539.7369253;2219.44515589;70905.59073518;27554.74293493;1448.17110532;2569.01073448;3335.45373372;35998.21222673;33036.14917918;41970.12400557;32771.10381743;9199.02018814;32878.78485974;9091.33914587;2348.23;1717.39;5146.29;1043.16;3574.69;10086.56;5.27;2.87;1.44;0.58;4.64;2.01;18.55;10.71;81.91;87.68;17.14;12.2;0.94;0.12;8.03;3.6;1.26;0.18;0.2;0.02;61.19086956521738;12.34526851591542;61.18;561.1740505584938;80.69428065377599;558.22
ciclo_3;9014-Fronteira-MG.pdf;9080;0.015764524308235037;0.02281997574688568;0.9624076728034396;fronteira;mg;fronteira_mg;2650.0;2530.0;1602.0;878.0;49.0;8979.0;3631.0;2343.0;7604.0;7186.0;417.0;7412.0;2970.0;228.0;172.0;422.0;3620.0;3924.0;2732.0;68.0;276.0;1332.0;188.0;868.0;300.0;302.0;300.0;200.0;1800.0;480.0;3479.96817784;4576.00000001;3281.09471909;1294.90528092;-;13944.0;5709.06453303;3944.26525447;11367.68044705;10724.34527164;643.33517539;11775.03344276;4035.51390392;239.81403256;524.42181768;594.29088528;6380.99280332;6651.66578971;6797.57836029;4371.13408081;2426.44427948;4371.13408081;2426.44427948;960.37;1012.64;1073.02;575.3;1307.43;4075.42;11.03;10.53;3.99;3;9.39;10.37;35.3;24.89;79.64;87.23;11.38;11.98;8.97;0.79;15.03;14.31;9.15;0.22;1.74;0.0;54.44812500000001;12.79530576357335;53.2925;514.2156862745096;66.9231646099133;508.75
ciclo_3;9019-Paranhos-MS.pdf;28350;0.013242460625750407;0.024754573063069427;0.9631329896179108;paranhos;ms;paranhos_ms;2894.0;2260.0;7.0;1858.0;395.0;10184.0;3546.0;2328.0;9621.0;9219.0;402.0;7339.0;1971.0;54.0;40.0;243.0;5031.0;3910.0;2132.0;15.0;277.0;471.0;191.0;1178.0;180.0;300.0;398.0;151.0;1500.0;151.0;4814.46605042;3126.56521626;55.40117371;2336.16423507;734.99980748;12105.78919201;4422.85384849;2802.54434873;10676.01704253;10183.11131574;492.90572681;9012.4386359;1771.62733352;49.7535527;111.12559598;241.42510208;6838.50705162;4588.86084221;3459.41560327;1355.04602974;2104.36957353;1355.04602974;2104.36957353;822.32;830.21;1582.04;489.02;1102.32;4033.18;25.09;17.88;11.43;4.97;26.02;17.66;61.66;50.48;0.36;1.44;65.02;57.73;34.62;40.83;40.35;26.96;41.55;60.87;22.82;19.27;49.40125000000001;9.37908606193284;48.76000000000001;469.6831868131868;56.07107881333188;465.9
