city,quantity
agua branca,6590
anadia,6474
arapiraca,62908
atalaia,11441
barra de santo antonio,3730
barra de sao miguel,2327
batalha,4768
belem,2287
belo monte,2418
boca da mata,8279
branquinha,3490
cacimbinhas,3148
cajueiro,6135
campestre,2228
campo alegre,14582
campo grande,3228
canapi,5706
capela,6150
carneiros,2300
cha preta,2988
coite do noia,3884
colonia leopoldina,5633
coqueiro seco,1700
coruripe,17126
craibas,6725
delmiro gouveia,14173
dois riachos,3740
estrela de alagoas,5547
feira grande,6611
feliz deserto,1567
flexeiras,3905
girau do ponciano,10169
ibateguara,4505
igaci,8602
igreja nova,8089
inhapi,5594
jacare dos homens,1959
jacuipe,2047
japaratinga,2317
jaramataia,2366
joaquim gomes,6554
jundia,1549
junqueiro,9177
lagoa da canoa,7157
limoeiro de anadia,8522
maceio,269172
major isidoro,5852
mar vermelho,1619
maragogi,7780
maravilha,5078
marechal deodoro,11319
maribondo,5550
mata grande,7711
matriz de camaragibe,7788
messias,3987
minador do negrao,1738
monteiropolis,2334
murici,8225
novo lino,3283
olho d'agua das flores,6331
olho d'agua do casado,2625
olho d'agua grande,1890
olivenca,3533
ouro branco,4417
palestina,1780
palmeira dos indios,21875
pao de acucar,9407
pariconha,3377
paripueira,2629
passo de camaragibe,5069
paulo jacinto,2969
penedo,20788
piacabucu,5947
pilar,9953
pindoba,953
piranhas,6708
poco das trincheiras,4778
porto calvo,8138
porto de pedras,3200
porto real do colegio,6372
quebrangulo,3964
rio largo,19576
roteiro,1951
santa luzia do norte,2144
santana do ipanema,14321
santana do mundau,3639
sao bras,2564
sao jose da laje,6190
sao jose da tapera,10341
sao luis do quitunde,8785
sao miguel dos campos,18302
sao miguel dos milagres,1861
sao sebastiao,9281
satuba,4691
senador rui palmeira,4375
tanque d'arca,2524
taquarana,6157
teotonio vilela,13054
traipu,7476
uniao dos palmares,18345
vicosa,9160
