city,quantity
alvaraes,4410
amatura,2396
anama,2310
anori,3595
apui,4503
atalaia do norte,2748
autazes,8379
barcelos,5422
barreirinha,7677
benjamin constant,8368
beruri,2972
boa vista do ramos,3865
boca do acre,7836
borba,8874
caapiranga,3223
canutama,2518
carauari,7523
careiro,7718
careiro da varzea,5008
coari,18906
codajas,5263
eirunepe,9295
envira,4930
fonte boa,8683
guajara,4015
humaita,11230
ipixuna,4377
iranduba,10482
itacoatiara,23471
itamarati,2288
itapiranga,2876
japura,2700
jurua,1998
jutai,5829
labrea,9487
manacapuru,24037
manaquiri,4518
manaus,491790
manicore,11993
maraa,4271
maues,13638
nhamunda,5466
nova olinda do norte,7548
novo airao,3320
novo aripuana,5634
parintins,32865
pauini,4613
presidente figueiredo,6150
rio preto da eva,4969
santa isabel do rio negro,2997
santo antonio do ica,6906
sao gabriel da cachoeira,9356
sao paulo de olivenca,6588
sao sebastiao do uatuma,2391
silves,2994
tabatinga,13206
tapaua,4567
tefe,19580
tonantins,4501
uarini,2994
urucara,6331
urucurituba,4362
