city,quantity
abadia de goias,1549
abadiania,2914
acreuna,5728
adelandia,711
agua fria de goias,1287
agua limpa,586
aguas lindas de goias,28798
alexania,5488
aloandia,528
alto horizonte,822
alto paraiso de goias,2170
alvorada do norte,2694
amaralina,1028
americano do brasil,1365
amorinopolis,1260
anapolis,87625
anhanguera,353
anicuns,5776
aparecida de goiania,105411
aparecida do rio doce,720
apore,916
aracu,1223
aragarcas,5410
aragoiania,1951
araguapaz,2096
arenopolis,1127
aruana,1354
aurilandia,1288
avelinopolis,725
baliza,643
barro alto,2105
bela vista de goias,5582
bom jardim de goias,2239
bom jesus de goias,4885
bonfinopolis,1538
bonopolis,904
brazabrantes,791
britania,1619
buriti alegre,2255
buriti de goias,804
buritinopolis,1299
cabeceiras,2036
cachoeira alta,2233
cachoeira de goias,409
cachoeira dourada,2756
cacu,3154
caiaponia,3847
caldas novas,15633
caldazinha,834
campestre de goias,956
campinacu,1102
campinorte,2807
campo alegre de goias,1383
campos belos,5883
campos verdes,3155
carmo do rio verde,2240
castelandia,1037
catalao,20597
caturai,1311
cavalcante,2644
ceres,6832
cezarina,2217
chapadao do ceu,1199
cidade ocidental,14277
cocalzinho de goias,4038
colinas do sul,1199
corrego do ouro,899
corumba de goias,2585
corumbaiba,1954
cristalina,10484
cristianopolis,832
crixas,4816
crominia,1068
cumari,891
damianopolis,1279
damolandia,786
davinopolis,564
diorama,730
divinopolis de goias,1968
doverlandia,2332
edealina,1055
edeia,2798
estrela do norte,1176
faina,2041
fazenda nova,2025
firminopolis,3044
flores de goias,2419
formosa,25361
formoso,1796
goianapolis,2965
goiandira,1377
goianesia,15200
goiania,364918
goianira,5548
goias,8444
goiatuba,9154
gouvelandia,1153
guapo,3771
guaraita,893
guarani de goias,1612
guarinos,772
heitorai,943
hidrolandia,3445
hidrolina,1381
iaciara,4050
inaciolandia,1583
indiara,3359
inhumas,12772
ipameri,6880
ipora,10342
israelandia,863
itaberai,7342
itaguari,1257
itaguaru,1824
itaja,1832
itapaci,4197
itapirapua,3008
itapuranga,7697
itaruma,1363
itaucu,2547
itumbiara,24168
ivolandia,813
jandaia,1906
jaragua,9012
jatai,23522
jaupaci,1016
jesupolis,645
joviania,2020
jussara,6380
leopoldo de bulhoes,2025
luziania,43088
mairipotaba,752
mambai,1482
mara rosa,3696
marzagao,531
matrincha,1574
maurilandia,2546
mimoso de goias,772
minacu,11323
mineiros,11552
moipora,603
monte alegre de goias,2077
montes claros de goias,2258
montividiu,2356
montividiu do norte,1494
morrinhos,10447
morro agudo de goias,786
mossamedes,1838
mozarlandia,3618
mundo novo,2373
mutunopolis,1174
nazario,1951
neropolis,5861
niquelandia,12710
nova america,620
nova aurora,508
nova crixas,2914
nova gloria,2722
nova iguacu de goias,750
nova roma,1331
nova veneza,1886
novo brasil,1197
novo gama,24255
novo planalto,1206
orizona,3379
ouro verde de goias,1196
ouvidor,1341
padre bernardo,6303
palestina de goias,885
palmeiras de goias,5053
palmelo,579
palminopolis,948
panama,706
paranaiguara,2303
parauna,3025
perolandia,993
petrolina de goias,2685
pilar de goias,923
piracanjuba,6201
piranhas,3879
pirenopolis,5386
pires do rio,7975
planaltina,22742
pontalina,4853
porangatu,13972
porteirao,907
portelandia,1103
posse,8827
professor jamil,1165
quirinopolis,11230
rialma,3069
rianapolis,1145
rio quente,784
rio verde,35594
rubiataba,5655
sanclerlandia,2104
santa barbara de goias,1600
santa cruz de goias,892
santa fe de goias,1099
santa helena de goias,10493
santa isabel,957
santa rita do araguaia,1518
santa rita do novo destino,1053
santa rosa de goias,955
santa tereza de goias,1599
santa terezinha de goias,4042
santo antonio da barra,1315
santo antonio de goias,986
santo antonio do descoberto,16229
sao domingos,2889
sao francisco de goias,1641
sao joao da parauna,545
sao joao d'alianca,1913
sao luis de montes belos,7790
sao luiz do norte,1251
sao miguel do araguaia,6913
sao miguel do passa quatro,1086
sao patricio,536
sao simao,4287
senador canedo,16218
serranopolis,1509
silvania,5363
simolandia,2055
sitio d'abadia,954
taquaral de goias,1023
teresina de goias,1029
terezopolis de goias,1433
tres ranchos,928
trindade,24269
trombas,1158
turvania,1376
turvelandia,1026
uirapuru,1041
uruacu,10745
uruana,3784
urutai,948
valparaiso de goias,33121
varjao,896
vianopolis,3114
vicentinopolis,1775
vila boa,1107
vila propicio,1213
