city,quantity
acailandia,32612
afonso cunha,1771
agua doce do maranhao,3119
alcantara,8042
aldeias altas,7690
altamira do maranhao,3626
alto alegre do maranhao,6448
alto alegre do pindare,10718
alto parnaiba,3923
amapa do maranhao,2039
amarante do maranhao,11615
anajatuba,8263
anapurus,4100
apicum-acu,3855
araguana,4072
araioses,10264
arame,10280
arari,10486
axixa,4523
bacabal,32615
bacabeira,4523
bacuri,6357
bacurituba,2030
balsas,21298
barao de grajau,5015
barra do corda,26983
barreirinhas,13226
bela vista do maranhao,4021
belagua,2312
benedito leite,1894
bequimao,7475
bernardo do mearim,1892
boa vista do gurupi,2360
bom jardim,11943
bom jesus das selvas,5992
bom lugar,4061
brejo,9912
brejo de areia,3598
buriti,9724
buriti bravo,7491
buriticupu,15304
buritirana,5542
cachoeira grande,2866
cajapio,3809
cajari,4972
campestre do maranhao,4471
candido mendes,6004
cantanhede,6616
capinzal do norte,3525
carolina,8217
carutapera,7240
caxias,50505
cedral,3928
central do maranhao,2791
centro do guilherme,2150
centro novo do maranhao,5049
chapadinha,23229
cidelandia,4769
codo,37977
coelho neto,15847
colinas,12309
conceicao do lago-acu,3340
coroata,18264
cururupu,11842
davinopolis,5125
dom pedro,7590
duque bacelar,3769
esperantinopolis,7931
estreito,8333
feira nova do maranhao,2535
fernando falcao,1372
formosa da serra negra,4495
fortaleza dos nogueiras,4423
fortuna,4904
godofredo viana,2803
goncalves dias,5363
governador archer,3130
governador edison lobao,4187
governador eugenio barros,6085
governador luiz rocha,2475
governador newton bello,4081
governador nunes freire,9593
graca aranha,2024
grajau,18598
guimaraes,4882
humberto de campos,6968
icatu,7368
igarape do meio,3788
igarape grande,4001
imperatriz,93769
itaipava do grajau,4916
itapecuru mirim,16260
itinga do maranhao,8084
jatoba,2210
jenipapo dos vieiras,3128
joao lisboa,10099
joselandia,4928
junco do maranhao,2147
lago da pedra,15598
lago do junco,3606
lago dos rodrigues,3076
lago verde,5158
lagoa do mato,2877
lagoa grande do maranhao,3228
lajeado novo,2192
lima campos,3517
loreto,3762
luis domingues,2350
magalhaes de almeida,4448
maracacume,5240
maraja do sena,2348
maranhaozinho,3317
mata roma,5016
matinha,8659
matoes,8712
matoes do norte,2824
milagres do maranhao,1807
mirador,6348
miranda do norte,6197
mirinzal,5290
moncao,9069
montes altos,3646
morros,6479
nina rodrigues,3604
nova colinas,1394
nova iorque,1359
nova olinda do maranhao,4921
olho d'agua das cunhas,4931
olinda nova do maranhao,4209
paco do lumiar,27935
palmeirandia,6639
paraibano,6396
parnarama,12496
passagem franca,4568
pastos bons,5218
paulino neves,4382
paulo ramos,7079
pedreiras,13881
pedro do rosario,6640
penalva,10911
peri mirim,4224
peritoro,5549
pindare-mirim,11139
pinheiro,27123
pio xii,9309
pirapemas,5524
pocao de pedras,9709
porto franco,6188
porto rico do maranhao,2740
presidente dutra,14159
presidente juscelino,3837
presidente medici,2159
presidente sarney,4709
presidente vargas,4528
primeira cruz,4001
raposa,5936
riachao,7358
ribamar fiquene,2426
rosario,12875
sambaiba,1763
santa filomena do maranhao,1847
santa helena,11137
santa ines,26148
santa luzia,21004
santa luzia do parua,7670
santa quiteria do maranhao,10654
santa rita,9624
santana do maranhao,3666
santo amaro do maranhao,3537
santo antonio dos lopes,4523
sao benedito do rio preto,6098
sao bento,11925
sao bernardo,8268
sao domingos do azeitao,2560
sao domingos do maranhao,11673
sao felix de balsas,1638
sao francisco do brejao,2684
sao francisco do maranhao,4080
sao joao batista,7929
sao joao do caru,4285
sao joao do paraiso,3988
sao joao do soter,5030
sao joao dos patos,7631
sao jose de ribamar,41114
sao jose dos basilios,2913
sao luis,328533
sao luis gonzaga do maranhao,7044
sao mateus do maranhao,11523
sao pedro da agua branca,4491
sao pedro dos crentes,1434
sao raimundo das mangabeiras,5688
sao raimundo do doca bezerra,3167
sao roberto,1384
sao vicente ferrer,7608
satubinha,3732
senador alexandre costa,3349
senador la rocque,6590
serrano do maranhao,3442
sitio novo,5153
sucupira do norte,3539
sucupira do riachao,1370
tasso fragoso,2189
timbiras,8858
timon,45413
trizidela do vale,5842
tufilandia,1937
tuntum,12789
turiacu,10774
turilandia,5427
tutoia,13550
urbano santos,6735
vargem grande,12037
viana,17393
vila nova dos martirios,2622
vitoria do mearim,10980
vitorino freire,10623
ze doca,17984
