city,quantity
acorizal,1934
agua boa,5384
alta floresta,14655
alto araguaia,3396
alto boa vista,1719
alto garcas,2448
alto paraguai,2818
alto taquari,1352
apiacas,1851
araguaiana,1056
araguainha,421
araputanga,4823
arenapolis,4057
aripuana,6143
barao de melgaco,2284
barra do bugres,8531
barra do garcas,17836
brasnorte,2558
caceres,29286
campinapolis,3817
campo novo do parecis,5400
campo verde,5174
campos de julio,713
canabrava do norte,1448
canarana,4490
carlinda,3585
castanheira,1744
chapada dos guimaraes,4654
claudia,3058
cocalinho,1463
colider,8194
comodoro,4305
confresa,4730
cotriguacu,1962
cuiaba,174649
denise,2557
diamantino,6295
dom aquino,2509
feliz natal,1816
figueiropolis d'oeste,1519
gaucha do norte,1115
general carneiro,1161
gloria d'oeste,802
guaranta do norte,8665
guiratinga,3847
indiavai,777
itauba,2310
itiquira,2271
jaciara,7865
jangada,2530
jauru,4082
juara,8345
juina,9832
juruena,1573
juscimeira,3805
lambari d'oeste,1423
lucas do rio verde,5741
luciara,1219
marcelandia,3679
matupa,3676
mirassol d'oeste,6723
nobres,5272
nortelandia,2745
nossa senhora do livramento,3140
nova bandeirantes,1585
nova brasilandia,1865
nova canaa do norte,2863
nova guarita,1524
nova lacerda,1076
nova marilandia,695
nova maringa,929
nova monte verde,1815
nova mutum,4170
nova olimpia,4652
nova ubirata,1252
nova xavantina,5836
novo horizonte do norte,1050
novo mundo,1383
novo sao joaquim,2733
paranaita,2590
paranatinga,4665
pedra preta,3821
peixoto de azevedo,8914
planalto da serra,840
pocone,10672
pontal do araguaia,1203
ponte branca,547
pontes e lacerda,12201
porto alegre do norte,2905
porto dos gauchos,1580
porto esperidiao,2660
porto estrela,1268
poxoreo,6043
primavera do leste,12232
querencia,2019
reserva do cabacal,898
ribeirao cascalheira,2595
ribeiraozinho,616
rio branco,1612
rondonopolis,50217
rosario oeste,6177
salto do ceu,1182
santa carmem,944
santa terezinha,2281
santo afonso,1342
santo antonio do leverger,4692
sao felix do araguaia,3493
sao jose do povo,877
sao jose do rio claro,3800
sao jose do xingu,1630
sao jose dos quatro marcos,5793
sao pedro da cipa,1314
sapezal,1958
sinop,22801
sorriso,10438
tabapora,2421
tangara da serra,18163
tapurah,3258
terra nova do norte,4886
tesouro,944
torixoreu,1682
uniao do sul,1124
varzea grande,73682
vera,2435
vila bela da santissima trindade,3618
vila rica,4033
