city,quantity
agua clara,2862
alcinopolis,1071
amambai,8732
anastacio,6685
anaurilandia,2312
angelica,2179
antonio joao,2487
aparecida do taboado,4629
aquidauana,13138
aral moreira,2407
bandeirantes,1753
bataguassu,5039
bataypora,2967
bela vista,6257
bodoquena,2906
bonito,4706
brasilandia,3506
caarapo,6053
camapua,4681
campo grande,210511
caracol,1065
cassilandia,6022
chapadao do sul,3626
corguinho,971
coronel sapucaia,3978
corumba,28324
costa rica,4839
coxim,9509
deodapolis,3329
dois irmaos do buriti,2728
douradina,1366
dourados,49438
eldorado,3277
fatima do sul,6103
gloria de dourados,2829
guia lopes da laguna,2990
iguatemi,4109
inocencia,2162
itapora,4247
itaquirai,4833
ivinhema,6376
japora,1726
jaraguari,1306
jardim,6855
jatei,1324
juti,1294
ladario,5138
laguna carapa,1673
maracaju,7974
miranda,6714
mundo novo,4904
navirai,10776
nioaque,4366
nova alvorada do sul,2830
nova andradina,10711
novo horizonte do sul,2054
paranaiba,10853
paranhos,2894
pedro gomes,2338
ponta pora,19298
porto murtinho,3794
ribas do rio pardo,3842
rio brilhante,6907
rio negro,1637
rio verde de mato grosso,4907
rochedo,1282
santa rita do pardo,1938
sao gabriel do oeste,5207
selviria,1739
sete quedas,2976
sidrolandia,6760
sonora,2720
tacuru,2591
taquarussu,1125
terenos,3165
tres lagoas,23901
vicentina,1692
