city,quantity
abadia dos dourados,1461
abaete,5837
abre campo,3625
acaiaca,1156
acucena,3072
agua boa,5436
agua comprida,625
aguanil,826
aguas formosas,5672
aguas vermelhas,3820
aimores,6317
aiuruoca,1419
alagoa,689
albertina,666
alem paraiba,9412
alfenas,18969
alfredo vasconcelos,1386
almenara,11418
alpercata,1926
alpinopolis,4312
alterosa,3083
alto caparao,1046
alto jequitiba,1690
alto rio doce,3354
alvarenga,1315
alvinopolis,4375
alvorada de minas,974
amparo do serra,1387
andradas,7943
andrelandia,3055
angelandia,2189
antonio carlos,2782
antonio dias,2968
antonio prado de minas,425
aracai,714
aracitaba,467
aracuai,11473
araguari,28328
arantina,812
araponga,1774
arapora,1628
arapua,611
araujos,1540
araxa,24939
arceburgo,2025
arcos,9394
areado,3169
argirita,913
aricanduva,1309
arinos,6403
astolfo dutra,2984
ataleia,5633
augusto de lima,1489
baependi,4258
baldim,2431
bambui,5489
bandeira,1625
bandeira do sul,1230
barao de cocais,7751
barao de monte alto,1727
barbacena,33116
barra longa,1868
barroso,4772
bela vista de minas,3311
belmiro braga,910
belo horizonte,705654
belo oriente,5615
belo vale,1803
berilo,4929
berizal,1527
bertopolis,1124
betim,100029
bias fortes,960
bicas,3526
biquinhas,752
boa esperanca,10300
bocaina de minas,1203
bocaiuva,14757
bom despacho,12525
bom jardim de minas,1705
bom jesus da penha,815
bom jesus do amparo,1447
bom jesus do galho,3893
bom repouso,2673
bom sucesso,4554
bonfim,1388
bonfinopolis de minas,2361
bonito de minas,2643
borda da mata,3366
botelhos,3092
botumirim,2294
bras pires,1471
brasilandia de minas,3619
brasilia de minas,10559
brasopolis,3938
braunas,1413
brumadinho,8175
bueno brandao,2329
buenopolis,3369
bugre,993
buritis,6633
buritizeiro,8612
cabeceira grande,1707
cabo verde,3067
cachoeira da prata,1256
cachoeira de minas,2622
cachoeira de pajeu,2572
cachoeira dourada,796
caetanopolis,2611
caete,10925
caiana,1099
cajuri,1209
caldas,2687
camacho,937
camanducaia,5005
cambui,6067
cambuquira,3564
campanario,1205
campanha,3969
campestre,4464
campina verde,5267
campo azul,1262
campo belo,12425
campo do meio,2815
campo florido,1455
campos altos,3801
campos gerais,7146
cana verde,1332
canaa,1414
canapolis,2895
candeias,3150
cantagalo,1225
caparao,1143
capela nova,1174
capelinha,9671
capetinga,1743
capim branco,2348
capinopolis,3959
capitao andrade,1286
capitao eneas,4485
capitolio,1730
caputira,2251
carai,6826
caranaiba,1038
carandai,6034
carangola,8788
caratinga,21452
carbonita,3247
careacu,1372
carlos chagas,6167
carmesia,684
carmo da cachoeira,2871
carmo da mata,2464
carmo de minas,3241
carmo do cajuru,5204
carmo do paranaiba,7893
carmo do rio claro,4981
carmopolis de minas,3313
carneirinho,2412
carrancas,1164
carvalhopolis,736
carvalhos,1169
casa grande,511
cascalho rico,662
cassia,4562
cataguases,18018
catas altas,1324
catas altas da noruega,965
catuji,2609
catuti,1816
caxambu,6422
cedro do abaete,376
central de minas,1705
centralina,2588
chacara,626
chale,1682
chapada do norte,5303
chapada gaucha,2465
chiador,674
cipotanea,1486
claraval,1210
claro dos pocoes,2736
claudio,5674
coimbra,1616
coluna,2993
comendador gomes,812
comercinho,3454
conceicao da aparecida,2126
conceicao da barra de minas,1021
conceicao das alagoas,4421
conceicao das pedras,694
conceicao de ipanema,1044
conceicao do mato dentro,5291
conceicao do para,1280
conceicao do rio verde,3178
conceicao dos ouros,2255
conego marinho,2446
confins,1551
congonhal,1931
congonhas,13198
congonhas do norte,1471
conquista,1820
conselheiro lafaiete,31196
conselheiro pena,5924
consolacao,367
contagem,164416
coqueiral,2507
coracao de jesus,8494
cordisburgo,2611
cordislandia,941
corinto,6795
coroaci,3025
coromandel,7007
coronel fabriciano,29881
coronel murta,3205
coronel pacheco,778
coronel xavier chaves,801
corrego danta,837
corrego do bom jesus,984
corrego fundo,1211
corrego novo,924
couto de magalhaes de minas,1438
crisolita,1525
cristais,2175
cristalia,2122
cristiano otoni,1279
cristina,2779
crucilandia,915
cruzeiro da fortaleza,995
cruzilia,3517
cuparaque,1201
curral de dentro,1963
curvelo,20348
datas,2004
delfim moreira,1915
delfinopolis,1673
delta,1500
descoberto,1062
desterro de entre rios,1545
desterro do melo,776
diamantina,15849
diogo de vasconcelos,1074
dionisio,2901
divinesia,895
divino,4042
divino das laranjeiras,1452
divinolandia de minas,2049
divinopolis,56129
divisa alegre,1769
divisa nova,1511
divisopolis,2152
dom bosco,1293
dom cavati,1538
dom joaquim,1238
dom silverio,1502
dom vicoso,841
dona eusebia,1370
dores de campos,1910
dores de guanhaes,1685
dores do indaia,3586
dores do turvo,1402
doresopolis,304
douradoquara,456
durande,1676
eloi mendes,5503
engenheiro caldas,2267
engenheiro navarro,2264
entre folhas,1137
entre rios de minas,3404
ervalia,4491
esmeraldas,12970
espera feliz,4833
espinosa,10158
espirito santo do dourado,881
estiva,2285
estrela dalva,780
estrela do indaia,880
estrela do sul,1686
eugenopolis,2391
ewbank da camara,1118
extrema,5586
fama,576
faria lemos,959
felicio dos santos,2012
felisburgo,2155
felixlandia,3607
fernandes tourinho,738
ferros,3207
fervedouro,1939
florestal,1653
formiga,16062
formoso,2339
fortaleza de minas,1110
fortuna de minas,809
francisco badaro,3436
francisco dumont,1304
francisco sa,7044
franciscopolis,2398
frei gaspar,1801
frei inocencio,2521
frei lagonegro,1010
fronteira,2650
fronteira dos vales,1311
fruta de leite,2128
frutal,12121
funilandia,1163
galileia,1810
gameleiras,2076
glaucilandia,946
goiabeira,931
goiana,939
goncalves,1001
gonzaga,1688
gouveia,3695
governador valadares,75260
grao mogol,4792
grupiara,439
guanhaes,8589
guape,3333
guaraciaba,2610
guaraciama,1674
guaranesia,5069
guarani,2196
guarara,1088
guarda-mor,1945
guaxupe,13368
guidoval,1776
guimarania,1539
guiricema,2135
gurinhata,1594
heliodora,1366
iapu,2313
ibertioga,1239
ibia,5560
ibiai,2360
ibiracatu,2241
ibiraci,2582
ibirite,39533
ibitiura de minas,800
ibituruna,749
icarai de minas,3333
igarape,8080
igaratinga,1743
iguatama,2583
ijaci,1250
ilicinea,2661
imbe de minas,1381
inconfidentes,1536
indaiabira,2451
indianopolis,1491
ingai,734
inhapim,5893
inhauma,1535
inimutaba,1837
ipaba,4606
ipanema,4226
ipatinga,69055
ipiacu,1215
ipuiuna,2080
irai de minas,1636
itabira,33094
itabirinha de mantena,2417
itabirito,11864
itacambira,1597
itacarambi,6539
itaguara,2558
itaipe,3219
itajuba,26437
itamarandiba,9672
itamarati de minas,954
itambacuri,7410
itambe do mato dentro,692
itamogi,2618
itamonte,3701
itanhandu,3521
itanhomi,3257
itaobim,6829
itapagipe,2903
itapecerica,5723
itapeva,1803
itatiaiucu,2468
itau de minas,4441
itauna,23363
itaverava,1596
itinga,4243
itueta,1348
ituiutaba,25218
itumirim,1767
iturama,8853
itutinga,1157
jaboticatubas,3819
jacinto,3708
jacui,1661
jacutinga,4453
jaguaracu,896
jaiba,8755
jampruca,1269
janauba,20840
januaria,21671
japaraiba,997
japonvar,2678
jeceaba,1396
jenipapo de minas,2327
jequeri,3512
jequitai,3124
jequitiba,1617
jequitinhonha,7050
jesuania,1229
joaima,4813
joanesia,1696
joao monlevade,20206
joao pinheiro,12214
joaquim felicio,1278
jordania,3013
jose goncalves de minas,1741
jose raydan,1037
josenopolis,1393
juatuba,5201
juiz de fora,137876
juramento,1304
juruaia,1750
juvenilia,2856
ladainha,5090
lagamar,2112
lagoa da prata,10666
lagoa dos patos,1418
lagoa dourada,2801
lagoa formosa,3843
lagoa grande,2197
lagoa santa,12088
lajinha,4996
lambari,4320
lamim,915
laranjal,1465
lassance,2069
lavras,24019
leandro ferreira,922
leme do prado,1905
leopoldina,14020
liberdade,1408
lima duarte,3803
limeira do oeste,1783
lontra,2620
luisburgo,1558
luislandia,2022
luminarias,1333
luz,5374
machacalis,2026
machado,9989
madre de deus de minas,1329
malacacheta,6344
mamonas,1708
manga,7833
manhuacu,17874
manhumirim,5002
mantena,7165
mar de espanha,2617
maravilhas,1533
maria da fe,4288
mariana,16639
marilac,1170
mario campos,3036
maripa de minas,620
marlieria,1273
marmelopolis,986
martinho campos,3287
martins soares,1352
mata verde,2061
materlandia,1634
mateus leme,6892
