city,quantity
abaetetuba,48206
abel figueiredo,2161
acara,16629
afua,9283
agua azul do norte,5291
alenquer,15564
almeirim,13078
altamira,25527
anajas,5286
ananindeua,144050
anapu,2750
augusto correa,10446
aurora do para,6220
aveiro,4595
bagre,4182
baiao,8643
bannach,1231
barcarena,26153
belem,462740
belterra,4540
benevides,13198
bom jesus do tocantins,3917
bonito,3215
braganca,33245
brasil novo,4586
brejo grande do araguaia,3327
breu branco,11311
breves,27074
bujaru,8103
cachoeira do arari,5793
cachoeira do piria,5373
cameta,38326
canaa dos carajas,3622
capanema,20929
capitao poco,17676
castanhal,47218
chaves,4038
colares,4506
conceicao do araguaia,14404
concordia do para,7877
cumaru do norte,1557
curionopolis,7212
curralinho,6351
curua,3683
curuca,10379
dom eliseu,14094
eldorado dos carajas,9607
faro,3859
floresta do araguaia,4602
garrafao do norte,8069
goianesia do para,7541
gurupa,7806
igarape-acu,11872
igarape-miri,19696
inhangapi,2713
ipixuna do para,7038
irituia,12668
itaituba,34932
itupiranga,16001
jacareacanga,5545
jacunda,13557
juruti,13038
limoeiro do ajuru,7071
mae do rio,9223
magalhaes barata,3154
maraba,62723
maracana,9699
marapanim,9273
marituba,26109
medicilandia,6156
melgaco,5068
mocajuba,8010
moju,18671
monte alegre,21771
muana,7130
nova esperanca do piria,5839
nova ipixuna,3800
nova timboteua,3954
novo progresso,5449
novo repartimento,13195
obidos,15255
oeiras do para,8228
oriximina,18408
ourem,5752
ourilandia do norte,6002
pacaja,8997
palestina do para,2745
paragominas,25357
parauapebas,28146
pau d'arco,2345
peixe-boi,2623
picarra,3441
placas,3950
ponta de pedras,6054
portel,11904
porto de moz,7973
prainha,9206
primavera,3656
quatipuru,4063
redencao,21737
rio maria,5095
rondon do para,12598
ruropolis,8406
salinopolis,12617
salvaterra,5750
santa barbara do para,4403
santa cruz do arari,1666
santa isabel do para,15877
santa luzia do para,6379
santa maria das barreiras,2870
santa maria do para,6804
santana do araguaia,8575
santarem,100399
santarem novo,2135
santo antonio do taua,7699
sao caetano de odivelas,5911
sao domingos do araguaia,7543
sao domingos do capim,8677
sao felix do xingu,8862
sao francisco do para,4702
sao geraldo do araguaia,9031
sao joao da ponta,1595
sao joao de pirabas,6418
sao joao do araguaia,4085
sao miguel do guama,15132
sao sebastiao da boa vista,6637
sapucaia,1278
senador jose porfirio,4975
soure,7703
tailandia,12001
terra alta,3193
terra santa,5492
tome-acu,15029
tracuateua,8114
trairao,4106
tucuma,8806
tucurui,27373
ulianopolis,5124
uruara,13561
vigia,15102
viseu,18569
vitoria do xingu,3270
xinguara,11214
