city,quantity
abatia,2101
adrianopolis,1993
agudos do sul,1877
almirante tamandare,24811
altamira do parana,1794
alto parana,3497
alto piquiri,3370
altonia,5122
alvorada do sul,2754
amapora,1414
ampere,4972
anahy,891
andira,6404
angulo,909
antonina,5199
antonio olinto,1791
apucarana,30552
arapongas,23610
arapoti,7035
arapua,1247
araruna,3475
araucaria,28676
ariranha do ivai,738
assai,5198
assis chateaubriand,9858
astorga,6286
atalaia,1117
balsa nova,2823
bandeirantes,10382
barbosa ferraz,4249
barra do jacare,836
barracao,2774
bela vista da caroba,1369
bela vista do paraiso,4088
bituruna,4478
boa esperanca,1807
boa esperanca do iguacu,851
boa ventura de sao roque,1931
boa vista da aparecida,2251
bocaiuva do sul,2122
bom jesus do sul,1291
bom sucesso,1803
bom sucesso do sul,1013
borrazopolis,2541
braganey,1832
brasilandia do sul,1227
cafeara,713
cafelandia,3570
cafezal do sul,1180
california,2142
cambara,6324
cambe,25385
cambira,1960
campina da lagoa,5209
campina do simao,1216
campina grande do sul,9844
campo bonito,1254
campo do tenente,1826
campo largo,26369
campo magro,5367
campo mourao,26312
candido de abreu,4595
candoi,3818
cantagalo,3585
capanema,5054
capitao leonidas marques,4103
carambei,4842
carlopolis,3269
cascavel,84096
castro,18893
catanduvas,3277
centenario do sul,3416
cerro azul,3887
ceu azul,3063
chopinzinho,6280
cianorte,15624
cidade gaucha,3036
clevelandia,4863
colombo,53433
colorado,5874
congonhinhas,2021
conselheiro mairinck,967
contenda,3370
corbelia,4692
cornelio procopio,14659
coronel domingos soares,1801
coronel vivida,6656
corumbatai do sul,1454
cruz machado,4034
cruzeiro do iguacu,1238
cruzeiro do oeste,6025
cruzeiro do sul,1399
cruzmaltina,967
curitiba,492399
curiuva,3238
diamante do norte,1732
diamante do sul,995
diamante d'oeste,1451
dois vizinhos,10121
douradina,1820
doutor camargo,1586
doutor ulysses,1465
eneas marques,1772
engenheiro beltrao,4251
entre rios do oeste,1000
esperanca nova,599
espigao alto do iguacu,1627
farol,1247
faxinal,4256
fazenda rio grande,17811
fenix,1629
fernandes pinheiro,1584
figueira,2572
flor da serra do sul,1494
florai,1477
floresta,1647
florestopolis,3585
florida,662
formosa do oeste,2459
foz do iguacu,85714
foz do jordao,1806
francisco alves,2083
francisco beltrao,22468
general carneiro,3254
godoy moreira,1105
goioere,9334
goioxim,2338
grandes rios,2133
guaira,8888
guairaca,1625
guamiranga,1832
guapirama,1263
guaporema,623
guaraci,1359
guaraniacu,4976
guarapuava,45435
guaraquecaba,1934
guaratuba,8043
honorio serpa,2140
ibaiti,6654
ibema,1735
ibipora,12386
icaraima,2658
iguaracu,1107
iguatu,662
imbau,2273
imbituva,5280
inacio martins,2470
inaja,755
indianopolis,1210
ipiranga,3155
ipora,4922
iracema do oeste,911
irati,14177
iretama,3215
itaguaje,1547
itaipulandia,2460
itambaraca,2014
itambe,1888
itapejara d'oeste,2490
itaperucu,4518
itauna do sul,1295
ivai,2985
ivaipora,9473
ivate,1865
ivatuba,1156
jaboti,1096
jacarezinho,12046
jaguapita,3118
jaguariaiva,8666
jandaia do sul,5565
janiopolis,2407
japira,1279
japura,1961
jardim alegre,4067
jardim olinda,454
jataizinho,3220
jesuitas,2661
joaquim tavora,2560
jundiai do sul,951
juranda,2443
jussara,1833
kalore,1473
lapa,11800
laranjal,2022
laranjeiras do sul,9092
leopolis,1366
lidianopolis,1435
lindoeste,2012
loanda,5588
lobato,1324
londrina,136538
luiziana,2424
lunardelli,1562
lupionopolis,1200
mallet,3280
mambore,4660
mandaguacu,5008
mandaguari,9832
mandirituba,4497
manfrinopolis,1106
mangueirinha,5071
manoel ribas,3960
marechal candido rondon,12397
maria helena,1807
marialva,8262
marilandia do sul,2300
marilena,1957
mariluz,2949
maringa,92046
mariopolis,1749
maripa,1708
marmeleiro,4133
marquinho,1568
marumbi,1361
matelandia,4326
matinhos,7080
mato rico,1536
maua da serra,1712
medianeira,11662
mercedes,1221
mirador,841
miraselva,591
missal,3059
moreira sales,3818
morretes,4072
munhoz de melo,1077
nossa senhora das gracas,1058
nova alianca do ivai,481
nova america da colina,954
nova aurora,4127
nova cantu,3326
nova esperanca,6986
nova esperanca do sudoeste,1407
nova fatima,2255
nova laranjeiras,3438
nova londrina,4072
nova olimpia,1453
nova prata do iguacu,3082
nova santa barbara,965
nova santa rosa,2145
nova tebas,2990
novo itacolomi,751
ortigueira,6020
ourizona,947
ouro verde do oeste,1615
paicandu,8528
palmas,9050
palmeira,8561
palmital,4992
palotina,8373
paraiso do norte,2855
paranacity,2610
paranagua,36902
paranapoema,775
paranavai,22542
pato bragado,1187
pato branco,21157
paula freitas,1395
paulo frontin,1602
peabiru,4165
perobal,1592
perola,2495
perola d'oeste,2040
pien,2632
pinhais,29904
pinhal de sao bento,822
pinhalao,1645
pinhao,8412
pirai do sul,5668
piraquara,20263
pitanga,11052
pitangueiras,714
planaltina do parana,1208
planalto,3872
ponta grossa,81158
pontal do parana,4002
porecatu,4654
