city,quantity
abreu e lima,28965
afogados da ingazeira,9594
afranio,5124
agrestina,6347
agua preta,9562
aguas belas,11766
alagoinha,3903
alianca,11820
altinho,6805
amaraji,6794
angelim,3065
aracoiaba,5132
araripina,21918
arcoverde,19950
barra de guabiraba,3300
barreiros,13988
belem de maria,3441
belem de sao francisco,7326
belo jardim,21148
betania,4099
bezerros,16190
bodoco,10625
bom conselho,12681
bom jardim,11320
bonito,12102
brejao,2810
brejinho,2399
brejo da madre de deus,10342
buenos aires,3722
buique,16090
cabo de santo agostinho,51350
cabrobo,9104
cachoeirinha,4865
caetes,7276
calcado,3583
calumbi,2579
camaragibe,43666
camocim de sao felix,4653
camutanga,2401
canhotinho,7492
capoeiras,6663
carnaiba,5498
carnaubeira da penha,3191
carpina,20362
caruaru,74862
casinhas,4810
catende,10303
cedro,3893
cha de alegria,4205
cha grande,6457
condado,6502
correntes,5867
cortes,4873
cumaru,8390
cupira,6533
custodia,9910
dormentes,4828
escada,18427
exu,10932
feira nova,6002
fernando de noronha,762
ferreiros,3427
flores,6389
floresta,9114
frei miguelinho,3653
gameleira,8269
garanhuns,37987
gloria do goita,8946
goiana,24197
granito,2007
gravata,19706
iati,5689
ibimirim,7893
ibirajuba,2501
igarassu,27312
iguaraci,3629
ilha de itamaraca,5182
inaja,4604
ingazeira,1602
ipojuca,18258
ipubi,7339
itacuruba,1443
itaiba,8328
itambe,11253
itapetim,4446
itapissuma,6883
itaquitinga,4997
jaboatao dos guararapes,192132
jaqueira,4416
jatauba,5165
jatoba,4922
joao alfredo,8686
joaquim nabuco,5228
jucati,3181
jupi,4033
jurema,4428
lagoa do carro,4332
lagoa do itaenga,6903
lagoa do ouro,3693
lagoa dos gatos,5108
lagoa grande,6204
lajedo,9686
limoeiro,16760
macaparana,7032
machados,3020
manari,4493
maraial,5013
mirandiba,4654
moreilandia,4282
moreno,16229
nazare da mata,10466
olinda,121238
orobo,8072
oroco,3863
ouricuri,19039
palmares,18437
palmeirina,3122
panelas,9768
paranatama,3351
parnamirim,5887
passira,9532
paudalho,14150
paulista,89074
pedra,6555
pesqueira,18069
petrolandia,9336
petrolina,78191
pocao,3550
pombos,8028
primavera,3762
quipapa,7391
quixaba,2455
recife,484797
riacho das almas,4989
ribeirao,13181
rio formoso,7377
saire,3603
salgadinho,2437
salgueiro,16939
saloa,4691
sanharo,4962
santa cruz,3620
santa cruz da baixa verde,3581
santa cruz do capibaribe,16348
santa filomena,3831
santa maria da boa vista,14295
santa maria do cambuca,3575
santa terezinha,3325
sao benedito do sul,3400
sao bento do una,12666
sao caitano,10363
sao joao,6528
sao joaquim do monte,5622
sao jose da coroa grande,4886
sao jose do belmonte,10576
sao jose do egito,8979
sao lourenco da mata,31120
sao vicente ferrer,5204
serra talhada,22742
serrita,6374
sertania,10166
sirinhaem,11468
solidao,1917
surubim,15434
tabira,7483
tacaimbo,4331
tacaratu,5894
tamandare,6037
taquaritinga do norte,5525
terezinha,2114
terra nova,2331
timbauba,17787
toritama,5452
tracunhaem,4195
trindade,6949
triunfo,5512
tupanatinga,7210
tuparetama,2437
venturosa,4685
verdejante,3005
vertente do lerio,3018
vertentes,3879
vicencia,11210
vitoria de santo antao,35921
xexeu,4570
