city,quantity
acaua,1722
agricolandia,1961
agua branca,5133
alagoinha do piaui,2379
alegrete do piaui,1738
alto longa,4136
altos,13707
alvorada do gurgueia,1611
amarante,5640
angical do piaui,2194
anisio de abreu,2632
antonio almeida,1121
aroazes,2151
arraial,1799
assuncao do piaui,2690
avelino lopes,3006
baixa grande do ribeiro,2390
barra d'alcantara,1420
barras,16254
barreiras do piaui,1151
barro duro,2434
batalha,8981
bela vista do piaui,938
belem do piaui,810
beneditinos,3454
bertolinia,1904
betania do piaui,3043
boa hora,2144
bocaina,1278
bom jesus,6228
bom principio do piaui,1542
bonfim do piaui,1742
boqueirao do piaui,2024
brasileira,2271
brejo do piaui,1188
buriti dos lopes,6585
buriti dos montes,2484
cabeceiras do piaui,3288
cajazeiras do piaui,1184
cajueiro da praia,2120
caldeirao grande do piaui,1807
campinas do piaui,1571
campo alegre do fidalgo,1452
campo grande do piaui,1629
campo largo do piaui,2355
campo maior,14799
canavieira,1376
canto do buriti,5270
capitao de campos,3998
capitao gervasio oliveira,1314
caracol,3027
caraubas do piaui,1278
caridade do piaui,1622
castelo do piaui,6507
caxingo,1235
cocal,6995
cocal de telha,1585
cocal dos alves,1434
coivaras,1198
colonia do gurgueia,1978
colonia do piaui,2528
conceicao do caninde,1630
coronel jose dias,1421
corrente,8862
cristalandia do piaui,2629
cristino castro,3472
curimata,3397
currais,1701
curral novo do piaui,1631
curralinhos,1288
demerval lobao,4650
dirceu arcoverde,1987
dom expedito lopes,1966
dom inocencio,2189
domingos mourao,1598
elesbao veloso,5116
eliseu martins,1732
esperantina,11915
fartura do piaui,1852
flores do piaui,1292
floresta do piaui,679
floriano,20260
francinopolis,1698
francisco ayres,1841
francisco macedo,786
francisco santos,2097
fronteiras,2974
geminiano,1392
gilbues,3728
guadalupe,3972
guaribas,1753
hugo napoleao,1232
ilha grande,2998
inhuma,4621
ipiranga do piaui,3088
isaias coelho,3246
itainopolis,3240
itaueira,3340
jacobina do piaui,1980
jaicos,5342
jardim do mulato,1337
jatoba do piaui,1331
jerumenha,1722
joao costa,1122
joaquim pires,4529
joca marques,1757
jose de freitas,11782
juazeiro do piaui,1457
julio borges,2085
jurema,1673
lagoa alegre,2530
lagoa de sao francisco,2075
lagoa do barro do piaui,1529
lagoa do piaui,1319
lagoa do sitio,1428
lagoinha do piaui,808
landri sales,2055
luis correia,8397
luzilandia,8985
madeiro,3136
manoel emidio,2103
marcolandia,2002
marcos parente,1516
massape do piaui,2204
matias olimpio,3520
miguel alves,10848
miguel leao,543
milton brandao,2594
monsenhor gil,3898
monsenhor hipolito,2347
monte alegre do piaui,3925
morro cabeca no tempo,1394
morro do chapeu do piaui,2313
murici dos portelas,1877
nazare do piaui,2602
nossa senhora de nazare,1294
nossa senhora dos remedios,2649
nova santa rita,1590
novo oriente do piaui,2066
novo santo antonio,887
oeiras,12177
olho d'agua do piaui,798
padre marcos,2607
paes landim,1829
pajeu do piaui,964
palmeira do piaui,1863
palmeirais,4123
paqueta,1328
parnagua,3014
parnaiba,47741
passagem franca do piaui,1566
patos do piaui,1968
paulistana,5740
pavussu,1282
pedro ii,13015
pedro laurentino,777
picos,22775
pimenteiras,3698
pio ix,5250
piracuruca,8934
piripiri,20507
porto,4527
porto alegre do piaui,882
prata do piaui,1113
queimada nova,2412
redencao do gurgueia,3229
regeneracao,5901
riacho frio,1660
ribeira do piaui,1381
ribeiro goncalves,2197
rio grande do piaui,2186
santa cruz do piaui,2010
santa cruz dos milagres,1457
santa filomena,2099
santa luz,1736
santa rosa do piaui,1948
santana do piaui,1233
santo antonio de lisboa,1469
santo antonio dos milagres,880
santo inacio do piaui,1082
sao braz do piaui,1371
sao felix do piaui,1262
sao francisco de assis do piaui,1118
sao francisco do piaui,2260
sao goncalo do gurgueia,883
sao goncalo do piaui,1804
sao joao da canabrava,1299
sao joao da fronteira,1684
sao joao da serra,2151
sao joao da varjota,1715
sao joao do arraial,2210
sao joao do piaui,6952
sao jose do divino,1994
sao jose do peixe,1493
sao jose do piaui,1691
sao juliao,2103
sao lourenco do piaui,1378
sao luis do piaui,775
sao miguel da baixa grande,618
sao miguel do fidalgo,1111
sao miguel do tapuio,6195
sao pedro do piaui,4396
sao raimundo nonato,8890
sebastiao barros,1636
sebastiao leal,1126
sigefredo pacheco,3277
simoes,4744
simplicio mendes,4065
socorro do piaui,1528
sussuapara,1532
tamboril do piaui,778
tanque do piaui,917
teresina,283385
uniao,13967
urucui,5971
valenca do piaui,7277
varzea branca,1865
varzea grande,1658
vera mendes,1067
vila nova do piaui,1047
wall ferraz,1210
