city,quantity
abreulandia,695
aguiarnopolis,1096
alianca do tocantins,2161
almas,2790
alvorada,2941
ananas,3778
angico,1107
aparecida do rio negro,1289
aragominas,1928
araguacema,1720
araguacu,2715
araguaina,41633
araguana,1396
araguatins,8469
arapoema,2171
arraias,3883
augustinopolis,4716
aurora do tocantins,972
axixa do tocantins,3282
babaculandia,3098
bandeirantes do tocantins,774
barra do ouro,1195
barrolandia,1598
bernardo sayao,1426
bom jesus do tocantins,767
brasilandia do tocantins,744
brejinho de nazare,1805
buriti do tocantins,3672
cachoeirinha,858
campos lindos,1669
cariri do tocantins,1002
carmolandia,729
carrasco bonito,1506
caseara,1383
centenario,875
chapada da natividade,924
chapada de areia,359
colinas do tocantins,9497
colmeia,2874
combinado,1569
conceicao do tocantins,1491
couto de magalhaes,1296
cristalandia,2848
crixas do tocantins,449
darcinopolis,1563
dianopolis,5913
divinopolis do tocantins,2101
dois irmaos do tocantins,2095
duere,1367
esperantina,3185
fatima,1540
figueiropolis,1727
filadelfia,2762
formoso do araguaia,6579
fortaleza do tabocao,670
goianorte,1304
goiatins,3733
guarai,7720
gurupi,23597
ipueiras,497
itacaja,1917
itaguatins,2281
itapiratins,948
itapora do tocantins,760
jau do tocantins,911
juarina,847
lagoa da confusao,1961
lagoa do tocantins,891
lajeado,779
lavandeira,363
lizarda,1319
luzinopolis,911
marianopolis do tocantins,1070
mateiros,589
maurilandia do tocantins,1102
miracema do tocantins,8263
miranorte,3607
monte do carmo,1666
monte santo do tocantins,510
muricilandia,794
natividade,3012
nazare,2005
nova olinda,3014
nova rosalandia,1204
novo acordo,1094
novo alegre,979
novo jardim,700
oliveira de fatima,430
palmas,52586
palmeirante,926
palmeiras do tocantins,1691
palmeiropolis,2349
paraiso do tocantins,12965
parana,3110
pau d'arco,1301
pedro afonso,3708
peixe,3028
pequizeiro,1427
pindorama do tocantins,1710
piraque,998
pium,1485
ponte alta do bom jesus,1308
ponte alta do tocantins,2180
porto alegre do tocantins,900
porto nacional,18638
praia norte,3013
presidente kennedy,1236
pugmil,669
recursolandia,1036
riachinho,1479
rio da conceicao,478
rio dos bois,697
rio sono,1861
sampaio,1133
sandolandia,1026
santa fe do araguaia,2061
santa maria do tocantins,821
santa rita do tocantins,478
santa rosa do tocantins,1762
santa tereza do tocantins,909
santa terezinha do tocantins,913
sao bento do tocantins,1241
sao felix do tocantins,478
sao miguel do tocantins,3612
sao salvador do tocantins,905
sao sebastiao do tocantins,1531
sao valerio da natividade,1726
silvanopolis,1830
sitio novo do tocantins,4067
sucupira,382
taguatinga,4279
taipas do tocantins,557
talisma,719
tocantinia,2027
tocantinopolis,9777
tupirama,396
tupiratins,499
wanderlandia,3443
xambioa,4233
