city,total,adequada,semi_adequada,inadequada
agua branca,3903,642,2413,847
anadia,4047,43,3490,515
arapiraca,43818,2737,39325,1755
atalaia,8470,546,6388,1535
barra de santo antonio,2326,15,2084,227
barra de sao miguel,1400,622,682,97
batalha,3260,103,2740,417
belem,1364,21,1060,283
belo monte,1461,18,986,457
boca da mata,5147,1784,2897,466
branquinha,2162,317,1367,478
cacimbinhas,2282,0,1704,578
cajueiro,4087,1182,2569,335
campestre,1351,376,849,126
campo alegre,8127,438,7199,491
campo grande,2022,31,1508,483
canapi,3842,0,2350,1492
capela,3879,1082,2087,710
carneiros,1435,0,1134,301
cha preta,1648,320,933,395
coite do noia,2599,0,1905,694
colonia leopoldina,4053,1092,2400,561
coqueiro seco,1205,26,1108,71
coruripe,10524,1068,8291,1166
craibas,4606,20,3922,664
delmiro gouveia,10391,4087,5772,531
dois riachos,2594,0,1978,616
estrela de alagoas,3891,17,2972,902
feira grande,4709,67,3269,1373
feliz deserto,897,5,861,31
flexeiras,2499,311,1692,496
girau do ponciano,6278,62,4613,1604
ibateguara,3323,738,2070,515
igaci,5869,21,4813,1036
igreja nova,4825,37,3851,937
inhapi,3838,87,2612,1139
jacare dos homens,1185,11,996,178
jacuipe,1647,72,1196,379
japaratinga,1492,0,1133,359
jaramataia,1212,0,1011,201
joaquim gomes,4399,67,3329,1003
jundia,1035,0,821,214
junqueiro,5298,0,4444,854
lagoa da canoa,4323,0,3512,811
limoeiro de anadia,5115,11,3700,1404
maceio,199708,63005,134954,1749
major isidoro,4148,32,3273,842
mar vermelho,985,169,621,195
maragogi,4547,33,3468,1047
maravilha,2620,25,1595,999
marechal deodoro,7965,2614,4768,583
maribondo,3557,1256,1914,387
mata grande,5447,161,3841,1445
matriz de camaragibe,5022,198,4016,808
messias,2504,144,2113,247
minador do negrao,1219,5,930,284
monteiropolis,1523,6,1153,364
murici,5224,1333,3250,641
novo lino,2264,259,1508,496
olho d'agua das flores,4495,37,4087,371
olho d'agua do casado,1501,35,1263,203
olho d'agua grande,1030,0,761,269
olivenca,2254,0,1708,546
ouro branco,2234,2,1545,687
palestina,920,9,817,93
palmeira dos indios,17095,491,15338,1265
pao de acucar,5219,222,4101,896
pariconha,2250,31,1647,572
paripueira,1749,0,1508,241
passo de camaragibe,2914,3,2265,646
paulo jacinto,1810,753,872,184
penedo,12969,1383,10687,900
piacabucu,3943,38,3765,140
pilar,6849,1245,5186,418
pindoba,688,0,562,126
piranhas,4361,1349,2397,616
poco das trincheiras,2810,10,1750,1050
porto calvo,5155,104,4103,948
porto de pedras,2153,67,1262,824
porto real do colegio,4237,231,3206,800
quebrangulo,2766,73,2295,398
rio largo,14835,2339,11957,538
roteiro,1486,9,1268,209
santa luzia do norte,1337,53,1240,44
santana do ipanema,9649,332,7812,1505
santana do mundau,2613,352,1704,557
sao bras,1514,16,1342,156
sao jose da laje,4795,1707,2576,512
sao jose da tapera,5701,12,3953,1736
sao luis do quitunde,6020,25,4674,1321
sao miguel dos campos,10942,3738,6276,928
sao miguel dos milagres,1335,5,1214,117
sao sebastiao,6536,274,4752,1509
satuba,2863,1026,1649,189
senador rui palmeira,2515,36,1664,815
tanque d'arca,1567,41,1192,334
taquarana,3867,12,2746,1109
teotonio vilela,7579,239,6455,886
traipu,4953,0,3204,1749
uniao dos palmares,13294,4549,7365,1380
vicosa,5972,375,4792,805
