city,qt
agua branca,19282
anadia,17849
arapiraca,186356
atalaia,40304
barra de santo antonio,10970
barra de sao miguel,6370
batalha,14799
belem,6024
belo monte,6822
boca da mata,24196
branquinha,11325
cacimbinhas,9552
cajueiro,18910
campestre,6180
campo alegre,41028
campo grande,9134
canapi,17334
capela,19280
carneiros,6585
cha preta,8203
coite do noia,11993
colonia leopoldina,17483
coqueiro seco,5134
coruripe,48846
craibas,20789
delmiro gouveia,42986
dois riachos,11066
estrela de alagoas,16341
feira grande,21270
feliz deserto,3836
flexeiras,11973
girau do ponciano,29804
ibateguara,15105
igaci,25541
igreja nova,21404
inhapi,18553
jacare dos homens,5720
jacuipe,7313
japaratinga,6868
jaramataia,5788
joaquim gomes,21456
jundia,4680
junqueiro,23832
lagoa da canoa,19988
limoeiro de anadia,24263
maceio,795659
major isidoro,17639
mar vermelho,4078
maragogi,21806
maravilha,13653
marechal deodoro,35596
maribondo,15136
mata grande,25032
matriz de camaragibe,24017
messias,11990
minador do negrao,5375
monteiropolis,7240
murici,24651
novo lino,10375
olho d'agua das flores,19417
olho d'agua do casado,7059
olho d'agua grande,4845
olivenca,10369
ouro branco,10513
palestina,4523
palmeira dos indios,67871
pao de acucar,24351
pariconha,10086
paripueira,8049
passo de camaragibe,13755
paulo jacinto,7651
penedo,56882
piacabucu,16736
pilar,31182
pindoba,2926
piranhas,19995
poco das trincheiras,13222
porto calvo,23911
porto de pedras,10568
porto real do colegio,18310
quebrangulo,11862
rio largo,62479
roteiro,6985
santa luzia do norte,6388
santana do ipanema,41463
santana do mundau,11534
sao bras,6551
sao jose da laje,21071
sao jose da tapera,28240
sao luis do quitunde,29543
sao miguel dos campos,51391
sao miguel dos milagres,5860
sao sebastiao,29124
satuba,12555
senador rui palmeira,11979
tanque d'arca,6594
taquarana,17046
teotonio vilela,36881
traipu,24249
uniao dos palmares,58345
vicosa,26187
