city,total,adequada,semi_adequada,inadequada
alvaraes,1880,86,956,838
amatura,1210,65,711,434
anama,1122,33,587,503
anori,2101,149,1360,593
apui,3234,0,2303,931
atalaia do norte,1696,124,846,726
autazes,4592,104,2439,2049
barcelos,3974,168,1709,2098
barreirinha,3851,53,2029,1769
benjamin constant,3823,269,2268,1286
beruri,1779,59,836,883
boa vista do ramos,1808,44,1153,611
boca do acre,5545,473,3335,1737
borba,4720,88,2532,2099
caapiranga,1443,13,739,691
canutama,1856,5,1262,588
carauari,4241,27,2903,1311
careiro,5339,139,2816,2385
careiro da varzea,3734,13,2112,1609
coari,10563,751,4897,4916
codajas,2893,216,1720,957
eirunepe,4730,50,2493,2187
envira,2884,27,1114,1743
fonte boa,4534,9,2073,2452
guajara,2152,8,598,1546
humaita,6153,839,4247,1067
ipixuna,2314,20,760,1534
iranduba,5670,481,3620,1569
itacoatiara,14361,2589,8703,3069
itamarati,1278,6,531,741
itapiranga,1298,87,972,239
japura,1521,71,626,825
jurua,1153,4,557,593
jutai,3244,8,1271,1965
labrea,5326,137,3421,1768
manacapuru,13351,1113,9375,2863
manaquiri,2580,40,1646,894
manaus,326837,111221,204753,10864
manicore,6860,167,3447,3246
maraa,2564,0,629,1934
maues,7162,917,3780,2464
nhamunda,2526,67,1497,961
nova olinda do norte,3821,48,1829,1944
novo airao,1890,383,1159,349
novo aripuana,2783,28,1417,1338
parintins,15955,2276,9405,4274
pauini,2754,0,981,1773
presidente figueiredo,3866,1526,1875,466
rio preto da eva,3480,355,1918,1207
santa isabel do rio negro,1919,91,864,964
santo antonio do ica,4141,61,1480,2601
sao gabriel da cachoeira,5431,416,2225,2789
sao paulo de olivenca,3230,0,1109,2121
sao sebastiao do uatuma,1148,46,879,223
silves,1402,82,822,497
tabatinga,6498,60,4294,2144
tapaua,2913,0,1330,1583
tefe,10465,1064,7055,2346
tonantins,2252,0,968,1284
uarini,1539,27,711,801
urucara,3011,282,1992,738
urucurituba,2163,30,1360,773
