city,total,adequada,semi_adequada,inadequada
abaira,2290,45,2162,82
abare,2928,166,2069,692
acajutiba,3417,85,2894,438
adustina,3412,416,2192,804
agua fria,3435,15,2762,659
aiquara,1284,388,739,157
alagoinhas,31653,11457,18929,1267
alcobaca,4862,614,3605,643
almadina,1964,794,1007,163
amargosa,8027,1060,6368,599
amelia rodrigues,5763,983,4306,474
america dourada,3593,6,3175,411
anage,6766,314,5014,1439
andarai,3117,215,2195,707
andorinha,4080,536,2899,645
angical,3337,0,2621,716
anguera,1933,98,1488,347
antas,3438,960,2259,219
antonio cardoso,2384,5,1742,637
antonio goncalves,2288,420,1599,269
apora,4216,5,3505,706
apuarema,1674,271,1124,278
aracas,2431,0,1977,454
aracatu,3275,115,2380,780
araci,10371,1096,6304,2971
aramari,2143,65,1736,342
arataca,2943,372,2149,422
aratuipe,1892,133,1402,358
aurelino leal,3739,659,2641,439
baianopolis,2753,55,2487,211
baixa grande,4785,767,3131,886
banzae,2644,69,2501,74
barra,8595,631,5881,2082
barra da estiva,5372,1074,3654,644
barra do choca,8149,120,6696,1333
barra do mendes,3372,40,3181,151
barra do rocha,1845,358,1045,442
barreiras,31464,8335,22065,1065
barro alto,2969,11,2761,198
barro preto,2037,625,1170,242
belmonte,5091,51,4673,367
belo campo,3955,0,3409,546
biritinga,3295,196,2678,422
boa nova,4491,348,3312,831
boa vista do tupim,4160,622,2888,649
bom jesus da lapa,11405,474,9906,1025
bom jesus da serra,2143,21,1617,505
boninal,2808,11,2712,86
bonito,2853,0,2428,425
boquira,4947,20,4076,851
botupora,2539,386,1720,433
brejoes,3647,807,2373,467
brejolandia,2156,29,1963,164
brotas de macaubas,3212,358,2585,269
brumado,14624,5539,8187,898
buerarema,4767,1700,2667,400
buritirama,3450,83,2403,964
caatiba,3014,529,1981,504
cabaceiras do paraguacu,3304,27,2231,1046
cachoeira,7444,1906,4584,954
cacule,4884,2016,2553,315
caem,2893,224,2133,536
caetanos,2612,0,1842,770
caetite,10143,1672,7389,1082
cafarnaum,3768,25,3175,569
cairu,2602,439,2023,141
caldeirao grande,2606,540,1771,295
camacan,7529,3266,3749,515
camacari,41238,16125,24101,1013
camamu,7352,953,4900,1499
campo alegre de lourdes,6137,0,3921,2215
campo formoso,14054,521,11402,2130
canapolis,2198,52,1852,294
canarana,5254,131,4651,472
canavieiras,8789,408,7452,930
candeal,2335,150,1770,415
candeias,18779,6403,11512,864
candiba,2928,25,2635,268
candido sales,6701,299,5961,441
cansancao,7324,448,5087,1788
canudos,3177,97,2583,498
capela do alto alegre,3156,622,2230,304
capim grosso,6234,586,5320,328
caraibas,3557,6,2691,860
caravelas,4897,651,3654,592
cardeal da silva,1762,214,1335,214
carinhanha,5493,97,4527,869
casa nova,12406,1666,8383,2357
castro alves,6201,1612,3880,709
catolandia,693,0,629,64
catu,11440,4592,6401,447
caturama,2000,90,1617,292
central,3995,24,3416,555
chorrocho,2285,5,1879,401
cicero dantas,8368,1811,5823,735
cipo,3402,0,3042,360
coaraci,6454,2864,3080,510
cocos,4016,27,3456,532
conceicao da feira,4183,64,3924,195
conceicao do almeida,4770,152,3895,723
conceicao do coite,13699,1980,9817,1902
conceicao do jacuipe,6501,55,5914,531
conde,4370,169,3344,857
condeuba,4093,53,3394,646
contendas do sincora,1081,3,979,99
coracao de maria,5348,22,4100,1225
cordeiros,1862,0,1655,207
coribe,3539,22,3119,398
coronel joao sa,4344,150,3333,861
correntina,7054,10,5862,1182
cotegipe,2841,0,2374,467
cravolandia,1176,218,823,135
crisopolis,4753,41,3876,836
cristopolis,2824,4,2462,358
cruz das almas,13078,664,11570,844
curaca,6475,1197,3984,1294
dario meira,3078,483,1814,782
dias d'avila,11286,4780,6326,180
dom basilio,2331,0,1951,381
dom macedo costa,971,21,767,182
elisio medrado,2101,4,1920,177
encruzilhada,7805,15,6864,926
entre rios,8626,54,7435,1138
erico cardoso,2621,19,2303,299
esplanada,6060,27,5170,863
euclides da cunha,12653,322,10893,1439
eunapolis,20917,3533,16804,580
fatima,4494,784,2871,839
feira da mata,1464,19,1274,172
feira de santana,119123,35969,77907,5247
filadelfia,3688,31,2854,803
firmino alves,1301,447,822,32
floresta azul,2918,1103,1570,246
formosa do rio preto,3678,848,2255,575
gandu,6706,1697,4280,729
gaviao,1165,321,699,145
gentio do ouro,2382,28,2160,194
gloria,3501,301,2700,501
gongogi,2285,531,1440,314
governador mangabeira,3884,41,3118,726
guajeru,2710,6,2233,471
guanambi,17284,5250,10913,1121
guaratinga,5799,1095,3851,852
heliopolis,3248,14,2779,455
iacu,6689,1181,4923,585
ibiassuce,2852,15,2471,366
ibicarai,7462,3100,3884,478
ibicoara,2758,319,1892,547
ibicui,3874,1451,2215,207
ibipeba,3718,10,3376,332
ibipitanga,2997,0,2321,675
ibiquera,1095,5,871,219
ibirapitanga,5146,805,3467,875
ibirapua,1894,414,1362,119
ibirataia,5634,1810,3119,705
ibitiara,3454,194,2753,507
ibitita,4381,8,3968,405
ibotirama,5634,224,5015,395
ichu,1308,309,894,106
igapora,3294,407,2499,387
igrapiuna,3192,317,1909,966
iguai,6136,2107,3404,625
ilheus,54084,19169,29627,5288
inhambupe,7077,1278,4941,858
ipecaeta,3818,0,2783,1035
ipiau,10896,5401,4913,582
ipira,14634,3597,8873,2164
ipupiara,2198,11,2105,82
irajuba,1625,0,1373,252
iramaia,3632,41,2943,648
iraquara,4156,113,3717,327
irara,5978,51,4585,1342
irece,14174,1921,12045,209
itabela,6101,44,5648,409
itaberaba,14248,6065,7380,803
itabuna,51074,28282,21700,1092
itacare,4177,484,2605,1088
itaete,3152,280,2336,536
itagi,3285,1160,1615,510
itagiba,3907,1022,2331,554
itagimirim,1899,701,1146,53
itaguacu da bahia,2512,0,2054,458
itaju do colonia,2137,650,1273,215
itajuipe,5545,2021,3063,460
itamaraju,15649,4469,9988,1192
itamari,2047,93,1518,435
itambe,6651,2569,3382,699
