city,quantity
abadia de goias,4925
abadiania,11349
acreuna,18265
adelandia,2451
agua fria de goias,4428
agua limpa,2200
aguas lindas de goias,105672
alexania,20288
aloandia,2122
alto horizonte,2564
alto paraiso de goias,6029
alvorada do norte,7544
amaralina,3074
americano do brasil,4926
amorinopolis,4131
anapolis,287047
anhanguera,895
anicuns,18659
aparecida de goiania,335513
aparecida do rio doce,2388
apore,3427
aracu,4096
aragarcas,16476
aragoiania,6424
araguapaz,7303
arenopolis,3993
aruana,5095
aurilandia,4207
avelinopolis,2507
baliza,2270
barro alto,6216
bela vista de goias,19122
bom jardim de goias,8016
bom jesus de goias,16217
bonfinopolis,5341
bonopolis,2598
brazabrantes,2772
britania,5257
buriti alegre,8679
buriti de goias,2659
buritinopolis,3383
cabeceiras,6758
cachoeira alta,8635
cachoeira de goias,1498
cachoeira dourada,8497
cacu,10501
caiaponia,14572
caldas novas,49436
caldazinha,2859
campestre de goias,3167
campinacu,3696
campinorte,9641
campo alegre de goias,4487
campos belos,17011
campos verdes,8036
carmo do rio verde,7931
castelandia,3859
catalao,64072
caturai,4317
cavalcante,9145
ceres,22095
cezarina,6497
chapadao do ceu,3774
cidade ocidental,40235
cocalzinho de goias,14409
colinas do sul,3678
corrego do ouro,2973
corumba de goias,9445
corumbaiba,6614
cristalina,33959
cristianopolis,2900
crixas,14658
crominia,3660
cumari,3058
damianopolis,3290
damolandia,2573
davinopolis,2090
diorama,2493
divinopolis de goias,5163
doverlandia,8521
edealina,3794
edeia,10177
estrela do norte,3344
faina,7409
fazenda nova,7093
firminopolis,9825
flores de goias,7514
formosa,78455
formoso,5576
goianapolis,10657
goiandira,4917
goianesia,48946
goiania,1091108
goianira,18699
goias,26940
goiatuba,30978
gouvelandia,4009
guapo,13796
guaraita,2794
guarani de goias,4644
guarinos,2830
heitorai,3439
hidrolandia,13021
hidrolina,4518
iaciara,11273
inaciolandia,5230
indiara,11807
inhumas,43729
ipameri,22474
ipora,31117
israelandia,2996
itaberai,27813
itaguari,4385
itaguaru,5696
itaja,6549
itapaci,13893
itapirapua,10824
itapuranga,26586
itaruma,5390
itaucu,8268
itumbiara,81117
ivolandia,2983
jandaia,6297
jaragua,33240
jatai,75166
jaupaci,3126
jesupolis,2118
joviania,6871
jussara,19963
leopoldo de bulhoes,7766
luziania,140537
mairipotaba,2391
mambai,4775
mara rosa,11862
marzagao,1904
matrincha,4498
maurilandia,8834
mimoso de goias,2786
minacu,33543
mineiros,38836
moipora,2016
monte alegre de goias,6876
montes claros de goias,8024
montividiu,7712
montividiu do norte,3789
morrinhos,36909
morro agudo de goias,2642
mossamedes,5900
mozarlandia,11091
mundo novo,8170
mutunopolis,3958
nazario,6622
neropolis,18560
niquelandia,38470
nova america,2185
nova aurora,1914
nova crixas,11034
nova gloria,8926
nova iguacu de goias,2746
nova roma,3674
nova veneza,6387
novo brasil,4162
novo gama,74363
novo planalto,3432
orizona,13067
ouro verde de goias,4358
ouvidor,4263
padre bernardo,21469
palestina de goias,3307
palmeiras de goias,17756
palmelo,2183
palminopolis,3551
panama,2772
paranaiguara,8131
parauna,10773
perolandia,2759
petrolina de goias,10342
pilar de goias,3339
piracanjuba,23490
piranhas,12270
pirenopolis,21065
pires do rio,26152
planaltina,73642
pontalina,16458
porangatu,39490
porteirao,2823
portelandia,3696
posse,25573
professor jamil,3386
quirinopolis,36428
rialma,10147
rianapolis,4327
rio quente,2059
rio verde,116217
rubiataba,17941
sanclerlandia,7508
santa barbara de goias,4963
santa cruz de goias,3470
santa fe de goias,4083
santa helena de goias,34374
santa isabel,3589
santa rita do araguaia,5063
santa rita do novo destino,3025
santa rosa de goias,3548
santa tereza de goias,4697
santa terezinha de goias,11966
santo antonio da barra,4052
santo antonio de goias,3106
santo antonio do descoberto,51833
sao domingos,9605
sao francisco de goias,6107
sao joao da parauna,2024
sao joao d'alianca,6693
sao luis de montes belos,26267
sao luiz do norte,4089
sao miguel do araguaia,22708
sao miguel do passa quatro,3462
sao patricio,1831
sao simao,13496
senador canedo,53078
serranopolis,6374
silvania,20265
simolandia,6200
sitio d'abadia,2678
taquaral de goias,3540
teresina de goias,2557
terezopolis de goias,5068
tres ranchos,2826
trindade,81102
trombas,3434
turvania,5114
turvelandia,3507
uirapuru,3028
uruacu,33437
uruana,13862
urutai,3078
valparaiso de goias,94728
varjao,3514
vianopolis,11254
vicentinopolis,6007
vila boa,3262
vila propicio,4492
