city,total,suitable,semi_suitable,inappropriate
acailandia,19610,1436,16598,1576
afonso cunha,954,0,479,475
agua doce do maranhao,1969,0,1244,725
alcantara,5009,270,3679,1060
aldeias altas,4164,43,2451,1669
altamira do maranhao,1934,0,1159,775
alto alegre do maranhao,4449,126,3155,1168
alto alegre do pindare,5902,35,4002,1865
alto parnaiba,2158,236,1435,487
amapa do maranhao,1066,0,486,580
amarante do maranhao,6643,298,4143,2203
anajatuba,5066,0,3335,1731
anapurus,2190,7,1442,741
apicum-acu,2066,0,1460,606
araguana,1786,14,1325,446
araioses,7353,99,4717,2537
arame,5724,92,3376,2256
arari,5467,149,3961,1357
axixa,1948,2,1107,839
bacabal,21158,5674,12704,2781
bacabeira,2254,0,1666,589
bacuri,3291,0,2264,1027
bacurituba,1048,0,624,424
balsas,13102,3024,8184,1894
barao de grajau,3563,50,2704,809
barra do corda,17067,1509,12528,3029
barreirinhas,7731,0,4513,3217
bela vista do maranhao,2059,43,1734,282
belagua,924,0,258,666
benedito leite,1171,3,925,243
bequimao,4442,0,2716,1726
bernardo do mearim,1197,0,831,366
boa vista do gurupi,1015,0,559,457
bom jardim,7354,249,5466,1639
bom jesus das selvas,3440,0,2486,954
bom lugar,2426,0,1430,996
brejo,5883,75,3991,1817
brejo de areia,2024,0,916,1108
buriti,4883,9,2773,2101
buriti bravo,4795,0,3479,1316
buriticupu,9746,81,6837,2828
buritirana,2957,0,2171,785
cachoeira grande,1359,0,531,828
cajapio,1974,0,1013,961
cajari,2826,76,1306,1444
campestre do maranhao,2538,70,2257,212
candido mendes,3149,26,1847,1277
cantanhede,3693,151,2421,1120
capinzal do norte,2504,74,1824,606
carolina,5439,1446,2918,1076
carutapera,3695,34,2213,1449
caxias,31880,6125,21088,4667
cedral,2064,5,1780,279
central do maranhao,1599,0,969,630
centro do guilherme,1156,0,525,631
centro novo do maranhao,2840,0,1156,1684
chapadinha,13292,703,8148,4440
cidelandia,2639,0,2078,561
codo,25078,3508,17591,3979
coelho neto,8985,927,6577,1481
colinas,8050,687,4746,2617
conceicao do lago-acu,2191,0,1536,655
coroata,13063,1231,9141,2691
cururupu,7274,232,5055,1987
davinopolis,2858,0,2434,424
dom pedro,5221,910,3547,764
duque bacelar,1795,0,1034,761
esperantinopolis,4567,170,3318,1078
estreito,5185,498,3940,746
feira nova do maranhao,1480,6,791,683
fernando falcao,972,0,492,480
formosa da serra negra,2509,6,1190,1313
fortaleza dos nogueiras,2190,13,1625,552
fortuna,3310,301,2463,546
godofredo viana,1552,67,980,505
goncalves dias,3933,324,2781,829
governador archer,2111,47,1620,444
governador edison lobao,2461,96,2005,361
governador eugenio barros,3441,151,2517,773
governador luiz rocha,1413,0,1163,250
governador newton bello,2437,0,1414,1023
governador nunes freire,5085,0,2996,2089
graca aranha,1448,15,1087,345
grajau,9412,173,7047,2191
guimaraes,2766,0,2232,534
humberto de campos,4008,59,1968,1981
icatu,4272,19,2182,2072
igarape do meio,2102,0,1693,409
igarape grande,2168,225,1541,403
imperatriz,54357,21340,32206,811
itaipava do grajau,2557,0,1242,1315
itapecuru mirim,9459,851,6503,2105
itinga do maranhao,5239,392,4519,328
jatoba,1079,0,1000,79
jenipapo dos vieiras,2076,0,1186,890
joao lisboa,5395,26,4506,863
joselandia,3172,112,2229,831
junco do maranhao,1086,0,597,489
lago da pedra,8940,183,6447,2310
lago do junco,2120,48,1274,797
lago dos rodrigues,1893,0,1336,557
lago verde,2699,4,1567,1128
lagoa do mato,2065,0,1310,755
lagoa grande do maranhao,1738,0,794,945
lajeado novo,1168,101,757,310
lima campos,2648,337,1784,526
loreto,2036,65,1474,497
luis domingues,1188,0,897,291
magalhaes de almeida,2680,4,2011,665
maracacume,2941,0,1909,1032
maraja do sena,1391,0,538,853
maranhaozinho,1680,0,1003,676
mata roma,2497,128,1755,614
matinha,4131,16,2862,1253
matoes,5715,112,3770,1833
matoes do norte,1608,0,915,693
milagres do maranhao,1039,0,517,522
mirador,4268,252,2616,1400
miranda do norte,3607,122,2869,616
mirinzal,2721,0,1863,858
moncao,5416,33,3601,1782
montes altos,2243,5,1604,634
morros,2747,0,1581,1166
nina rodrigues,1647,15,1027,605
nova colinas,718,5,521,192
nova iorque,1084,29,867,187
nova olinda do maranhao,3158,167,2028,962
olho d'agua das cunhas,3365,293,2385,688
olinda nova do maranhao,2124,0,1255,868
paco do lumiar,17600,3415,11828,2356
palmeirandia,3748,0,2879,869
paraibano,4097,9,3612,476
parnarama,7096,370,4269,2458
