city,qt
acailandia,88297
afonso cunha,4680
agua doce do maranhao,9688
alcantara,21279
aldeias altas,18827
altamira do maranhao,8865
alto alegre do maranhao,20162
alto alegre do pindare,30082
alto parnaiba,10174
amapa do maranhao,5431
amarante do maranhao,31031
anajatuba,22971
anapurus,10268
apicum-acu,11099
araguana,9123
araioses,34846
arame,30112
arari,26366
axixa,10142
bacabal,91662
bacabeira,10516
bacuri,15504
bacurituba,4671
balsas,60114
barao de grajau,15371
barra do corda,77994
barreirinhas,39638
bela vista do maranhao,9900
belagua,5253
benedito leite,5250
bequimao,19627
bernardo do mearim,5239
boa vista do gurupi,5123
bom jardim,35386
bom jesus das selvas,16538
bom lugar,11534
brejo,27430
brejo de areia,10418
buriti,24126
buriti bravo,21430
buriticupu,51341
buritirana,13822
cachoeira grande,7383
cajapio,9616
cajari,13405
campestre do maranhao,11520
candido mendes,16887
cantanhede,17691
capinzal do norte,10644
carolina,23970
carutapera,19262
caxias,139688
cedral,9766
central do maranhao,7186
centro do guilherme,6150
centro novo do maranhao,14554
chapadinha,61307
cidelandia,11816
codo,111106
coelho neto,42204
colinas,35792
conceicao do lago-acu,10774
coroata,55659
cururupu,33610
davinopolis,12275
dom pedro,21937
duque bacelar,9413
esperantinopolis,21135
estreito,22930
feira nova do maranhao,7526
fernando falcao,4823
formosa da serra negra,13781
fortaleza dos nogueiras,11282
fortuna,14590
godofredo viana,6994
goncalves dias,16790
governador archer,9100
governador edison lobao,10891
governador eugenio barros,14580
governador luiz rocha,6513
governador newton bello,11802
governador nunes freire,25921
graca aranha,6080
grajau,47084
guimaraes,12625
humberto de campos,21263
icatu,21489
igarape do meio,9842
igarape grande,9759
imperatriz,230257
itaipava do grajau,13299
itapecuru mirim,42756
itinga do maranhao,23067
jatoba,5055
jenipapo dos vieiras,10119
joao lisboa,24598
joselandia,14609
junco do maranhao,5533
lago da pedra,40398
lago do junco,9833
lago dos rodrigues,8443
lago verde,13030
lagoa do mato,9399
lagoa grande do maranhao,8469
lajeado novo,5701
lima campos,10747
loreto,10004
luis domingues,5710
magalhaes de almeida,12997
maracacume,14851
maraja do sena,7161
maranhaozinho,8445
mata roma,11799
matinha,20046
matoes,26374
matoes do norte,7435
milagres do maranhao,5149
mirador,19839
miranda do norte,16123
mirinzal,12993
moncao,26043
montes altos,10347
morros,14594
nina rodrigues,8289
nova colinas,3904
nova iorque,4529
nova olinda do maranhao,15660
olho d'agua das cunhas,14359
olinda nova do maranhao,10128
paco do lumiar,76164
palmeirandia,17256
paraibano,17847
parnarama,32464
passagem franca,14782
pastos bons,15460
paulino neves,11526
paulo ramos,19289
pedreiras,39818
pedro do rosario,17954
penalva,30299
peri mirim,13071
peritoro,17336
pindare-mirim,27517
pinheiro,67984
pio xii,28413
pirapemas,15113
pocao de pedras,22373
porto franco,16815
porto rico do maranhao,6380
presidente dutra,39528
presidente juscelino,10693
presidente medici,5111
presidente sarney,13718
presidente vargas,11720
primeira cruz,11010
raposa,17050
riachao,20983
ribamar fiquene,6488
rosario,33602
sambaiba,5234
santa filomena do maranhao,4667
santa helena,30860
santa ines,68305
santa luzia,69218
santa luzia do parua,20003
santa quiteria do maranhao,28150
santa rita,24882
santana do maranhao,10938
santo amaro do maranhao,9612
santo antonio dos lopes,14253
sao benedito do rio preto,16442
sao bento,31804
sao bernardo,22720
sao domingos do azeitao,6266
sao domingos do maranhao,32971
sao felix de balsas,5144
sao francisco do brejao,7062
sao francisco do maranhao,12850
sao joao batista,19494
sao joao do caru,13495
sao joao do paraiso,10365
sao joao do soter,14834
sao joao dos patos,23182
sao jose de ribamar,107364
sao jose dos basilios,7426
sao luis,867954
sao luis gonzaga do maranhao,23230
sao mateus do maranhao,34807
sao pedro da agua branca,10908
sao pedro dos crentes,4181
sao raimundo das mangabeiras,14870
sao raimundo do doca bezerra,6623
sao roberto,4400
sao vicente ferrer,18383
satubinha,10995
senador alexandre costa,8559
senador la rocque,16242
serrano do maranhao,9120
sitio novo,15097
sucupira do norte,10378
sucupira do riachao,4287
tasso fragoso,6386
timbiras,26390
timon,129677
trizidela do vale,16384
tufilandia,5527
tuntum,35411
turiacu,31264
turilandia,17231
tutoia,37665
urbano santos,17524
vargem grande,34697
viana,44102
vila nova dos martirios,6691
vitoria do mearim,29953
vitorino freire,27458
ze doca,46042
