city,qt
acorizal,5817
agua boa,16047
alta floresta,46783
alto araguaia,11368
alto boa vista,6201
alto garcas,8290
alto paraguai,8605
alto taquari,4448
apiacas,6592
araguaiana,3394
araguainha,1352
araputanga,13657
arenapolis,11733
aripuana,27308
barao de melgaco,7583
barra do bugres,27331
barra do garcas,50455
brasnorte,9590
caceres,85692
campinapolis,10690
campo novo do parecis,16545
campo verde,17129
campos de julio,2832
canabrava do norte,4965
canarana,14168
carlinda,12296
castanheira,7790
chapada dos guimaraes,15636
claudia,10231
cocalinho,5358
colider,27838
comodoro,15011
confresa,17742
cotriguacu,8410
cuiaba,481931
denise,7456
diamantino,18502
dom aquino,8359
feliz natal,6735
figueiropolis d'oeste,4275
gaucha do norte,3361
general carneiro,4081
gloria d'oeste,3361
guaranta do norte,28097
guiratinga,12576
indiavai,2056
itauba,8535
itiquira,8982
jaciara,22651
jangada,7122
jauru,12730
juara,30490
juina,37485
juruena,5415
juscimeira,12062
lambari d'oeste,4682
lucas do rio verde,19269
luciara,2455
marcelandia,14340
matupa,11207
mirassol d'oeste,22874
nobres,14893
nortelandia,7237
nossa senhora do livramento,12141
nova bandeirantes,6926
nova brasilandia,5747
nova canaa do norte,11510
nova guarita,5643
nova lacerda,4026
nova marilandia,2354
nova maringa,3894
nova monte verde,6805
nova mutum,14636
nova olimpia,13988
nova ubirata,5515
nova xavantina,17730
novo horizonte do norte,3511
novo mundo,4963
novo sao joaquim,9248
paranaita,10233
paranatinga,15021
pedra preta,13554
peixoto de azevedo,25612
planalto da serra,2841
pocone,30695
pontal do araguaia,3736
ponte branca,2070
pontes e lacerda,42838
porto alegre do norte,8582
porto dos gauchos,5644
porto esperidiao,9977
porto estrela,4703
poxoreo,19786
primavera do leste,39610
querencia,6994
reserva do cabacal,2418
ribeirao cascalheira,8839
ribeiraozinho,1977
rio branco,5081
rondonopolis,149529
rosario oeste,18675
salto do ceu,4643
santa carmem,3660
santa terezinha,6214
santo afonso,3088
santo antonio do leverger,15365
sao felix do araguaia,10453
sao jose do povo,3056
sao jose do rio claro,12526
sao jose do xingu,5505
sao jose dos quatro marcos,19603
sao pedro da cipa,3495
sapezal,7593
sinop,74676
sorriso,35486
tabapora,10762
tangara da serra,58683
tapurah,11381
terra nova do norte,14205
tesouro,3130
torixoreu,4832
uniao do sul,4148
varzea grande,215103
vera,9050
vila bela da santissima trindade,12466
vila rica,15436
