city,total,adequada,semi_adequada,inadequada
agua clara,2877,95,2446,336
alcinopolis,1105,0,1008,97
amambai,8051,984,6312,755
anastacio,5970,429,5183,358
anaurilandia,2106,5,1981,121
angelica,2129,5,1981,144
antonio joao,1918,3,1798,117
aparecida do taboado,5501,559,4744,197
aquidauana,11440,2067,8747,626
aral moreira,1918,5,1678,236
bandeirantes,1939,18,1818,103
bataguassu,4418,19,4149,250
bataypora,2860,24,2676,160
bela vista,5489,718,4350,421
bodoquena,2116,58,1815,243
bonito,4535,1141,3170,224
brasilandia,3331,787,2294,250
caarapo,5528,111,4918,499
camapua,4736,1048,3414,274
campo grande,185559,44681,139918,959
caracol,1134,13,1010,110
cassilandia,6064,536,5427,100
chapadao do sul,3166,21,3011,134
corguinho,1079,15,914,150
coronel sapucaia,3117,156,2509,452
corumba,22302,4384,17013,905
costa rica,4354,308,3872,174
coxim,8316,193,7810,313
deodapolis,3168,9,3049,110
dois irmaos do buriti,2303,0,1756,547
douradina,1296,8,1123,165
dourados,45176,9054,34824,1298
eldorado,2907,34,2675,198
fatima do sul,5583,305,5126,152
gloria de dourados,2963,0,2855,108
guia lopes da laguna,2920,42,2697,181
iguatemi,3345,18,3089,238
inocencia,2322,122,1988,211
itapora,4641,484,3757,400
itaquirai,3687,43,3088,557
ivinhema,5971,87,5692,192
japora,1370,0,998,372
jaraguari,1591,5,1400,186
jardim,5927,238,5592,98
jatei,1147,113,928,105
juti,1374,0,1226,148
ladario,3604,497,2934,173
laguna carapa,1476,8,1239,229
maracaju,6910,261,6313,336
miranda,5433,296,4699,437
mundo novo,4330,55,4155,120
navirai,9886,669,8927,289
nioaque,3961,155,3216,589
nova alvorada do sul,2627,28,2373,226
nova andradina,9748,152,9294,302
novo horizonte do sul,1576,0,1372,204
paranaiba,11399,1622,9421,356
paranhos,2260,7,1858,395
pedro gomes,2377,75,2127,174
ponta pora,15400,1568,12875,957
porto murtinho,3180,794,1921,465
ribas do rio pardo,4155,117,3603,436
rio brilhante,5768,164,5323,280
rio negro,1495,10,1395,90
rio verde de mato grosso,5133,145,4728,259
rochedo,1240,40,1062,138
santa rita do pardo,1821,9,1600,211
sao gabriel do oeste,4612,305,4115,191
selviria,1726,13,1609,104
sete quedas,2931,21,2826,85
sidrolandia,6054,10,5535,509
sonora,2617,5,2485,126
tacuru,1961,10,1532,420
taquarussu,1037,5,951,81
terenos,3165,48,2732,385
tres lagoas,22448,4702,17323,422
vicentina,1690,20,1574,96
