city,total,suitable,semi_suitable,inappropriate
abaetetuba,21415,1348,13345,6722
abel figueiredo,1367,0,1236,131
acara,9760,191,4314,5255
afua,5216,0,2412,2804
agua azul do norte,4699,0,3414,1285
alenquer,8073,486,4923,2664
almeirim,6774,2241,3173,1360
altamira,17469,971,14750,1748
anajas,2935,7,1150,1778
ananindeua,92519,19050,69813,3656
anapu,1838,7,947,884
augusto correa,6137,155,4230,1752
aurora do para,3918,76,2262,1579
aveiro,2896,0,1373,1523
bagre,2211,46,900,1265
baiao,3782,211,2598,973
bannach,844,0,613,231
barcarena,13292,1917,8866,2510
belem,296195,107582,185294,3318
belterra,2983,34,1849,1100
benevides,8049,1616,5766,668
bom jesus do tocantins,2924,29,2154,741
bonito,2103,0,1458,645
braganca,18692,2471,11829,4391
brasil novo,3622,89,2433,1100
brejo grande do araguaia,1607,0,1396,211
breu branco,6614,206,4885,1522
breves,13564,138,7489,5937
bujaru,3831,77,2258,1496
cachoeira do arari,3000,0,1684,1316
cachoeira do piria,3117,33,1762,1322
cameta,16109,732,7961,7416
canaa dos carajas,2521,0,1890,631
capanema,12754,207,9687,2860
capitao poco,10068,0,7318,2750
castanhal,30607,5161,23020,2426
chaves,2945,10,966,1969
colares,2028,64,1340,624
conceicao do araguaia,10446,1541,7620,1285
concordia do para,4040,0,2288,1752
cumaru do norte,1163,28,907,228
curionopolis,4646,29,3837,780
curralinho,3267,62,1424,1781
curua,1724,0,1010,714
curuca,5412,561,3830,1021
dom eliseu,8899,56,7925,918
eldorado dos carajas,6277,0,3780,2497
faro,1564,3,1127,434
floresta do araguaia,3245,0,2160,1085
garrafao do norte,4569,0,2612,1957
goianesia do para,4974,5,3445,1524
gurupa,3801,114,1756,1932
igarape-acu,7028,416,4968,1644
igarape-miri,9067,336,4798,3932
inhangapi,1587,114,951,522
ipixuna do para,4763,103,2873,1787
irituia,6024,273,3820,1931
itaituba,20007,0,15761,4246
itupiranga,9688,0,6145,3543
jacareacanga,3683,41,2020,1621
jacunda,9308,74,7641,1592
juruti,5303,12,2744,2547
limoeiro do ajuru,3222,33,1070,2119
mae do rio,5486,55,3912,1520
magalhaes barata,1598,0,1288,310
maraba,37919,4440,28248,5231
maracana,5489,208,4166,1114
marapanim,5234,287,4021,926
marituba,17026,934,12976,3116
medicilandia,4648,45,3188,1415
melgaco,3347,17,750,2581
mocajuba,3577,358,2485,734
moju,9680,165,5232,4283
monte alegre,12746,945,7423,4378
muana,4613,95,2314,2204
nova esperanca do piria,3451,0,1716,1735
nova ipixuna,2657,0,1714,942
nova timboteua,2634,140,2080,415
novo progresso,4314,94,3445,775
novo repartimento,8545,105,4989,3452
obidos,9097,268,6277,2552
oeiras do para,3870,72,1899,1900
oriximina,9118,1548,5504,2066
ourem,2968,194,2159,615
ourilandia do norte,4083,106,3185,792
pacaja,5401,0,3234,2167
palestina do para,1608,0,1270,338
paragominas,16773,715,14544,1513
parauapebas,16432,5448,10132,852
pau d'arco,1623,0,999,624
peixe-boi,1829,0,1422,407
picarra,2846,0,1784,1062
placas,2783,0,1614,1169
ponta de pedras,3710,160,2463,1087
portel,6561,18,3143,3401
porto de moz,3963,116,2653,1194
prainha,4801,78,2671,2052
primavera,2029,117,1526,386
quatipuru,2288,40,1421,827
redencao,15040,479,13114,1447
rio maria,4421,0,3849,572
rondon do para,8888,421,7630,837
ruropolis,5177,101,3285,1791
salinopolis,6886,731,4786,1368
salvaterra,3153,310,2146,698
santa barbara do para,2388,342,1794,252
santa cruz do arari,967,0,682,285
santa isabel do para,9487,1792,6616,1079
santa luzia do para,3837,147,2649,1041
santa maria das barreiras,2456,83,1784,589
santa maria do para,4798,717,3302,779
santana do araguaia,7609,28,6100,1481
santarem,53338,7135,36800,9403
santarem novo,1108,17,834,257
santo antonio do taua,4360,555,2963,842
sao caetano de odivelas,3151,0,2269,882
sao domingos do araguaia,4205,0,2985,1220
sao domingos do capim,5083,62,3066,1955
sao felix do xingu,7480,47,5046,2387
sao francisco do para,3041,362,2123,556
sao geraldo do araguaia,6187,12,4543,1633
sao joao da ponta,815,33,593,189
sao joao de pirabas,3577,145,2448,984
sao joao do araguaia,2446,0,1414,1032
sao miguel do guama,8646,174,5806,2666
sao sebastiao da boa vista,3112,58,1423,1630
sapucaia,934,0,864,70
senador jose porfirio,2958,44,1779,1135
soure,4024,441,2790,793
tailandia,7830,422,5151,2258
terra alta,1701,39,1383,279
terra santa,2499,98,1981,420
tome-acu,9439,968,6653,1818
tracuateua,4393,163,2376,1854
trairao,2062,0,993,1069
tucuma,5960,191,4599,1170
tucurui,15931,2193,12943,795
ulianopolis,4147,0,2784,1363
uruara,9753,0,6718,3035
vigia,8083,629,6293,1161
viseu,9327,143,5360,3824
vitoria do xingu,2190,11,1363,816
xinguara,8692,0,6743,1949
