city,quantity
abaetetuba,119097
abel figueiredo,5957
acara,52106
afua,29475
agua azul do norte,22074
alenquer,41755
almeirim,33751
altamira,76298
anajas,18287
ananindeua,393164
anapu,9407
augusto correa,32982
aurora do para,19728
aveiro,15480
bagre,13692
baiao,21005
bannach,3765
barcarena,63008
belem,1278776
belterra,14580
benevides,35347
bom jesus do tocantins,13106
bonito,9814
braganca,93642
brasil novo,17186
brejo grande do araguaia,7460
breu branco,32403
breves,80134
bujaru,22508
cachoeira do arari,16690
cachoeira do piria,15437
cameta,97561
canaa dos carajas,10855
capanema,57107
capitao poco,50808
castanhal,134356
chaves,17348
colares,10606
conceicao do araguaia,43347
concordia do para,20875
cumaru do norte,5878
curionopolis,19447
curralinho,19950
curua,9224
curuca,26112
dom eliseu,39328
eldorado dos carajas,29531
faro,10006
floresta do araguaia,14281
garrafao do norte,24221
goianesia do para,22652
gurupa,23098
igarape-acu,32340
igarape-miri,52528
inhangapi,7674
ipixuna do para,25031
irituia,31752
itaituba,94585
itupiranga,49655
jacareacanga,22027
jacunda,40486
juruti,31189
limoeiro do ajuru,19558
mae do rio,25300
magalhaes barata,7693
maraba,167617
maracana,27521
marapanim,24693
marituba,74094
medicilandia,21379
melgaco,21041
mocajuba,20509
moju,52898
monte alegre,61307
muana,25474
nova esperanca do piria,18887
nova ipixuna,11846
nova timboteua,11406
novo progresso,24948
novo repartimento,41798
obidos,46379
oeiras do para,23247
oriximina,48238
ourem,14384
ourilandia do norte,19420
pacaja,28881
palestina do para,7512
paragominas,76209
parauapebas,71283
pau d'arco,7124
peixe-boi,7741
picarra,13002
placas,13343
ponta de pedras,18617
portel,37802
porto de moz,23518
prainha,27182
primavera,9718
quatipuru,10905
redencao,62858
rio maria,17498
rondon do para,39608
ruropolis,24631
salinopolis,33322
salvaterra,15022
santa barbara do para,11378
santa cruz do arari,5621
santa isabel do para,42234
santa luzia do para,19393
santa maria das barreiras,10934
santa maria do para,20850
santana do araguaia,31039
santarem,262229
santarem novo,5434
santo antonio do taua,19835
sao caetano de odivelas,15570
sao domingos do araguaia,19929
sao domingos do capim,27393
sao felix do xingu,34570
sao francisco do para,14245
sao geraldo do araguaia,27646
sao joao da ponta,4035
sao joao de pirabas,17474
sao joao do araguaia,12247
sao miguel do guama,41342
sao sebastiao da boa vista,17643
sapucaia,3753
senador jose porfirio,15654
soure,19872
tailandia,38373
terra alta,8261
terra santa,14579
tome-acu,47304
tracuateua,22743
trairao,13873
tucuma,25145
tucurui,73538
ulianopolis,19153
uruara,45191
vigia,40153
viseu,51074
vitoria do xingu,11142
xinguara,35289
