city,total,suitable,semi_suitable,inappropriate
agua branca,1936,160,1371,405
aguiar,1362,291,887,184
alagoa grande,7027,1940,4328,759
alagoa nova,4392,664,2942,785
alagoinha,2822,165,2450,207
alcantil,1223,0,930,293
algodao de jandaira,506,0,373,133
alhandra,3836,49,3346,441
amparo,453,0,319,134
aparecida,1471,19,1294,158
aracagi,4412,106,3365,940
arara,3121,576,2267,278
araruna,3985,52,3140,793
areia,5817,1294,3504,1019
areia de baraunas,396,15,307,74
areial,1451,368,850,232
aroeiras,4804,410,3239,1156
assuncao,696,125,473,98
baia da traicao,1401,29,1286,86
bananeiras,4976,287,3590,1100
barauna,826,0,707,119
barra de santa rosa,3273,950,1735,588
barra de santana,2052,0,1340,712
barra de sao miguel,1327,21,1197,109
bayeux,21287,7304,13841,142
belem,4337,2144,1886,307
belem do brejo do cruz,1653,230,1202,221
bernardino batista,537,0,325,212
boa ventura,1422,0,1125,296
boa vista,1202,0,958,244
bom jesus,516,0,463,53
bom sucesso,1388,70,1055,263
bonito de santa fe,2111,614,1129,368
boqueirao,3896,1590,1885,421
borborema,1158,222,744,192
brejo do cruz,2789,812,1535,442
brejo dos santos,1538,19,1333,186
caapora,4190,257,3516,418
cabaceiras,1089,148,780,161
cabedelo,10865,6591,4182,93
cachoeira dos indios,1851,5,1456,390
cacimba de areia,841,182,445,215
cacimba de dentro,4061,14,3360,687
cacimbas,1587,0,1090,498
caicara,1784,404,1179,201
cajazeiras,14145,4218,8807,1119
cajazeirinhas,648,29,427,193
caldas brandao,1363,11,1231,121
camalau,1505,46,1132,327
campina grande,89822,50128,38568,1126
campo de santana,2354,113,1900,341
capim,1008,5,890,113
caraubas,888,143,618,128
carrapateira,477,0,431,46
casserengue,1571,0,1276,295
catingueira,1010,24,827,159
catole do rocha,6576,922,4804,850
caturite,1042,83,749,210
conceicao,4295,166,3399,729
condado,1507,158,1183,167
conde,3868,77,3037,754
congo,1233,168,893,172
coremas,3681,1048,2169,464
coxixola,407,97,277,32
cruz do espirito santo,3167,202,2278,687
cubati,1630,87,1349,194
cuite,5069,464,3835,770
cuite de mamanguape,1476,61,1101,314
cuitegi,1721,61,1605,55
curral de cima,1276,0,907,369
curral velho,514,0,383,130
damiao,856,0,622,234
desterro,1851,314,1240,297
diamante,1556,25,1266,264
dona ines,2414,133,1728,553
duas estradas,1038,118,833,87
emas,649,83,413,154
esperanca,7203,2642,3625,936
fagundes,2862,58,2172,631
frei martinho,781,303,373,105
gado bravo,1883,0,1031,852
guarabira,13155,5190,7512,453
gurinhem,3134,89,2536,509
gurjao,716,47,593,75
ibiara,1585,94,1255,236
igaracy,1537,134,1167,236
imaculada,2557,167,1612,777
inga,4350,216,3621,513
itabaiana,6666,847,5303,516
itaporanga,5017,1748,2779,490
itapororoca,3537,1545,1733,258
itatuba,2283,72,1841,371
jacarau,3568,6,3090,472
jerico,1756,197,1256,303
joao pessoa,151729,73383,77815,531
juarez tavora,1862,84,1590,188
juazeirinho,3345,11,2608,726
junco do serido,1376,338,844,194
