city,total,adequada,semi_adequada,inadequada
abatia,2259,289,1828,141
adrianopolis,1863,348,1197,318
agudos do sul,1904,270,1435,199
almirante tamandare,23085,6679,16247,159
altamira do parana,1676,35,1340,302
alto parana,3580,1287,2138,155
alto piquiri,3047,36,2943,68
altonia,5564,888,4404,272
alvorada do sul,2463,339,2066,57
amapora,1250,28,1194,28
ampere,4162,785,3187,191
anahy,812,5,753,54
andira,6149,2561,3492,96
angulo,831,0,809,22
antonina,5074,2523,2413,138
antonio olinto,2041,53,1612,377
apucarana,30583,7538,22712,333
arapongas,24258,8915,15072,272
arapoti,6432,336,5744,352
arapua,1126,10,1015,101
araruna,3643,1804,1676,163
araucaria,24747,13824,10772,152
ariranha do ivai,750,0,697,53
assai,5037,1597,3227,214
assis chateaubriand,9880,2518,7065,296
astorga,6850,1895,4800,155
atalaia,1142,10,1085,47
balsa nova,2815,484,2260,71
bandeirantes,9270,4451,4568,251
barbosa ferraz,3990,793,3016,182
barra do jacare,801,138,632,31
barracao,2502,995,1332,175
bela vista da caroba,1194,0,985,209
bela vista do paraiso,4159,1378,2725,56
bituruna,3666,1363,1975,328
boa esperanca,1449,203,1180,66
boa esperanca do iguacu,767,24,649,94
boa ventura de sao roque,1651,0,1278,373
boa vista da aparecida,2292,85,2002,205
bocaiuva do sul,2420,671,1598,152
bom jesus do sul,1032,53,784,195
bom sucesso,1689,179,1454,57
bom sucesso do sul,912,74,812,26
borrazopolis,2812,24,2634,154
braganey,1599,36,1433,130
brasilandia do sul,1093,18,1010,65
cafeara,708,23,660,25
cafelandia,3114,1302,1740,72
cafezal do sul,1351,19,1274,58
california,2184,248,1865,70
cambara,6489,4425,1998,66
cambe,24408,9338,14877,192
cambira,1874,234,1546,93
campina da lagoa,4749,47,4405,297
campina do simao,1067,2,876,189
campina grande do sul,9280,4665,4306,308
campo bonito,1279,65,1110,104
campo do tenente,1582,518,1027,37
campo largo,25165,10760,13794,611
campo magro,5357,1777,3434,147
campo mourao,22752,9056,13349,347
candido de abreu,4705,416,3197,1092
candoi,3431,106,2620,704
cantagalo,3230,210,2689,332
capanema,5195,226,4777,191
capitao leonidas marques,3949,275,3479,195
carambei,3911,1267,2542,102
carlopolis,3781,1570,1879,333
cascavel,67060,24925,41370,765
castro,16724,6135,9492,1097
catanduvas,2434,220,1952,262
centenario do sul,3397,106,3199,93
cerro azul,4387,836,2652,900
ceu azul,2881,609,2170,103
chopinzinho,5322,1450,3372,500
cianorte,16521,2946,13244,331
cidade gaucha,2657,739,1870,48
clevelandia,4805,1672,2954,179
colombo,49015,27489,21420,107
colorado,6061,3751,2267,44
congonhinhas,2279,19,2109,152
conselheiro mairinck,941,446,484,10
contenda,3439,438,2572,430
corbelia,4371,1030,3237,104
cornelio procopio,13450,9191,4136,123
coronel domingos soares,1648,8,1301,340
coronel vivida,6405,923,5068,415
corumbatai do sul,1305,346,794,165
cruz machado,4235,410,2940,885
cruzeiro do iguacu,1138,0,1057,81
cruzeiro do oeste,5972,630,5117,225
cruzeiro do sul,1300,50,1223,26
cruzmaltina,944,0,831,113
curitiba,470964,377022,93726,216
curiuva,3495,31,3157,307
diamante do norte,1680,9,1601,70
diamante do sul,919,9,660,249
diamante d'oeste,1250,6,1163,81
dois vizinhos,8802,2000,6381,421
douradina,1789,36,1728,25
doutor camargo,1785,512,1227,47
doutor ulysses,1498,23,1130,345
eneas marques,1665,218,1193,255
engenheiro beltrao,4082,974,3038,71
entre rios do oeste,939,159,780,0
esperanca nova,658,0,618,40
espigao alto do iguacu,1319,0,1117,202
farol,1066,0,942,124
faxinal,4472,693,3484,296
fazenda rio grande,16503,6675,9735,92
fenix,1448,202,1198,47
fernandes pinheiro,1591,208,1199,184
figueira,2595,395,2117,82
flor da serra do sul,1266,80,971,215
florai,1597,279,1302,16
floresta,1476,0,1461,15
florestopolis,3278,88,3070,120
florida,696,35,655,5
formosa do oeste,2526,28,2378,120
foz do iguacu,69858,30567,38951,339
foz do jordao,1544,39,1365,141
francisco alves,1983,51,1846,87
francisco beltrao,19070,7398,11326,346
general carneiro,3467,561,2694,213
godoy moreira,1061,57,892,112
goioere,8485,1977,6330,178
goioxim,1828,5,1315,507
grandes rios,2107,0,1845,262
guaira,8045,3106,4796,143
guairaca,1580,15,1468,97
guamiranga,1784,66,1325,394
guapirama,1143,4,1075,64
guaporema,610,0,572,38
guaraci,1464,34,1395,35
guaraniacu,4648,1166,2999,483
guarapuava,41898,16011,25015,872
guaraquecaba,2138,266,1756,116
guaratuba,7331,4021,3175,135
honorio serpa,1589,39,1325,225
ibaiti,7440,1366,5666,408
ibema,1491,13,1388,90
ibipora,11789,8092,3550,148
icaraima,2855,34,2733,88
iguaracu,1030,278,715,38
iguatu,647,5,586,56
imbau,2621,11,2369,241
imbituva,6596,868,5294,433
inacio martins,2697,360,1872,465
inaja,844,127,712,5
indianopolis,1216,113,1025,78
ipiranga,3322,649,2053,620
ipora,4691,654,3867,170
iracema do oeste,832,32,761,39
irati,14474,6528,7206,740
iretama,3062,276,2517,270
itaguaje,1323,45,1224,54
itaipulandia,1760,12,1731,18
itambaraca,1932,199,1688,45
itambe,1760,825,906,28
itapejara d'oeste,2541,556,1863,122
itaperucu,5217,1864,3107,246
itauna do sul,1199,0,1127,72
ivai,2943,357,2144,442
ivaipora,9454,476,8741,238
