city,total,suitable,semi_suitable,inappropriate
abreu e lima,22626,5156,16949,521
afogados da ingazeira,8666,4362,3478,826
afranio,3371,76,2269,1026
agrestina,5254,2238,2498,518
agua preta,6169,822,3934,1413
aguas belas,8732,946,6128,1658
alagoinha,3319,612,2269,438
alianca,8160,478,6438,1244
altinho,6105,1950,3282,874
amaraji,5007,987,3198,822
angelim,2287,605,1428,254
aracoiaba,3398,71,2931,397
araripina,16299,3231,9513,3554
arcoverde,16024,8282,7117,625
barra de guabiraba,2645,640,1753,253
barreiros,8734,1327,6434,973
belem de maria,2667,444,1854,369
belem de sao francisco,4325,562,3018,744
belo jardim,18319,7429,9557,1333
betania,2652,173,1811,669
bezerros,16292,7203,8115,974
bodoco,6803,378,4549,1875
bom conselho,10293,3463,5368,1462
bom jardim,8948,658,6399,1892
bonito,9282,3771,4203,1308
brejao,2118,79,1611,428
brejinho,1799,420,982,397
brejo da madre de deus,9643,2538,6069,1036
buenos aires,2725,111,2201,413
buique,9701,978,6194,2529
cabo de santo agostinho,37019,9931,25733,1354
cabrobo,6161,2197,3218,746
cachoeirinha,4674,1971,2299,404
caetes,5439,259,3611,1570
calcado,2853,454,1851,548
calumbi,1787,161,1313,314
camaragibe,32286,4007,27140,1139
camocim de sao felix,3965,646,3010,309
camutanga,1829,247,1343,239
canhotinho,6056,1405,3987,664
capoeiras,4423,731,2609,1083
carnaiba,4394,1099,2517,778
carnaubeira da penha,2038,0,1206,832
carpina,15544,424,14295,825
caruaru,68171,35937,29582,2651
casinhas,3081,0,2183,898
catende,7502,3107,3710,685
cedro,2046,417,1232,397
cha de alegria,2505,101,2023,380
cha grande,4635,797,3054,783
condado,5191,69,4525,597
correntes,4019,910,2618,491
cortes,2883,766,1928,189
cumaru,6167,164,4498,1506
cupira,6161,3314,2498,348
custodia,7709,2073,4609,1026
dormentes,3267,66,2340,861
escada,13665,3544,8633,1488
exu,7039,511,4690,1837
feira nova,4760,192,3849,720
fernando de noronha,484,242,242,0
ferreiros,2433,662,1524,247
flores,5456,562,3866,1028
floresta,5308,1655,2822,831
frei miguelinho,3621,0,2992,629
gameleira,5118,875,3256,987
garanhuns,29583,6016,22266,1302
gloria do goita,6486,1374,3850,1262
goiana,17124,2508,13347,1269
granito,1310,112,852,346
gravata,17903,7946,8700,1257
iati,3895,366,2522,1007
ibimirim,5480,285,4353,842
ibirajuba,1923,418,1143,361
igarassu,19877,1327,17557,993
iguaraci,2927,314,2127,487
ilha de itamaraca,3642,32,3352,258
inaja,2890,187,2078,626
ingazeira,1120,213,707,200
ipojuca,13450,1749,10265,1436
ipubi,5081,28,3930,1123
itacuruba,819,393,374,53
itaiba,6065,930,3651,1483
itambe,7866,28,6955,883
itapetim,4000,778,2682,540
itapissuma,4766,2654,2083,30
itaquitinga,3361,26,2827,508
jaboatao dos guararapes,150400,41370,103437,5593
jaqueira,2496,327,1720,448
jatauba,3802,709,2404,689
jatoba,3047,1185,1679,182
joao alfredo,6945,926,4385,1633
joaquim nabuco,3579,511,2549,519
jucati,2348,222,1659,467
jupi,3074,410,2157,506
jurema,3482,1255,1740,486
lagoa do carro,3141,55,2649,437
lagoa do itaenga,4475,141,3770,564
lagoa do ouro,2679,566,1755,358
lagoa dos gatos,4155,893,2603,659
lagoa grande,4108,90,3571,447
lajedo,8417,3425,4548,444
limoeiro,14391,2352,10724,1316
macaparana,5239,1407,3271,561
machados,2361,20,2014,327
manari,2795,0,1593,1202
maraial,3012,176,2171,665
mirandiba,2808,511,1761,537
moreilandia,2551,97,1915,539
moreno,12133,1619,9787,728
nazare da mata,6975,3486,2984,506
olinda,94044,38193,54698,1153
orobo,5179,355,3641,1183
oroco,2244,392,1454,398
ouricuri,12536,2101,7513,2921
palmares,13220,5513,6438,1269
palmeirina,2299,286,1704,309
panelas,6085,1356,3463,1267
paranatama,2537,0,1826,711
parnamirim,4183,794,2459,930
passira,7241,102,5666,1473
paudalho,10664,747,8771,1145
paulista,67782,29832,37389,561
pedra,4813,876,3037,900
pesqueira,14975,4606,8632,1737
petrolandia,6081,2489,3414,178
petrolina,50596,21960,26078,2558
pocao,3062,287,2291,484
pombos,5844,1812,3180,852
primavera,2729,503,1638,588
quipapa,4943,1549,2498,897
quixaba,1568,49,1127,392
recife,375857,152586,221701,1570
riacho das almas,4918,828,3200,890
ribeirao,9623,3673,5008,941
rio formoso,4343,731,2539,1073
saire,3577,0,2767,810
salgadinho,1609,37,1161,412
salgueiro,11824,4030,6981,813
saloa,3855,573,2781,501
sanharo,4214,724,3143,347
santa cruz,2520,204,1662,654
santa cruz da baixa verde,2668,17,2154,496
santa cruz do capibaribe,15597,7120,7773,705
santa filomena,2618,0,1890,728
santa maria da boa vista,7296,1194,5417,685
santa maria do cambuca,2974,66,2147,761
santa terezinha,2330,537,1358,435
sao benedito do sul,2440,189,1741,511
sao bento do una,10907,2826,6757,1324
sao caitano,8784,2239,5592,953
sao joao,4692,200,3659,833
sao joaquim do monte,5149,1849,2558,742
sao jose da coroa grande,3061,769,1879,413
sao jose do belmonte,7102,1285,4490,1326
sao jose do egito,8096,2666,4712,719
sao lourenco da mata,22295,4033,16421,1841
sao vicente ferrer,3701,481,2614,606
serra talhada,17726,6762,8888,2076
serrita,3612,422,2191,999
sertania,8065,2145,4847,1073
sirinhaem,6749,82,5283,1383
solidao,1244,109,748,387
surubim,12942,4218,7513,1211
tabira,6187,2811,2760,616
tacaimbo,3316,873,1932,510
tacaratu,3813,203,2758,851
tamandare,3879,46,3011,822
taquaritinga do norte,5288,684,3990,614
terezinha,1505,233,930,341
terra nova,1664,344,1161,159
timbauba,13379,3292,8836,1251
toritama,5491,2586,2794,110
tracunhaem,2716,63,2363,291
trindade,5006,75,4013,918
triunfo,3742,242,2961,540
tupanatinga,4580,455,2951,1174
tuparetama,2116,691,1298,127
venturosa,3247,1083,1693,471
verdejante,2006,171,1520,315
vertente do lerio,2066,0,1461,605
vertentes,3796,189,3048,560
vicencia,6471,289,5275,907
vitoria de santo antao,29955,14438,13719,1798
xexeu,3047,510,2140,397
