city,qt
acaua,5147
agricolandia,5330
agua branca,14510
alagoinha do piaui,6868
alegrete do piaui,4713
alto longa,12000
altos,38966
alvorada do gurgueia,4202
amarante,16860
angical do piaui,6788
anisio de abreu,7155
antonio almeida,2838
aroazes,6010
arraial,4909
assuncao do piaui,6933
avelino lopes,9572
baixa grande do ribeiro,7755
barra d'alcantara,4107
barras,40833
barreiras do piaui,3079
barro duro,6787
batalha,24127
bela vista do piaui,2963
belem do piaui,2429
beneditinos,9712
bertolinia,5117
betania do piaui,8618
boa hora,5154
bocaina,4261
bom jesus,15862
bom principio do piaui,4625
bonfim do piaui,4868
boqueirao do piaui,5567
brasileira,7366
brejo do piaui,3986
buriti dos lopes,18583
buriti dos montes,7284
cabeceiras do piaui,8498
cajazeiras do piaui,2663
cajueiro da praia,6109
caldeirao grande do piaui,5472
campinas do piaui,5141
campo alegre do fidalgo,4435
campo grande do piaui,4882
campo largo do piaui,5743
campo maior,43008
canavieira,4114
canto do buriti,18363
capitao de campos,10036
capitao gervasio oliveira,3492
caracol,8033
caraubas do piaui,4809
caridade do piaui,4062
castelo do piaui,18339
caxingo,4147
cocal,24123
cocal de telha,4248
cocal dos alves,5137
coivaras,3507
colonia do gurgueia,4981
colonia do piaui,7251
conceicao do caninde,4896
coronel jose dias,4415
corrente,23206
cristalandia do piaui,6488
cristino castro,9230
curimata,9466
currais,4232
curral novo do piaui,4147
curralinhos,3641
demerval lobao,12489
dirceu arcoverde,6060
dom expedito lopes,5954
dom inocencio,8909
domingos mourao,4244
elesbao veloso,14952
eliseu martins,4179
esperantina,34094
fartura do piaui,4669
flores do piaui,4360
floresta do piaui,2416
floriano,54402
francinopolis,5254
francisco ayres,5222
francisco macedo,2337
francisco santos,7043
fronteiras,10012
geminiano,4790
gilbues,10208
guadalupe,10287
guaribas,4785
hugo napoleao,3692
ilha grande,7890
inhuma,14414
ipiranga do piaui,8422
isaias coelho,7658
itainopolis,10365
itaueira,10347
jacobina do piaui,5690
jaicos,15844
jardim do mulato,3990
jatoba do piaui,4308
jerumenha,4498
joao costa,3010
joaquim pires,13076
joca marques,4349
jose de freitas,32858
juazeiro do piaui,4523
julio borges,4843
jurema,4036
lagoa alegre,6849
lagoa de sao francisco,5782
lagoa do barro do piaui,4448
lagoa do piaui,3488
lagoa do sitio,4138
lagoinha do piaui,2231
landri sales,5620
luis correia,24232
luzilandia,24042
madeiro,6771
manoel emidio,5151
marcolandia,6166
marcos parente,4274
massape do piaui,5979
matias olimpio,9727
miguel alves,29745
miguel leao,1370
milton brandao,6900
monsenhor gil,10309
monsenhor hipolito,6764
monte alegre do piaui,10230
morro cabeca no tempo,4416
morro do chapeu do piaui,6006
murici dos portelas,6375
nazare do piaui,7775
nossa senhora de nazare,3726
nossa senhora dos remedios,7214
nova santa rita,4150
novo oriente do piaui,6760
novo santo antonio,3155
oeiras,33854
olho d'agua do piaui,2279
padre marcos,7270
paes landim,4169
pajeu do piaui,2874
palmeira do piaui,5163
palmeirais,12154
paqueta,4386
parnagua,9307
parnaiba,132128
passagem franca do piaui,4195
patos do piaui,5634
paulistana,16529
pavussu,3959
pedro ii,36190
pedro laurentino,1991
picos,68803
pimenteiras,11306
pio ix,16498
piracuruca,24782
piripiri,60113
porto,10573
porto alegre do piaui,2415
prata do piaui,3117
queimada nova,8321
redencao do gurgueia,7781
regeneracao,17445
riacho frio,4316
ribeira do piaui,3879
ribeiro goncalves,5705
rio grande do piaui,6098
santa cruz do piaui,5776
santa cruz dos milagres,3334
santa filomena,6001
santa luz,4761
santa rosa do piaui,5223
santana do piaui,4595
santo antonio de lisboa,5154
santo antonio dos milagres,1876
santo inacio do piaui,3447
sao braz do piaui,4192
sao felix do piaui,3397
sao francisco de assis do piaui,3806
sao francisco do piaui,6440
sao goncalo do gurgueia,2318
sao goncalo do piaui,4249
sao joao da canabrava,4240
sao joao da fronteira,4866
sao joao da serra,6675
sao joao da varjota,4375
sao joao do arraial,5734
sao joao do piaui,17670
sao jose do divino,4875
sao jose do peixe,3810
sao jose do piaui,6706
sao juliao,5700
sao lourenco do piaui,4274
sao luis do piaui,2488
sao miguel da baixa grande,2030
sao miguel do fidalgo,2988
sao miguel do tapuio,18779
sao pedro do piaui,12510
sao raimundo nonato,26833
sebastiao barros,4516
sebastiao leal,3807
sigefredo pacheco,9025
simoes,13603
simplicio mendes,10903
socorro do piaui,4632
sussuapara,5042
tamboril do piaui,2410
tanque do piaui,2311
teresina,714100
uniao,39801
urucui,17011
valenca do piaui,19841
varzea branca,5188
varzea grande,4475
vera mendes,2907
vila nova do piaui,2906
wall ferraz,3978
