city,quantity
angra dos reis,118741
aperibe,8002
araruama,82565
areal,9850
armacao dos buzios,17943
arraial do cabo,23787
barra do pirai,88250
barra mansa,170468
belford roxo,434208
bom jardim,22455
bom jesus do itabapoana,33342
cabo frio,126577
cachoeiras de macacu,48461
cambuci,14635
campos dos goytacazes,406318
cantagalo,19774
carapebus,8666
cardoso moreira,12595
carmo,14923
casimiro de abreu,22013
comendador levy gasparian,7924
conceicao de macabu,18627
cordeiro,18588
duas barras,10328
duque de caxias,774516
engenheiro paulo de frontin,12124
guapimirim,37930
iguaba grande,15046
itaborai,186911
itaguai,81832
italva,12621
itaocara,22937
itaperuna,86360
itatiaia,24352
japeri,83235
laje do muriae,7877
macae,132079
macuco,4886
mage,205611
mangaratiba,24793
marica,76588
mendes,17252
miguel pereira,23818
miracema,27009
natividade,15053
nilopolis,153586
niteroi,456887
nova friburgo,172471
nova iguacu,919500
paracambi,38778
paraiba do sul,37255
parati,29143
paty do alferes,24766
petropolis,284555
pinheiral,19457
pirai,22086
porciuncula,16013
porto real,12090
quatis,10684
queimados,121849
quissama,13674
resende,104360
rio bonito,49042
rio claro,16137
rio das flores,7625
rio das ostras,36273
rio de janeiro,5824757
santa maria madalena,10443
santo antonio de padua,38572
sao fidelis,36740
sao francisco de itabapoana,41380
sao goncalo,889564
sao joao da barra,27624
sao joao de meriti,448904
sao jose de uba,6413
sao jose do vale do rio preto,19227
sao pedro da aldeia,63084
sao sebastiao do alto,8402
sapucaia,17145
saquarema,52355
seropedica,65114
silva jardim,21258
sumidouro,14155
tangua,25941
teresopolis,137603
trajano de morais,10148
tres rios,71806
valenca,66045
varre-sai,7854
vassouras,31176
volta redonda,241583
