city,total,adequada,semi_adequada,inadequada
agua santa,1120,47,991,82
agudo,4880,1668,2872,340
ajuricaba,2312,64,2137,110
alecrim,2422,23,2163,235
alegrete,24169,13214,10434,521
alegria,1554,0,1391,163
alpestre,2739,191,2107,441
alto alegre,606,15,542,49
alto feliz,860,202,654,4
alvorada,51128,33827,17101,200
amaral ferrador,1665,154,1295,216
ametista do sul,2020,18,1681,321
andre da rocha,340,132,208,0
anta gorda,1693,394,1250,49
antonio prado,3659,2135,1453,70
arambare,1211,610,494,107
ararica,1208,7,1201,0
aratiba,1933,454,1423,57
arroio do meio,4963,1464,3457,42
arroio do sal,1624,127,1473,24
arroio do tigre,3150,750,2158,242
arroio dos ratos,4088,2097,1954,37
arroio grande,6053,3440,2498,115
arvorezinha,2779,812,1692,275
augusto pestana,2483,82,2288,114
aurea,1088,70,936,82
bage,35119,21148,13694,277
balneario pinhal,2224,529,1693,2
barao,1490,258,1184,48
barao de cotegipe,1875,616,1150,109
barao do triunfo,1930,30,1526,374
barra do guarita,832,0,759,73
barra do quarai,1027,302,715,10
barra do ribeiro,3674,2095,1503,76
barra do rio azul,601,40,520,40
barra funda,581,0,581,0
barracao,1595,91,1422,82
barros cassal,3131,398,2304,429
benjamin constant do sul,623,0,418,205
bento goncalves,27168,20640,6472,55
boa vista das missoes,603,0,572,31
boa vista do burica,1872,121,1715,36
boa vista do sul,804,82,722,0
bom jesus,3563,1694,1784,85
bom principio,2726,1385,1336,5
bom progresso,760,0,674,86
bom retiro do sul,3353,1883,1421,49
boqueirao do leao,2120,89,1715,316
bossoroca,2180,36,1989,155
braga,1225,0,1111,114
brochier,1372,0,1275,97
butia,6061,3564,2471,26
cacapava do sul,10755,4283,6054,418
cacequi,4365,248,4031,86
cachoeira do sul,27119,9542,16951,626
cachoeirinha,31582,21993,9563,26
cacique doble,1266,274,905,87
caibate,2150,106,2000,44
caicara,1496,199,1065,233
camaqua,17824,10776,6428,620
camargo,685,0,663,22
cambara do sul,1982,761,1181,41
campestre da serra,922,176,666,81
campina das missoes,2004,393,1606,5
campinas do sul,2346,867,1393,86
campo bom,16163,11647,4516,0
campo novo,1951,9,1842,100
campos borges,1115,160,875,80
candelaria,9177,3157,5479,541
candido godoi,2044,62,1933,49
candiota,2260,1232,865,163
canela,9855,6737,3105,14
cangucu,14953,3918,9178,1858
canoas,89536,65800,23533,203
capao da canoa,8812,5723,3026,63
capao do leao,6939,3491,3353,95
capela de santana,3012,567,2426,19
capitao,719,42,635,42
capivari do sul,923,297,624,2
caraa,1982,14,1918,50
carazinho,18017,4600,13318,100
carlos barbosa,6083,4064,1922,97
carlos gomes,498,0,480,18
casca,2339,993,1179,167
caseiros,818,145,659,14
catuipe,2965,192,2650,123
caxias do sul,109199,85113,23771,315
centenario,854,0,720,134
cerrito,2272,42,2134,96
cerro branco,1360,192,1075,93
cerro grande,726,0,687,39
cerro grande do sul,2375,356,1747,271
cerro largo,3732,1120,2600,12
chapada,2955,21,2786,147
charqueadas,7867,5912,1898,57
charrua,913,84,712,117
chiapetta,1297,6,1219,72
chui,1494,923,559,12
chuvisca,1202,0,972,230
cidreira,2771,1730,1031,10
ciriaco,1499,311,1147,41
colinas,750,292,452,6
colorado,1219,3,1204,12
condor,1850,198,1583,69
constantina,3136,68,2996,71
coqueiros do sul,834,5,778,51
coronel barros,751,14,720,17
coronel bicaco,2488,0,2345,143
cotipora,1103,262,804,36
coxilha,836,43,734,59
crissiumal,4586,225,4167,193
cristal,1894,820,983,92
cristal do sul,806,0,718,88
cruz alta,20794,4701,15704,389
cruzeiro do sul,3512,1195,2257,60
david canabarro,1255,165,972,118
derrubadas,1040,0,928,112
dezesseis de novembro,980,0,922,58
dilermando de aguiar,993,59,890,44
dois irmaos,6532,5308,1224,0
dois irmaos das missoes,649,0,578,71
