city,qt
alta floresta d'oeste,26500
alto alegre dos parecis,13044
alto paraiso,13114
alvorada d'oeste,19826
ariquemes,74412
buritis,25639
cabixi,7518
cacaulandia,5368
cacoal,73432
campo novo de rondonia,11463
candeias do jamari,13055
castanheiras,4212
cerejeiras,18194
chupinguaia,5504
colorado do oeste,21877
corumbiara,10459
costa marques,10190
cujubim,6502
espigao d'oeste,25647
governador jorge teixeira,13950
guajara-mirim,37749
itapua do oeste,6796
jaru,53565
ji-parana,106135
machadinho d'oeste,22682
ministro andreazza,11610
mirante da serra,13130
monte negro,12617
nova brasilandia d'oeste,17054
nova mamore,14778
nova uniao,8233
novo horizonte do oeste,12276
ouro preto do oeste,40848
parecis,3622
pimenta bueno,31651
pimenteiras do oeste,2518
porto velho,333525
presidente medici,26361
primavera de rondonia,4311
rio crespo,2937
rolim de moura,47288
santa luzia d'oeste,11595
sao felipe d'oeste,7056
sao francisco do guapore,11085
sao miguel do guapore,23852
seringueiras,11650
teixeiropolis,5605
theobroma,11355
urupa,14880
vale do anari,7727
vale do paraiso,9863
vilhena,53534
