city,total,adequada,semi_adequada,inadequada
abdon batista,742,75,614,54
abelardo luz,4073,728,2767,578
agrolandia,2147,825,1254,68
agronomica,1191,173,955,63
agua doce,1862,617,1068,176
aguas de chapeco,1562,7,1390,165
aguas frias,656,130,476,50
aguas mornas,1416,72,1313,32
alfredo wagner,2421,422,1680,319
alto bela vista,591,62,511,19
anchieta,1830,172,1486,171
angelina,1493,115,1236,142
anita garibaldi,2620,505,1861,254
anitapolis,890,175,649,66
antonio carlos,1736,375,1325,35
apiuna,2352,948,1333,70
arabuta,1150,140,873,136
araquari,6167,1798,4292,77
ararangua,15873,6918,8868,86
armazem,1933,668,1177,88
arroio trinta,990,320,670,0
arvoredo,561,24,449,88
ascurra,1966,958,1008,0
atalanta,958,235,649,73
aurora,1431,203,1157,71
balneario arroio do silva,1899,1382,512,5
balneario barra do sul,1765,1052,709,4
balneario camboriu,23360,18782,4565,12
balneario gaivota,1634,330,1298,6
bandeirante,811,0,728,83
barra bonita,529,54,418,57
barra velha,4506,2346,2087,73
bela vista do toldo,1417,73,1092,251
belmonte,659,0,617,42
benedito novo,2484,507,1918,58
biguacu,13179,6449,6518,212
blumenau,77224,56249,20931,43
bocaina do sul,811,76,693,42
bom jardim da serra,1100,369,665,65
bom jesus,529,22,437,70
bom jesus do oeste,577,0,495,82
bom retiro,2180,804,1297,79
bombinhas,2470,989,1479,3
botuvera,1068,163,895,10
braco do norte,6669,3021,3527,121
braco do trombudo,895,336,548,11
brunopolis,891,80,749,63
brusque,21949,14405,7494,51
cacador,17331,9196,7679,456
caibi,1699,300,1268,131
calmon,825,16,682,127
camboriu,10889,4946,5863,80
campo alegre,3092,1026,1888,178
campo belo do sul,2060,670,1248,143
campo ere,2614,178,2156,280
campos novos,8004,2563,5244,197
canelinha,2475,1015,1409,52
canoinhas,13708,6708,6339,662
capao alto,870,66,765,39
capinzal,5709,3726,1978,5
capivari de baixo,5372,4102,1270,0
catanduvas,2194,1241,865,88
caxambu do sul,1383,154,1164,64
celso ramos,761,62,596,103
cerro negro,1017,12,861,145
chapadao do lageado,663,0,566,97
chapeco,41548,17642,23319,587
cocal do sul,3752,2369,1367,16
concordia,18151,9547,8344,260
cordilheira alta,783,88,662,32
coronel freitas,2692,695,1908,89
coronel martins,589,0,532,58
correia pinto,4224,2257,1866,101
corupa,3338,1898,1394,47
criciuma,48034,35230,12774,30
cunha pora,3003,282,2591,130
cunhatai,464,2,416,46
curitibanos,9974,5202,4500,272
descanso,2361,11,2200,150
dionisio cerqueira,3745,685,2693,367
dona emma,864,234,619,11
doutor pedrinho,883,341,508,34
entre rios,700,0,494,206
ermo,581,101,465,16
erval velho,1190,464,694,32
faxinal dos guedes,2812,991,1695,126
flor do sertao,413,0,338,75
florianopolis,103837,78445,25168,224
formosa do sul,687,0,551,136
forquilhinha,4935,2479,2361,95
fraiburgo,8642,4753,3705,185
frei rogerio,722,6,578,137
galvao,1124,75,995,54
garopaba,3755,913,2797,45
garuva,2901,945,1913,43
gaspar,13102,8278,4790,34
governador celso ramos,3343,1706,1633,5
grao para,1484,529,891,63
gravatal,3133,587,2461,86
guabiruba,3648,1298,2350,0
guaraciaba,2880,934,1771,175
guaramirim,6499,2456,3989,53
guaruja do sul,1330,101,1187,41
guatambu,1225,45,1057,123
herval d'oeste,5771,3129,2607,35
ibiam,511,63,377,71
ibicare,1029,199,804,26
ibirama,4397,1095,3216,87
icara,13337,5592,7605,141
ilhota,2957,749,2154,54
imarui,3878,936,2714,227
imbituba,10335,5618,4717,0
imbuia,1413,215,1078,120
indaial,11471,7905,3527,39
iomere,724,160,552,12
ipira,1404,358,1012,34
ipora do oeste,2067,229,1698,139
ipuacu,1511,0,1118,393
ipumirim,1860,524,1207,128
iraceminha,1196,5,1063,128
irani,2130,199,1836,94
irati,556,0,476,79
irineopolis,2457,461,1667,330
ita,1800,746,967,87
