city,qt
abdon batista,2758
abelardo luz,16428
agrolandia,7796
agronomica,4257
agua doce,6830
aguas de chapeco,5749
aguas frias,2525
aguas mornas,5390
alfredo wagner,8857
alto bela vista,2159
anchieta,7116
angelina,5819
anita garibaldi,10216
anitapolis,3218
antonio carlos,6421
apiuna,8520
arabuta,4155
araquari,23545
ararangua,54529
armazem,6861
arroio trinta,3490
arvoredo,2305
ascurra,6912
atalanta,3429
aurora,5474
balneario arroio do silva,6033
balneario barra do sul,6038
balneario camboriu,72867
balneario gaivota,5450
bandeirante,3177
barra bonita,2118
barra velha,15501
bela vista do toldo,5721
belmonte,2588
benedito novo,9066
biguacu,47864
blumenau,261318
bocaina do sul,2980
bom jardim da serra,4076
bom jesus,2046
bom jesus do oeste,2150
bom retiro,7961
bombinhas,8545
botuvera,3749
braco do norte,24745
braco do trombudo,3082
brunopolis,3331
brusque,75727
cacador,63205
caibi,6310
calmon,3467
camboriu,41307
campo alegre,11602
campo belo do sul,8042
campo ere,10327
campos novos,28717
canelinha,8993
canoinhas,51574
capao alto,3020
capinzal,19943
capivari de baixo,18561
catanduvas,8215
caxambu do sul,5263
celso ramos,2844
cerro negro,4073
chapadao do lageado,2561
chapeco,146429
cocal do sul,13720
concordia,62921
cordilheira alta,3093
coronel freitas,10621
coronel martins,2388
correia pinto,17009
corupa,11812
criciuma,169995
cunha pora,10229
cunhatai,1822
curitibanos,36013
descanso,9122
dionisio cerqueira,14250
dona emma,3309
doutor pedrinho,3082
entre rios,2788
ermo,2057
erval velho,4265
faxinal dos guedes,10767
flor do sertao,1612
florianopolis,339650
formosa do sul,2701
forquilhinha,18321
fraiburgo,32920
frei rogerio,2971
galvao,4229
garopaba,13080
garuva,11360
gaspar,46382
governador celso ramos,11579
grao para,5817
gravatal,10787
guabiruba,12958
guaraciaba,11035
guaramirim,23722
guaruja do sul,4696
guatambu,4702
herval d'oeste,20033
ibiam,1972
ibicare,3587
ibirama,15802
icara,48598
ilhota,10574
imarui,13396
imbituba,35462
imbuia,5246
indaial,40194
iomere,2539
ipira,4979
ipora do oeste,7877
ipuacu,6122
ipumirim,6904
iraceminha,4585
irani,8598
irati,2202
irineopolis,9721
ita,6749
itaiopolis,19086
itajai,146808
itapema,25793
itapiranga,13980
itapoa,8821
ituporanga,19456
jabora,4192
jacinto machado,10923
jaguaruna,14540
jaragua do sul,108200
jardinopolis,1994
joacaba,23993
joinville,428630
jose boiteux,4589
jupia,2220
lacerdopolis,2173
lages,157290
laguna,47407
lajeado grande,1572
laurentino,5004
lauro muller,13604
lebon regis,11678
leoberto leal,3739
lindoia do sul,4877
lontras,8381
luiz alves,7955
luzerna,5555
macieira,1900
mafra,49829
major gercino,3143
major vieira,6906
maracaja,5531
maravilha,18466
marema,2651
massaranduba,12495
matos costa,3204
meleiro,7080
mirim doce,3520
modelo,3930
mondai,8699
monte carlo,8579
monte castelo,8350
morro da fumaca,14551
morro grande,2917
navegantes,39297
nova erechim,3543
nova itaberaba,4256
nova trento,9809
nova veneza,11477
novo horizonte,3101
orleans,20018
otacilio costa,13993
ouro,7419
ouro verde,2352
paial,2052
painel,2384
palhoca,102455
palma sola,8206
palmeira,2226
palmitos,15994
papanduva,16822
paraiso,4763
passo de torres,4400
passos maia,4752
paulo lopes,5924
pedras grandes,4921
penha,17587
peritiba,3225
petrolandia,6406
picarras,10866
pinhalzinho,12343
pinheiro preto,2729
piratuba,4866
planalto alegre,2452
pomerode,22083
ponte alta,5289
ponte alta do norte,3221
ponte serrada,10508
porto belo,10690
porto uniao,31733
pouso redondo,12404
praia grande,7264
presidente castelo branco,2160
presidente getulio,12267
presidente nereu,2305
princesa,2613
quilombo,10736
rancho queimado,2616
rio das antas,6124
rio do campo,6519
rio do oeste,6651
rio do sul,51434
rio dos cedros,8939
rio fortuna,4308
rio negrinho,37620
rio rufino,2414
riqueza,5157
rodeio,10310
romelandia,6491
salete,7129
saltinho,4298
salto veloso,3910
sangao,8128
santa cecilia,14768
santa helena,2588
santa rosa de lima,2007
santa rosa do sul,7810
santa terezinha,8813
santa terezinha do progresso,3416
santiago do sul,1696
santo amaro da imperatriz,15646
sao bento do sul,65368
sao bernardino,3140
sao bonifacio,3210
sao carlos,9339
sao cristovao do sul,4051
sao domingos,9532
sao francisco do sul,32133
sao joao batista,14834
sao joao do itaperiu,3157
sao joao do oeste,5760
sao joao do sul,6784
sao joaquim,22820
sao jose,172503
sao jose do cedro,13668
sao jose do cerrito,10393
sao lourenco do oeste,19631
sao ludgero,8580
sao martinho,3274
sao miguel da boa vista,2018
sao miguel do oeste,32252
sao pedro de alcantara,3517
saudades,8320
schroeder,10805
seara,16460
serra alta,3330
sideropolis,12074
sombrio,22953
sul brasil,3116
taio,16190
tangara,8733
tigrinhos,1878
tijucas,23341
timbe do sul,5323
timbo,29321
timbo grande,6501
tres barras,17068
treviso,3138
treze de maio,6716
treze tilias,4832
trombudo central,5795
tubarao,88219
tunapolis,4773
turvo,10852
uniao do oeste,3391
urubici,10198
urupema,2527
urussanga,18671
vargeao,3526
vargem,3216
vargem bonita,5150
vidal ramos,6279
videira,41503
vitor meireles,5515
witmarsum,3249
xanxere,37327
xavantina,4383
xaxim,22827
zortea,2633
