city,total,suitable,semi_suitable,inappropriate
adamantina,9876,7843,1973,60
adolfo,1077,752,322,2
aguai,7886,5170,2499,218
aguas da prata,2084,1337,742,4
aguas de lindoia,4631,3085,1471,75
aguas de santa barbara,1485,818,603,64
aguas de sao pedro,611,527,84,0
agudos,8463,6052,2326,85
alambari,978,369,593,16
alfredo marcondes,1111,735,345,31
altair,975,560,400,15
altinopolis,4266,2852,1211,203
alto alegre,1259,736,494,29
aluminio,4039,2263,1735,41
alvares florence,1323,711,594,18
alvares machado,6508,3110,3263,135
alvaro de carvalho,883,500,336,47
alvinlandia,743,433,284,26
americana,52442,39561,12870,11
americo brasiliense,7441,4983,2458,0
americo de campos,1782,1211,560,11
amparo,16778,10865,5633,280
analandia,983,642,295,46
andradina,16299,10883,5185,231
angatuba,5417,2873,2389,155
anhembi,1317,726,571,20
anhumas,958,524,388,46
aparecida,9043,6218,2793,32
aparecida d'oeste,1535,888,623,24
apiai,6887,2741,3759,387
aracariguama,2885,760,2002,123
aracatuba,49784,39828,9827,129
aracoiaba da serra,5551,2028,3469,54
aramina,1381,1024,329,28
arandu,1578,769,785,24
arapei,719,266,381,72
araraquara,53551,42762,10682,107
araras,28440,21791,6543,106
arco-iris,607,230,322,54
arealva,2166,1295,792,79
areias,901,298,542,60
areiopolis,2640,1605,1015,20
ariranha,2206,1675,510,22
artur nogueira,9008,5973,2947,88
aruja,15184,4688,10306,191
aspasia,551,290,238,23
assis,25813,20632,5143,37
atibaia,30315,12963,16114,1238
auriflama,3972,2745,1166,61
avai,1270,636,540,94
avanhandava,2472,1658,764,51
avare,21463,15079,6235,150
bady bassitt,3413,2388,981,44
balbinos,401,292,82,27
balsamo,2257,1637,613,7
bananal,2691,1359,1188,144
barao de antonina,827,379,384,64
barbosa,1715,1126,526,63
bariri,8218,6331,1813,74
barra bonita,10030,8167,1849,14
barra do chapeu,1236,143,859,234
barra do turvo,1989,361,1211,417
barretos,30396,23580,6524,292
barrinha,6423,3982,2426,15
barueri,55383,28644,26614,125
bastos,5577,3624,1783,171
batatais,14702,11619,3034,49
bauru,90531,71814,18497,219
bebedouro,21140,16020,5020,100
bento de abreu,696,469,224,4
bernardino de campos,3130,2190,915,25
bertioga,8479,4309,4149,21
bilac,1801,1391,373,37
birigui,27296,21122,6031,142
biritiba-mirim,6371,1731,4323,317
boa esperanca do sul,3460,2061,1278,121
bocaina,2703,1907,774,22
bofete,2133,1128,954,51
boituva,9218,5274,3805,138
bom jesus dos perdoes,3513,1820,1662,31
bom sucesso de itarare,773,187,495,91
bora,227,126,101,0
boraceia,975,664,308,2
borborema,3855,2666,1141,48
borebi,515,301,187,28
botucatu,31245,24077,6946,221
braganca paulista,34402,21100,12844,458
brauna,1262,798,437,26
brejo alegre,613,346,255,12
brodowski,4780,3567,1159,53
brotas,5371,3663,1671,37
buri,4643,2306,2072,265
buritama,4168,3061,1063,44
buritizal,1101,731,320,50
cabralia paulista,1266,804,462,0
cabreuva,8593,3378,4917,298
cacapava,19882,12270,7461,151
cachoeira paulista,7200,4396,2715,89
caconde,4959,2354,2196,409
cafelandia,4565,3024,1424,117
caiabu,1188,487,653,47
caieiras,19039,10171,8767,101
caiua,1226,231,874,121
cajamar,13714,5895,7404,415
cajati,7364,3119,3848,397
cajobi,2573,1838,710,26
cajuru,5618,3709,1860,49
campina do monte alegre,1430,657,736,37
campinas,283142,206755,75824,564
campo limpo paulista,16700,8137,8529,34
campos do jordao,11442,6101,5272,69
campos novos paulista,1243,646,572,25
cananeia,3056,1580,1376,100
canas,885,338,536,11
candido mota,8421,5998,2347,76
candido rodrigues,778,533,223,22
canitar,881,0,881,0
capao bonito,11881,5943,5437,501
capela do alto,3851,1614,2204,33
capivari,10898,7225,3547,126
caraguatatuba,22164,12008,10104,52
carapicuiba,90840,46521,44261,58
cardoso,3618,2488,1128,2
casa branca,7074,4583,2395,96
cassia dos coqueiros,816,356,448,12
castilho,4313,2535,1669,108
catanduva,31447,24358,7034,56
catigua,1850,1234,572,45
cedral,1973,1169,765,39
cerqueira cesar,4408,2835,1482,91
cerquilho,8275,6232,2018,25
cesario lange,3371,1521,1775,75
charqueada,3405,2065,1297,43
chavantes,3297,2223,1008,66
clementina,1503,1123,373,7
colina,4694,3361,1306,27
colombia,1500,781,664,56
conchal,5958,3761,2102,95
conchas,4324,2499,1725,100
cordeiropolis,4867,3335,1519,13
coroados,1255,719,452,83
coronel macedo,1572,828,676,68
corumbatai,1044,442,512,90
cosmopolis,12322,8384,3903,35
cosmorama,2314,1158,1051,105
cotia,38371,16614,21577,179
cravinhos,7561,5443,2068,50
cristais paulista,1779,757,933,89
cruzalia,783,399,364,20
cruzeiro,19474,13268,6047,159
cubatao,29957,13711,16162,84
cunha,6306,2099,3493,715
descalvado,7831,5305,2409,117
diadema,98172,53291,44798,82
dirce reis,486,218,243,25
divinolandia,3433,1786,1469,177
dobrada,1890,1200,679,11
dois corregos,6438,4770,1644,24
dolcinopolis,684,456,218,10
dourado,2558,1903,606,50
dracena,12290,9329,2899,62
