city,quantity
adamantina,33166
adolfo,3684
aguai,28109
aguas da prata,7047
aguas de lindoia,16081
aguas de santa barbara,5192
aguas de sao pedro,1848
agudos,32206
alambari,3650
alfredo marcondes,3697
altair,3487
altinopolis,15384
alto alegre,4261
aluminio,15193
alvares florence,4316
alvares machado,22602
alvaro de carvalho,3296
alvinlandia,2837
americana,182048
americo brasiliense,28267
americo de campos,5586
amparo,60071
analandia,3552
andradina,54258
angatuba,19227
anhembi,4520
anhumas,3375
aparecida,34368
aparecida d'oeste,4912
apiai,27053
aracariguama,11088
aracatuba,168806
aracoiaba da serra,20032
aramina,4763
arandu,6065
arapei,2618
araraquara,180989
araras,103265
arco-iris,2163
arealva,7219
areias,3557
areiopolis,10296
ariranha,7456
artur nogueira,33069
aruja,58803
aspasia,1855
assis,86218
atibaia,110794
auriflama,13470
avai,4552
avanhandava,8829
avare,74294
bady bassitt,11528
balbinos,1313
balsamo,7340
bananal,9625
barao de antonina,2794
barbosa,5837
bariri,28107
barra bonita,35422
barra do chapeu,4846
barra do turvo,8011
barretos,103328
barrinha,24134
barueri,207971
bastos,20588
batatais,50836
bauru,312433
bebedouro,74538
bento de abreu,2394
bernardino de campos,10642
bertioga,29790
bilac,6021
birigui,94141
biritiba-mirim,24598
boa esperanca do sul,12573
bocaina,9397
bofete,7363
boituva,34276
bom jesus dos perdoes,13220
bom sucesso de itarare,3231
bora,795
boraceia,3739
borborema,13170
borebi,1933
botucatu,107791
braganca paulista,124435
brauna,4383
brejo alegre,2308
brodowski,17120
brotas,18791
buri,17508
buritama,13801
buritizal,3674
cabralia paulista,4623
cabreuva,33060
cacapava,75820
cachoeira paulista,26922
caconde,18248
cafelandia,15753
caiabu,4077
caieiras,71195
caiua,4187
cajamar,50497
cajati,29195
cajobi,9167
cajuru,20973
campina do monte alegre,5192
campinas,962460
campo limpo paulista,63534
campos do jordao,43299
campos novos paulista,4181
cananeia,12187
canas,3612
candido mota,29211
candido rodrigues,2613
canitar,3481
capao bonito,46668
capela do alto,14216
capivari,41238
caraguatatuba,78707
carapicuiba,343761
cardoso,11553
casa branca,25123
cassia dos coqueiros,2857
castilho,14892
catanduva,105371
catigua,6555
cedral,6679
cerqueira cesar,15064
