city,quantity
amparo de sao francisco,2182
aquidaba,18327
aracaju,460385
araua,9762
areia branca,14598
barra dos coqueiros,17807
boquim,24146
brejo grande,7095
campo do brito,15160
canhoba,3965
caninde de sao francisco,17754
capela,26518
carira,17726
carmopolis,9336
cedro de sao joao,5378
cristinapolis,14268
cumbe,3646
divina pastora,3260
estancia,58805
feira nova,5068
frei paulo,11973
gararu,11354
general maynard,2400
gracho cardoso,5519
ilha das flores,8281
indiaroba,13152
itabaiana,76732
itabaianinha,35454
itabi,5163
itaporanga d'ajuda,25482
japaratuba,14540
japoata,13020
lagarto,83200
laranjeiras,23560
macambira,5802
malhada dos bois,3208
malhador,11459
maruim,15421
moita bonita,11000
monte alegre de sergipe,11587
muribeca,7101
neopolis,18593
nossa senhora aparecida,8279
nossa senhora da gloria,26578
nossa senhora das dores,22186
nossa senhora de lourdes,6023
nossa senhora do socorro,131571
pacatuba,11536
pedra mole,2630
pedrinhas,7929
pinhao,5244
pirambu,7230
poco redondo,26022
poco verde,19973
porto da folha,25595
propria,27330
riachao do dantas,19202
riachuelo,8337
ribeiropolis,15377
rosario do catete,7102
salgado,18876
santa luzia do itanhy,13948
santa rosa de lima,3595
santana do sao francisco,6135
santo amaro das brotas,10670
sao cristovao,64544
sao domingos,9260
sao francisco,2532
sao miguel do aleixo,3447
simao dias,36914
siriri,6914
telha,2638
tobias barreto,42911
tomar do geru,12840
umbauba,19214
