city,total,suitable,semi_suitable,inappropriate
abreulandia,560,8,410,142
aguiarnopolis,696,89,493,114
alianca do tocantins,1607,291,1165,150
almas,1890,27,1603,260
alvorada,2273,24,2076,174
ananas,2296,0,2087,209
angico,650,0,575,75
aparecida do rio negro,826,0,758,68
aragominas,1457,179,912,366
araguacema,1304,57,1025,222
araguacu,2599,25,2253,321
araguaina,27572,9176,17353,1043
araguana,927,30,636,261
araguatins,5737,665,3953,1119
arapoema,1699,124,1414,162
arraias,2740,19,2371,349
augustinopolis,2913,29,2559,324
aurora do tocantins,818,42,720,57
axixa do tocantins,1988,34,1554,399
babaculandia,2227,8,1421,798
bandeirantes do tocantins,642,67,559,16
barra do ouro,734,0,505,229
barrolandia,1291,0,1217,74
bernardo sayao,1200,78,916,206
bom jesus do tocantins,512,0,373,139
brasilandia do tocantins,504,4,415,85
brejinho de nazare,1202,0,1010,192
buriti do tocantins,1693,0,1551,142
cachoeirinha,403,0,377,26
campos lindos,1053,0,682,370
cariri do tocantins,782,4,719,59
carmolandia,485,0,436,49
carrasco bonito,690,0,642,48
caseara,906,9,691,205
centenario,504,1,355,147
chapada da natividade,650,1,556,93
chapada de areia,334,12,277,45
colinas do tocantins,6328,836,5343,150
colmeia,2528,265,1928,335
combinado,1104,20,1055,29
conceicao do tocantins,984,0,699,285
couto de magalhaes,1079,0,860,220
cristalandia,1909,534,1320,55
crixas do tocantins,345,0,313,32
darcinopolis,989,0,782,207
dianopolis,3454,111,3161,183
divinopolis do tocantins,1503,25,1228,251
dois irmaos do tocantins,1848,0,1415,434
duere,1174,0,1024,150
esperantina,1597,0,1307,290
fatima,965,295,639,30
figueiropolis,1536,0,1414,122
filadelfia,1786,264,1144,378
formoso do araguaia,4631,118,3769,744
fortaleza do tabocao,569,0,515,54
goianorte,1225,0,909,316
goiatins,2267,156,1501,610
guarai,5199,371,4601,226
gurupi,17013,3629,12834,550
ipueiras,270,0,232,38
itacaja,1572,62,1167,343
itaguatins,1476,0,1223,253
itapiratins,781,11,592,179
itapora do tocantins,621,10,573,38
jau do tocantins,841,0,725,116
juarina,570,0,480,90
lagoa da confusao,1394,11,1112,271
lagoa do tocantins,555,0,472,83
lajeado,562,17,471,74
lavandeira,298,0,270,28
lizarda,817,32,637,148
luzinopolis,435,0,392,43
marianopolis do tocantins,920,0,826,94
mateiros,341,0,233,108
maurilandia do tocantins,616,0,423,193
miracema do tocantins,5887,53,5433,400
miranorte,3035,0,2867,168
monte do carmo,1194,49,1014,130
monte santo do tocantins,507,21,428,58
muricilandia,662,0,540,122
natividade,2092,266,1526,300
nazare,1158,4,1104,50
nova olinda,2243,4,1921,318
nova rosalandia,818,0,755,63
novo acordo,649,0,473,175
novo alegre,563,7,531,25
novo jardim,460,0,400,60
oliveira de fatima,228,38,176,14
palmas,35097,14230,20465,402
palmeirante,828,22,605,202
palmeiras do tocantins,1018,0,795,223
palmeiropolis,1942,4,1843,95
paraiso do tocantins,9516,732,8626,158
parana,2418,4,1741,673
pau d'arco,1016,5,870,141
pedro afonso,2200,7,2004,189
peixe,2357,35,1997,325
pequizeiro,1166,11,907,248
pindorama do tocantins,966,15,715,237
piraque,523,0,379,144
pium,1434,12,1219,203
ponte alta do bom jesus,1067,0,947,120
ponte alta do tocantins,1420,0,1186,234
porto alegre do tocantins,524,0,464,60
porto nacional,10544,139,9878,528
praia norte,1354,0,1067,287
presidente kennedy,960,30,811,119
pugmil,492,0,440,52
recursolandia,633,51,322,260
riachinho,794,0,542,252
rio da conceicao,242,0,207,35
rio dos bois,575,0,531,44
rio sono,1360,0,956,405
sampaio,610,4,550,56
sandolandia,900,0,804,96
santa fe do araguaia,1211,37,975,199
santa maria do tocantins,503,4,317,181
santa rita do tocantins,513,22,431,59
santa rosa do tocantins,921,31,650,240
santa tereza do tocantins,459,0,397,62
santa terezinha do tocantins,550,0,474,76
sao bento do tocantins,791,0,512,279
sao felix do tocantins,244,0,177,67
sao miguel do tocantins,1913,0,1348,565
sao salvador do tocantins,642,3,491,147
sao sebastiao do tocantins,765,6,635,124
sao valerio da natividade,1272,265,740,267
silvanopolis,1146,35,888,223
sitio novo do tocantins,2119,0,1650,469
sucupira,363,22,287,54
taguatinga,3290,191,2813,286
taipas do tocantins,390,0,312,78
talisma,600,109,406,85
tocantinia,1323,1,846,476
tocantinopolis,5374,228,4813,333
tupirama,308,0,252,56
tupiratins,329,0,233,95
wanderlandia,2463,37,2029,397
xambioa,2816,0,2506,310
