city,total,married,separated,divorced,widow,single
acrelandia,5645,1775,19,73,164,3614
assis brasil,2519,666,12,16,74,1751
brasileia,12630,3080,36,62,341,9112
bujari,4204,876,5,32,54,3236
capixaba,3643,1095,69,14,48,2417
cruzeiro do sul,48675,10268,262,196,1121,36828
epitaciolandia,8141,1742,96,48,244,6012
feijo,19104,5288,202,45,540,13029
jordao,2727,892,34,10,10,1780
mancio lima,7863,1065,25,6,137,6630
manoel urbano,4304,599,15,4,111,3575
marechal thaumaturgo,5245,933,7,14,62,4229
placido de castro,11122,3265,67,40,291,7459
porto acre,8257,2276,84,9,212,5676
porto walter,3552,1088,46,8,65,2346
rio branco,193088,47477,2254,3185,6509,133662
rodrigues alves,5413,796,14,5,43,4555
santa rosa do purus,1368,115,0,0,4,1249
sena madureira,20802,4704,117,139,567,15275
senador guiomard,14643,3725,54,118,460,10285
tarauaca,17857,3841,144,19,527,13326
xapuri,8706,1747,74,42,336,6508
