city,total,has_children,children_born,children_borned_live,children_borned_dead
amapa,2364,1437,7365,6956,409
calcoene,2172,1393,6468,6207,261
cutias,1032,625,3184,3024,160
ferreira gomes,1148,691,3213,3078,134
itaubal,876,508,2498,2254,244
laranjal do jari,9691,6053,24850,23258,1592
macapa,108293,64391,247140,235989,11151
mazagao,3769,2243,11749,11059,690
oiapoque,4159,2539,11394,10448,946
pedra branca do amapari,1178,798,3825,3571,255
porto grande,3521,2128,9233,8979,254
pracuuba,692,458,2313,2231,83
santana,29279,17237,75466,71526,3940
serra do navio,1097,652,2739,2673,66
tartarugalzinho,2116,1308,6861,6485,376
vitoria do jari,2769,1654,7957,7594,364
