city,total,married,separated,divorced,widow,single
amapa,5042,1052,4,14,81,3890
calcoene,4740,851,24,14,73,3778
cutias,2208,494,0,8,28,1679
ferreira gomes,2503,471,11,9,56,1956
itaubal,1958,524,13,0,12,1410
laranjal do jari,20275,4689,65,251,432,14838
macapa,210983,42266,2606,2351,4920,158840
mazagao,8109,1387,56,44,184,6438
oiapoque,8913,2007,40,59,146,6661
pedra branca do amapari,2752,576,8,0,47,2121
porto grande,7908,1834,29,46,168,5832
pracuuba,1549,360,10,0,46,1134
santana,58216,11993,367,390,1313,44152
serra do navio,2327,581,35,23,29,1658
tartarugalzinho,4671,668,28,10,86,3878
vitoria do jari,5838,1295,46,20,105,4373
