city,total,has_children,children_born,children_borned_live,children_borned_dead
alvaraes,3667,2155,10908,10502,406
amatura,2297,1389,7602,7174,428
anama,2096,1168,6330,6063,267
anori,3689,2187,11852,11546,306
apui,4410,2850,11366,10810,556
atalaia do norte,3168,1912,8336,8074,262
autazes,7876,4873,25120,23707,1413
barcelos,7530,4563,19779,19064,714
barreirinha,7049,4137,21787,20712,1075
benjamin constant,7810,4470,21953,20802,1152
beruri,3362,1878,10728,10609,119
boa vista do ramos,3503,1977,9629,9296,333
boca do acre,9149,5723,26139,24903,1236
borba,9158,5030,26606,25250,1357
caapiranga,2771,1591,8756,8353,403
canutama,3558,2075,10104,9682,422
carauari,7567,4713,24200,23430,770
careiro,9483,5380,24107,23253,854
careiro da varzea,5877,3440,15141,14521,620
coari,22502,12643,58095,56019,2076
codajas,5666,3440,17851,17178,673
eirunepe,8523,5026,25786,24675,1111
envira,6047,3285,17423,16742,681
fonte boa,9967,5698,31543,30230,1313
guajara,3957,2337,12410,11954,456
humaita,10924,6600,32484,30932,1551
ipixuna,4406,2540,13290,13033,257
iranduba,11235,6655,32482,31011,1470
itacoatiara,25241,15373,72399,68356,4043
itamarati,2518,1501,8457,8082,375
itapiranga,2440,1451,7794,7111,683
japura,3329,1690,8256,7945,312
jurua,2034,1271,6535,6292,244
jutai,6506,3923,21521,20513,1008
labrea,9572,5777,27956,26717,1239
manacapuru,25587,15241,74994,71865,3129
manaquiri,4270,2533,12625,12037,587
manaus,560992,340144,1200022,1142048,57974
manicore,12530,7215,37558,35335,2223
maraa,5469,3088,16412,15953,459
maues,13096,7788,39518,37914,1605
nhamunda,4980,2947,14953,14274,678
nova olinda do norte,7843,4428,23571,22562,1009
novo airao,3303,1967,9843,9291,553
novo aripuana,5480,3333,15677,14878,799
parintins,31453,18275,91375,88300,3075
pauini,5714,3061,15692,14578,1115
presidente figueiredo,5691,3728,15434,14400,1034
rio preto da eva,6052,3500,14215,13495,720
santa isabel do rio negro,3388,2075,8949,8444,505
santo antonio do ica,8387,4821,25068,24011,1058
sao gabriel da cachoeira,10211,5699,23899,22716,1183
sao paulo de olivenca,7317,4162,19466,19167,299
sao sebastiao do uatuma,2281,1410,7613,7333,281
silves,2411,1531,8461,8024,437
tabatinga,13027,7645,35467,33676,1791
tapaua,6313,3157,16118,15726,392
tefe,22052,13126,61114,59222,1892
tonantins,4867,2934,15576,15113,462
uarini,3138,1795,9581,9115,465
urucara,5994,3563,17847,17351,495
urucurituba,3771,2268,13052,12324,728
