city,total,has_children,children_born,children_borned_live,children_borned_dead
abaira,3932,2169,10583,10133,450
abare,5197,2941,15620,14876,744
acajutiba,5614,3163,16396,15348,1048
adustina,5404,3113,16872,15945,928
agua fria,5757,3286,20468,18897,1571
aiquara,2015,1171,6297,5878,419
alagoinhas,56091,32329,136477,127903,8574
alcobaca,7724,4746,22250,20970,1280
almadina,3049,1843,10663,9965,698
amargosa,12930,7552,35902,33410,2491
amelia rodrigues,9890,5929,25296,23745,1551
america dourada,5790,3639,19527,18581,946
anage,11717,6752,38430,35804,2626
andarai,5048,2783,15962,15006,956
andorinha,5883,3811,18181,17350,831
angical,5303,3045,16278,15508,770
anguera,3747,1967,10247,9519,728
antas,5787,3435,15458,14272,1186
antonio cardoso,4441,2662,15343,14405,938
antonio goncalves,3739,2272,12244,11689,555
apora,6346,3824,20983,19261,1722
apuarema,2697,1622,8805,8149,657
aracas,4063,2283,12488,11531,956
aracatu,6532,3446,20327,19618,710
araci,17238,10465,61081,56814,4267
aramari,3651,2141,11149,10185,964
arataca,3866,2414,12825,11549,1276
aratuipe,3099,1817,9333,8742,591
aurelino leal,6511,3784,20056,18038,2018
baianopolis,4640,2517,12919,12201,719
baixa grande,7997,4599,22802,21151,1651
banzae,4175,2475,12776,12012,764
barra,15539,8648,51333,48057,3276
barra da estiva,9649,5086,23198,21498,1701
barra do choca,15895,8989,40931,38804,2127
barra do mendes,5444,3228,15776,14782,994
barra do rocha,2933,1815,9072,8193,879
barreiras,50791,29704,113411,107161,6250
barro alto,4595,2936,14888,14149,739
barro preto,3243,1879,8279,7733,546
belmonte,7529,4769,23905,22412,1493
belo campo,6891,4022,20181,18918,1262
biritinga,5497,3211,18507,17461,1047
boa nova,7668,4178,22339,20926,1413
boa vista do tupim,6743,3740,20628,19709,919
bom jesus da lapa,21125,11931,58651,55406,3245
bom jesus da serra,4023,2126,11853,11247,606
boninal,5046,2794,13544,12902,641
bonito,4514,2882,14427,13579,848
boquira,8790,4819,24600,23936,663
botupora,4566,2459,12147,11687,460
brejoes,6063,3411,16021,15001,1020
brejolandia,3425,2048,9377,9010,367
brotas de macaubas,5097,2934,15106,14179,928
brumado,25852,14444,67082,62951,4130
buerarema,7585,4564,21994,20702,1292
buritirama,6083,3560,20882,19934,948
caatiba,6163,3402,14859,13876,983
cabaceiras do paraguacu,5969,3480,19588,18618,971
cachoeira,12569,7258,35169,32906,2263
cacule,8288,4858,22050,20241,1810
caem,4896,2857,15456,14109,1347
caetanos,5071,2757,15530,14528,1003
caetite,18590,10118,46873,43954,2920
cafarnaum,5950,3705,19567,18361,1206
cairu,4165,2484,10688,10028,660
caldeirao grande,4419,2687,13404,12683,721
camacan,11942,7240,35829,32808,3020
camacari,63838,38123,140481,132123,8358
camamu,11753,7045,36144,32737,3407
campo alegre de lourdes,10434,6001,33492,31422,2069
campo formoso,23599,14056,67518,64627,2891
canapolis,3647,2128,11342,10657,685
canarana,8272,5299,25943,24368,1575
canavieiras,13774,8677,40202,37210,2992
candeal,4048,2344,13426,12279,1147
candeias,31487,18396,73698,69841,3857
candiba,5028,2782,13512,12835,676
candido sales,11303,6799,31149,29578,1571
cansancao,11903,7315,38534,36665,1869
canudos,5277,3109,15356,14521,835
capela do alto alegre,4784,2987,15249,14675,575
capim grosso,9618,6058,29374,28017,1358
caraibas,6845,3581,21091,20141,950
caravelas,7617,4766,21678,20080,1597
cardeal da silva,2828,1711,9499,8602,897
carinhanha,9769,5473,27601,26212,1389
casa nova,21087,12446,61464,58145,3319
castro alves,10506,5907,27683,25891,1792
catolandia,1200,614,3895,3555,340
catu,19724,11270,50056,46358,3698
caturama,3658,1865,9240,8835,405
central,6513,4065,20516,19529,987
chorrocho,3904,2229,11314,10779,535
cicero dantas,12780,7985,40151,37485,2666
cipo,5705,3330,17936,16549,1387
coaraci,11301,6643,31422,29332,2089
cocos,6616,3838,19053,17967,1086
conceicao da feira,7212,4122,20142,18698,1444
conceicao do almeida,7927,4635,22072,20565,1507
conceicao do coite,22308,13438,68770,64844,3926
conceicao do jacuipe,11010,6587,28402,26779,1623
conde,7430,4324,22722,20634,2088
condeuba,7272,4085,20637,19809,827
contendas do sincora,1725,961,4650,4508,142
coracao de maria,9490,5354,28588,27316,1272
cordeiros,3301,1824,9294,8951,343
coribe,5759,3277,15839,14879,961
coronel joao sa,7240,4259,19945,18499,1446
correntina,11951,6671,34165,31974,2191
cotegipe,4843,2771,16255,15400,856
cravolandia,1947,1082,5200,4744,456
crisopolis,7115,4337,23550,21788,1762
cristopolis,4875,2644,14493,13777,716
cruz das almas,23048,13170,55522,51732,3791
curaca,10850,6301,32458,30055,2402
dario meira,5637,3384,17047,15875,1171
dias d'avila,17942,10895,41907,38829,3078
dom basilio,4125,2315,12242,11735,507
dom macedo costa,1594,864,4305,3978,326
elisio medrado,3282,1864,9496,8939,557
encruzilhada,12269,7465,35030,32517,2513
entre rios,14216,8434,42737,39067,3670
erico cardoso,4877,2651,13403,12886,517
esplanada,10182,5888,32596,29958,2637
euclides da cunha,21119,12607,68733,64473,4259
eunapolis,34012,20944,84875,78526,6349
fatima,7022,4195,23680,22289,1392
feira da mata,2400,1380,7275,6847,428
feira de santana,204917,118502,454926,429661,25264
filadelfia,6553,3875,21341,20035,1306
firmino alves,2026,1191,6433,5979,454
floresta azul,4515,2839,15520,14327,1193
formosa do rio preto,6628,3711,17865,17019,846
gandu,10843,6715,28497,26828,1668
