city,total,married,separated,divorced,widow,single
abaira,7729,2926,64,29,422,4288
abare,10316,4085,48,54,393,5736
acajutiba,11121,3155,117,69,638,7142
adustina,10986,1803,42,19,318,8804
agua fria,11399,2469,60,13,259,8598
aiquara,4225,878,22,23,159,3143
alagoinhas,105799,30796,1382,1304,4021,68296
alcobaca,15890,4139,125,142,447,11038
almadina,6225,724,26,18,106,5350
amargosa,24896,7089,275,302,1349,15880
amelia rodrigues,19215,5193,207,167,925,12723
america dourada,12023,4780,60,6,424,6754
anage,24094,7947,66,84,873,15124
andarai,10327,2342,24,6,372,7583
andorinha,12480,4629,89,49,456,7258
angical,11499,4401,114,110,515,6358
anguera,7207,1934,26,7,352,4888
antas,11462,3203,47,148,436,7628
antonio cardoso,9238,2040,35,29,238,6895
antonio goncalves,7563,2940,39,25,311,4247
apora,12928,3696,102,61,378,8690
apuarema,5727,710,15,12,77,4913
aracas,8261,1699,27,14,209,6311
aracatu,12950,4252,87,30,342,8240
araci,35111,6841,277,197,979,26817
aramari,7256,1714,43,37,389,5074
arataca,8569,1041,63,33,284,7148
aratuipe,6369,1205,23,21,223,4897
aurelino leal,13144,1336,51,29,350,11379
baianopolis,9598,4293,48,15,388,4855
baixa grande,15992,4697,119,73,788,10315
banzae,8585,2934,46,47,316,5242
barra,32035,10623,120,175,898,20219
barra da estiva,19595,7428,78,82,920,11088
barra do choca,32389,8638,111,50,537,23053
barra do mendes,10818,3533,102,81,526,6576
barra do rocha,6336,808,35,9,99,5385
barreiras,101732,35382,1298,940,2942,61170
barro alto,9459,4413,32,75,415,4523
barro preto,6810,941,21,42,232,5573
belmonte,15264,2316,100,68,565,12215
belo campo,14064,5007,88,111,575,8283
biritinga,11377,3087,187,21,366,7716
boa nova,15739,5633,100,58,505,9443
boa vista do tupim,13811,3924,142,33,474,9238
bom jesus da lapa,41999,11947,453,229,1357,28013
bom jesus da serra,8203,2008,52,14,220,5909
boninal,9771,3570,51,17,498,5635
bonito,9228,1830,57,19,298,7024
boquira,17217,4770,59,44,655,11689
botupora,9014,2607,32,10,228,6137
brejoes,12068,2340,86,86,557,8999
brejolandia,7220,3170,66,66,214,3704
brotas de macaubas,10369,3883,45,61,443,5938
brumado,50726,17823,560,346,1591,30406
buerarema,15205,2882,132,78,590,11523
buritirama,12867,5381,75,74,281,7056
caatiba,12641,3883,18,12,339,8390
cabaceiras do paraguacu,11635,3603,84,22,570,7357
cachoeira,24315,5600,249,179,1240,17048
cacule,16439,6867,170,100,581,8721
caem,9926,2682,31,39,286,6889
caetanos,10619,2281,45,11,177,8105
caetite,36206,13811,295,130,1630,20340
cafarnaum,12131,3257,68,46,460,8299
cairu,8733,919,50,28,206,7530
caldeirao grande,8768,1907,37,9,266,6548
camacan,24046,3893,116,116,900,19022
camacari,127363,30583,1422,1408,2974,90977
camamu,24722,2536,78,55,285,21768
campo alegre de lourdes,20993,10688,82,14,656,9553
campo formoso,47759,18946,336,349,2220,25909
canapolis,7471,2861,11,0,292,4306
canarana,16780,4752,50,24,456,11497
canavieiras,27948,3658,190,210,789,23101
candeal,8147,2430,65,32,324,5295
candeias,61837,15521,448,648,2136,43084
candiba,10144,4532,58,57,463,5034
candido sales,22824,9565,274,243,961,11781
cansancao,24334,5522,85,175,760,17793
canudos,10632,1917,79,70,209,8357
capela do alto alegre,9618,2888,66,52,282,6330
capim grosso,18836,5101,99,149,393,13094
caraibas,14049,4379,62,42,508,9057
caravelas,15493,4208,207,133,485,10460
cardeal da silva,5784,964,15,18,208,4579
carinhanha,20208,5212,136,68,599,14194
casa nova,43122,17821,253,204,1676,23167
castro alves,20147,5096,146,125,1290,13490
catolandia,2483,1160,35,0,79,1209
catu,38221,9415,235,458,1381,26733
caturama,7515,2234,54,41,206,4980
central,13143,4742,108,69,480,7744
chorrocho,7768,2856,43,17,255,4596
cicero dantas,24974,4746,166,147,646,19269
cipo,11024,2665,48,36,338,7938
coaraci,22174,3709,165,161,750,17390
cocos,13711,6185,83,14,432,6996
conceicao da feira,13926,4027,94,234,863,8707
conceicao do almeida,15478,3919,178,59,1058,10263
conceicao do coite,44663,14250,377,486,1125,28425
conceicao do jacuipe,21309,5009,163,199,891,15047
conde,14979,3856,149,88,613,10273
condeuba,14402,4598,73,18,459,9254
contendas do sincora,3478,1290,16,5,174,1992
coracao de maria,18647,4435,129,23,643,13417
