city,total,has_children,children_born,children_borned_live,children_borned_dead
abaiara,3275,1823,9840,9566,274
acarape,4910,3015,14257,13457,800
acarau,18310,10636,60135,57050,3085
acopiara,19046,11497,63556,59957,3600
aiuaba,5427,3092,16332,15473,859
alcantaras,3805,2278,13683,12917,766
altaneira,2327,1413,8175,7824,352
alto santo,6061,3590,17607,16930,676
amontada,11219,6687,38552,37030,1522
antonina do norte,2716,1520,9257,8858,399
apuiares,4708,2803,16145,15447,698
aquiraz,22524,13534,63312,59310,4002
aracati,24746,14768,70499,66503,3996
aracoiaba,9171,5508,30371,29107,1265
ararenda,4024,2348,12627,12034,593
araripe,7223,4066,20758,19699,1059
aratuba,4344,2646,14246,13666,581
arneiroz,2897,1606,9006,8579,427
assare,8109,4759,23763,22909,853
aurora,9979,5818,32485,29722,2764
baixio,2314,1297,6731,6561,170
banabuiu,5751,3667,20332,19107,1225
barbalha,19080,10992,51372,48647,2725
barreira,6537,4019,21496,20684,812
barro,8055,4615,25698,24427,1271
barroquinha,5093,3014,17255,16385,870
baturite,11634,7049,34524,32918,1605
beberibe,16327,9901,48391,45880,2512
bela cruz,10434,5888,34550,33197,1353
boa viagem,19227,12009,63462,60534,2927
brejo santo,15881,8808,42598,40070,2528
camocim,21233,12643,64288,61683,2605
campos sales,10520,5970,31226,29787,1438
caninde,26470,15852,82108,78899,3209
capistrano,6092,3505,19582,18353,1229
caridade,5664,3492,19771,19052,718
carire,7080,4264,23291,22041,1250
caririacu,10043,5440,33161,31301,1860
carius,7227,4302,22600,21334,1266
carnaubal,5831,3436,19434,18138,1297
cascavel,22469,13491,60128,56905,3222
catarina,6207,3276,15913,15103,810
catunda,3593,2211,11389,10975,415
caucaia,97172,59227,230961,220654,10308
cedro,9770,5982,32220,30983,1237
chaval,4621,2711,15056,14028,1028
choro,4215,2479,14490,13857,633
chorozinho,7047,4368,21137,20274,863
coreau,7598,4457,23572,22446,1126
crateus,29311,17947,82014,78873,3141
crato,44241,24963,112222,107060,5162
croata,6116,3675,22916,21849,1067
cruz,7641,4392,25705,24274,1431
deputado irapuan pinheiro,3289,2059,10122,9826,296
erere,2491,1376,7951,7770,181
eusebio,12025,7030,29485,27561,1924
farias brito,8190,4627,25747,24127,1620
forquilha,6763,4212,20741,19832,910
fortaleza,937226,539058,1927747,1835495,92252
fortim,4643,2890,15158,14639,519
frecheirinha,4501,2801,15350,14781,569
general sampaio,1732,1047,6378,6221,157
graca,5724,3238,18513,18020,492
granja,17256,10119,58697,55530,3167
granjeiro,2073,1071,6713,6409,304
groairas,3467,2179,11520,10908,611
guaiuba,7412,4647,23650,21730,1920
guaraciaba do norte,13175,8034,42869,41019,1849
guaramiranga,2098,1222,6044,5873,171
hidrolandia,6950,4229,22022,20793,1229
horizonte,12754,7605,34031,32859,1172
ibaretama,4549,2737,14975,14508,468
ibiapina,8439,4974,27403,26136,1266
ibicuitinga,3548,2222,12071,11602,469
icapui,6309,3871,18016,17096,919
ico,25368,14471,77317,73933,3383
iguatu,36565,21447,96794,93035,3760
independencia,10128,5907,27854,26546,1308
ipaporanga,4475,2758,15142,13943,1198
ipaumirim,4689,2670,14527,13652,875
ipu,15443,9172,48559,46023,2536
ipueiras,14904,9048,48650,46318,2331
iracema,5395,3163,17534,16560,974
iraucuba,7101,4291,22762,22103,659
itaicaba,2727,1633,8378,7915,463
itaitinga,11081,6946,32462,30635,1828
itapage,15677,9609,46011,43998,2013
itapipoca,35408,20751,109511,105443,4068
itapiuna,5999,3551,20264,18771,1493
itarema,10549,6105,37565,35960,1604
itatira,5463,3521,21732,20584,1148
jaguaretama,6961,4310,21875,21229,646
jaguaribara,3457,2019,9921,9495,426
jaguaribe,14247,8287,39514,38427,1087
jaguaruana,11731,6889,33548,31890,1658
jardim,10772,5731,29758,28075,1683
jati,3000,1648,8616,8168,448
jijoca de jericoacoara,4529,2658,14574,14061,514
juazeiro do norte,89324,50981,255820,240405,15415
jucas,8957,5372,29509,27927,1582
lavras da mangabeira,12754,6927,40783,38708,2076
limoeiro do norte,20429,12492,52906,50975,1931
madalena,5457,3355,19355,18662,694
maracanau,71174,43419,171598,163502,8096
maranguape,34758,20697,90622,85892,4730
marco,7395,4210,24342,23571,770
martinopole,3195,1949,10606,10131,475
massape,11143,6667,37398,35760,1639
mauriti,16437,9034,48824,45785,3040
meruoca,4360,2452,14118,13594,524
milagres,11003,6009,30905,28895,2009
milha,5163,3098,16162,15182,980
miraima,4027,2406,14007,13464,543
missao velha,12869,7214,38503,35940,2563
mombaca,16376,9598,52131,49601,2530
monsenhor tabosa,6302,3959,21867,20516,1351
morada nova,25089,15491,77348,75123,2225
moraujo,2699,1514,8716,8353,364
morrinhos,6501,3832,24383,22839,1544
mucambo,5575,3121,17953,16988,965
mulungu,3361,1974,10197,9684,514
nova olinda,4736,2693,15996,15156,840
nova russas,12068,7305,36229,34049,2180
novo oriente,10193,6303,32714,30952,1762
ocara,8096,4657,24987,23823,1165
oros,9215,5679,29357,27792,1564
pacajus,17263,10474,48666,45945,2721
pacatuba,20297,12158,48271,45995,2276
pacoti,3989,2361,11791,11313,477
pacuja,2303,1285,6686,6534,152
palhano,3399,1888,9867,9452,415
palmacia,3697,2235,11893,11345,548
paracuru,10537,6537,32078,30137,1941
paraipaba,9249,5775,29855,28567,1288
parambu,12577,7490,39315,38078,1237
paramoti,3982,2422,13137,12694,443
pedra branca,16008,9511,54334,51384,2951
penaforte,2809,1648,8220,7832,388
pentecoste,12384,7496,38235,36418,1817
pereiro,6056,3321,19591,18758,834
pindoretama,5843,3538,16039,15165,874
piquet carneiro,5325,3312,16940,16076,864
pires ferreira,3273,2003,11738,11042,696
poranga,4492,2686,14652,13830,822
porteiras,6309,3373,20138,18372,1765
potengi,3786,2129,12400,11588,812
potiretama,2188,1380,6373,6187,187
quiterianopolis,7158,4230,23095,22033,1062
quixada,27603,16623,78223,74884,3338
quixelo,6078,3736,19303,18165,1138
quixeramobim,23016,13796,68649,65302,3346
quixere,6589,4021,21119,19575,1544
redencao,9692,5819,29294,28283,1011
reriutaba,8481,4930,24514,23843,671
russas,23211,13474,61870,58344,3525
saboeiro,6325,3649,22012,20920,1092
salitre,5064,2902,16543,15710,833
santa quiteria,16249,9619,51067,48856,2211
santana do acarau,9672,5454,31959,30816,1143
santana do cariri,6263,3393,20427,18960,1468
sao benedito,15369,9113,49741,48181,1560
sao goncalo do amarante,13292,8153,39442,37278,2164
sao joao do jaguaribe,3711,2387,10636,10247,389
sao luis do curu,4486,2759,13359,12932,427
senador pompeu,11104,6752,35951,33704,2247
senador sa,2060,1168,7656,6923,733
sobral,62339,37021,173022,163357,9664
solonopole,6688,4018,20055,18849,1206
tabuleiro do norte,11113,7018,34047,32592,1455
tamboril,10028,5949,30047,28534,1513
tarrafas,3578,2058,10184,9707,477
taua,20761,12571,63496,60443,3053
tejucuoca,4842,2829,16311,15468,843
tiangua,21976,13215,66535,63082,3453
trairi,15963,9525,51625,49316,2308
tururu,4225,2524,13441,12901,539
ubajara,10456,6402,32672,30819,1853
umari,3012,1687,9571,9112,459
umirim,6308,3837,20649,20250,399
uruburetama,6141,3721,19285,18506,780
uruoca,4210,2535,13880,13272,609
varjota,6463,3805,21044,19922,1122
varzea alegre,14360,8415,44673,41477,3196
vicosa do ceara,16320,9582,51301,48806,2495
