city,total,married,separated,divorced,widow,single
abaiara,6466,1907,42,2,278,4237
acarape,9778,3552,188,23,418,5597
acarau,36724,11124,376,121,1055,24049
acopiara,37940,13897,330,121,1690,21902
aiuaba,10854,3944,205,16,429,6260
alcantaras,7196,2615,27,45,221,4287
altaneira,4413,1447,44,31,200,2691
alto santo,12092,3991,85,92,490,7434
amontada,23593,7741,126,60,740,14926
antonina do norte,5004,1916,24,36,174,2853
apuiares,9652,3597,51,35,359,5609
aquiraz,46951,16171,623,310,1683,28164
aracati,48278,16801,767,334,2104,28272
aracoiaba,18720,6688,259,129,807,10838
ararenda,7874,3166,57,55,301,4295
araripe,14428,4602,106,41,437,9242
aratuba,9115,3816,100,55,357,4787
arneiroz,5784,2240,35,19,199,3291
assare,15933,6350,150,140,677,8616
aurora,19900,8724,407,77,890,9802
baixio,4700,1876,26,18,147,2633
banabuiu,11939,4163,54,32,448,7242
barbalha,36731,15482,418,229,1546,19056
barreira,13072,4891,137,77,602,7365
barro,15774,6446,151,62,584,8532
barroquinha,10402,2187,26,0,223,7965
baturite,23135,8987,349,137,937,12726
beberibe,32969,11326,291,134,1316,19902
bela cruz,21281,8135,102,18,603,12424
boa viagem,38505,15457,375,170,1498,21006
brejo santo,30239,7514,105,107,555,21957
camocim,41890,9709,192,169,1274,30545
campos sales,19735,5973,202,117,1063,12380
caninde,52798,19955,510,267,2167,29899
capistrano,12100,4795,170,31,535,6569
caridade,11786,4368,49,70,569,6730
carire,14123,4283,44,37,523,9237
caririacu,19495,6684,157,44,554,12057
carius,14499,6610,115,198,677,6898
carnaubal,11459,2730,122,13,280,8315
cascavel,44651,14751,672,228,1737,27262
catarina,12206,5495,57,87,323,6244
catunda,7192,2254,36,15,287,4600
caucaia,189737,69105,3397,1529,6179,109526
cedro,19275,7413,264,57,879,10662
chaval,9193,2465,58,46,257,6367
choro,8772,3047,100,6,297,5323
chorozinho,14329,5267,211,102,434,8316
coreau,15061,5707,130,37,448,8739
crateus,56481,20235,724,410,2144,32968
crato,82761,31704,1840,741,4061,44414
croata,11903,2900,51,31,296,8626
cruz,15060,4397,191,52,437,9984
deputado irapuan pinheiro,6642,2879,21,17,318,3407
erere,4996,1893,6,0,221,2876
eusebio,23918,8261,325,222,789,14321
farias brito,15790,5939,113,64,685,8989
forquilha,13392,4672,160,53,507,8001
fortaleza,1730839,593098,37110,27239,68189,1005203
fortim,9360,2905,100,83,359,5913
frecheirinha,8814,3006,53,34,329,5392
general sampaio,3614,1496,47,25,79,1966
graca,11101,2457,23,10,404,8207
granja,35295,8159,120,35,810,26170
granjeiro,4035,1790,41,15,147,2042
groairas,6815,2014,40,15,332,4413
guaiuba,15049,5931,133,20,704,8261
guaraciaba do norte,26235,7060,78,102,687,18307
guaramiranga,4277,1493,34,37,207,2506
hidrolandia,13783,5094,71,30,647,7943
horizonte,25596,9421,437,229,841,14669
ibaretama,9332,3584,102,33,445,5167
ibiapina,16812,6227,109,85,508,9883
ibicuitinga,7366,2509,45,5,267,4540
icapui,12811,4126,130,71,373,8110
ico,49008,18061,363,188,1735,28661
iguatu,70006,26228,1058,459,3398,38863
independencia,20110,7633,218,95,889,11275
ipaporanga,8730,3554,128,35,388,4625
ipaumirim,9214,3057,52,59,397,5649
ipu,30090,9190,156,106,1255,19382
ipueiras,29030,10677,191,127,1165,16869
