city,total,has_children,children_born,children_borned_live,children_borned_dead
afonso claudio,12984,8166,31062,29832,1230
agua doce do norte,5070,3216,14500,13488,1013
aguia branca,3744,2320,9801,9311,491
alegre,13039,8220,31425,30081,1344
alfredo chaves,5449,3462,12492,12077,415
alto rio novo,2769,1778,7736,7319,417
anchieta,7844,4741,17185,16350,835
apiaca,3101,1996,7756,7609,148
aracruz,25843,15643,58707,56113,2594
atilio vivacqua,3334,2053,7591,7109,482
baixo guandu,11468,7565,28274,26911,1363
barra de sao francisco,15205,9750,40123,37539,2584
boa esperanca,5358,3405,14383,13732,650
bom jesus do norte,3990,2538,9234,8802,432
brejetuba,4146,2619,10138,9585,553
cachoeiro de itapemirim,73516,46220,153450,146584,6866
cariacica,134271,83809,290678,275967,14712
castelo,13476,8400,30423,28904,1519
colatina,48033,30521,105513,101371,4141
conceicao da barra,10317,6808,28499,26587,1913
conceicao do castelo,4393,2750,10255,9835,420
divino de sao lourenco,1796,1146,4603,4442,161
domingos martins,12197,7558,26560,25547,1014
dores do rio preto,2422,1608,6127,5763,365
ecoporanga,9663,6276,27013,25135,1878
fundao,5266,3404,13128,12492,636
guacui,10576,6593,24779,23483,1296
guarapari,36123,22892,78156,73920,4236
ibatiba,7483,4820,20213,19009,1205
ibiracu,4174,2575,9444,9023,421
ibitirama,3343,2088,8871,8400,471
iconha,4698,2955,10365,9786,579
irupi,3934,2519,9567,8997,570
itaguacu,5895,3853,14606,14017,589
itapemirim,11036,7137,26071,24799,1272
itarana,4619,3005,10877,10489,388
iuna,10371,6492,24865,23663,1201
jaguare,7397,4729,18653,17993,660
jeronimo monteiro,4158,2656,10597,9893,703
joao neiva,6428,4038,14593,14226,367
laranja da terra,4519,2884,9995,9680,315
linhares,45203,28330,110241,105119,5122
mantenopolis,4900,3248,14316,13156,1159
marataizes,12340,7869,28047,26726,1321
marechal floriano,4715,3036,9904,9597,307
marilandia,4095,2532,9714,9446,269
mimoso do sul,10669,6609,24874,23819,1056
montanha,7044,4367,19700,18473,1227
mucurici,2273,1447,6515,5957,558
muniz freire,7604,4733,19197,18270,927
muqui,5650,3537,12959,12251,707
nova venecia,17276,10874,43084,40882,2202
pancas,8028,5210,21325,20135,1190
pedro canario,8569,5507,24443,22801,1642
pinheiros,8658,5442,23194,22594,600
piuma,5945,3884,13142,12590,551
ponto belo,2496,1581,7948,7184,763
presidente kennedy,3732,2382,10004,9554,450
rio bananal,6403,3972,16010,15427,583
rio novo do sul,4559,2902,11003,10754,249
santa leopoldina,4790,3068,11925,11515,411
santa maria de jetiba,11201,7119,24415,23302,1113
santa teresa,8444,5188,17843,17151,691
sao domingos do norte,3141,1993,8168,7532,636
sao gabriel da palha,11035,6798,25873,25006,866
sao jose do calcado,4317,2927,10653,10135,518
sao mateus,35997,21985,81774,77271,4503
sao roque do canaa,4144,2630,9096,8764,333
serra,130753,81296,266292,253457,12836
sooretama,6856,4367,18727,17740,987
vargem alta,6543,4142,16143,15479,663
venda nova do imigrante,6524,3941,13971,13556,414
viana,21559,13294,46923,44582,2342
vila pavao,3258,2055,8303,7845,458
vila valerio,5252,3362,13597,13036,561
vila velha,151647,93153,291641,276316,15325
vitoria,132344,77752,234480,224060,10420
