city,total,married,separated,divorced,widow,single
abadia de goias,3913,1659,52,77,157,1969
abadiania,9106,4024,91,222,413,4355
acreuna,14710,5365,381,222,743,8001
adelandia,2006,882,0,20,162,942
agua fria de goias,3542,1203,18,13,94,2214
agua limpa,1784,997,32,11,80,663
aguas lindas de goias,75255,23448,1103,1111,1392,48201
alexania,15854,5471,253,255,697,9178
aloandia,1795,713,47,62,77,897
alto horizonte,2073,998,31,16,70,958
alto paraiso de goias,4743,1018,113,61,94,3457
alvorada do norte,5983,1543,61,20,322,4037
amaralina,2444,1152,19,13,73,1186
americano do brasil,4089,1676,139,29,242,2003
amorinopolis,3490,1605,73,53,208,1551
anapolis,234488,98883,4317,5736,12094,113458
anhanguera,750,267,16,37,51,379
anicuns,15472,6794,301,223,749,7404
aparecida de goiania,263359,101199,4454,6309,8276,143121
aparecida do rio doce,1933,793,29,34,73,1005
apore,2790,1000,88,18,74,1610
aracu,3425,1504,42,37,200,1642
aragarcas,13409,4278,230,232,570,8099
aragoiania,5190,2317,58,92,163,2560
araguapaz,5918,2321,66,124,293,3114
arenopolis,3300,1231,67,44,133,1825
aruana,3968,1357,19,74,159,2359
aurilandia,3609,1744,48,52,191,1573
avelinopolis,2108,916,0,39,76,1077
baliza,1855,748,31,19,110,947
barro alto,5027,1903,52,151,250,2672
bela vista de goias,15792,6174,394,171,729,8324
bom jardim de goias,6631,2593,110,114,294,3519
bom jesus de goias,13070,5065,589,211,546,6659
bonfinopolis,4289,1752,95,56,199,2188
bonopolis,2016,786,21,33,58,1118
brazabrantes,2268,841,94,43,151,1139
britania,4288,1747,54,50,210,2228
buriti alegre,7270,2999,207,103,460,3501
buriti de goias,2205,1060,11,28,138,967
buritinopolis,2536,875,6,7,77,1572
cabeceiras,5295,1759,69,42,208,3218
cachoeira alta,7167,2544,190,111,340,3982
cachoeira de goias,1207,621,3,7,66,509
cachoeira dourada,7040,3029,160,86,342,3423
cacu,8825,3315,301,166,410,4633
caiaponia,11991,4457,263,203,483,6584
caldas novas,39783,14136,1226,779,1307,22335
caldazinha,2345,1062,31,23,112,1116
campestre de goias,2522,1060,24,31,115,1292
campinacu,2992,1347,39,37,87,1482
campinorte,7842,3482,85,136,419,3720
campo alegre de goias,3710,1497,68,27,188,1929
campos belos,13409,3076,91,231,374,9637
campos verdes,6285,2433,87,86,183,3496
carmo do rio verde,6552,3274,165,89,382,2642
castelandia,3159,1117,55,17,110,1860
catalao,53772,22310,1514,1122,2539,26288
caturai,3558,1768,78,22,146,1545
cavalcante,6656,833,21,15,145,5642
ceres,18487,8881,420,183,980,8023
cezarina,5282,2731,137,71,140,2203
chapadao do ceu,2896,1293,29,26,42,1506
cidade ocidental,31102,11394,586,692,749,17681
cocalzinho de goias,11507,3913,151,115,455,6872
colinas do sul,2819,523,73,21,67,2134
corrego do ouro,2467,1446,9,14,166,832
corumba de goias,7820,3263,132,75,427,3922
corumbaiba,5457,2196,77,71,233,2879
cristalina,26290,8922,414,233,985,15736
cristianopolis,2410,1042,33,23,109,1203
crixas,11898,5490,192,139,524,5553
crominia,3068,1270,48,28,151,1571
cumari,2606,1099,136,55,161,1155
damianopolis,2676,988,0,0,60,1628
damolandia,2166,1148,31,22,105,860
davinopolis,1763,787,38,20,61,856
diorama,2081,942,37,12,85,1005
divinopolis de goias,4138,881,29,10,181,3037
doverlandia,6920,2800,93,197,244,3587
edealina,3141,1254,101,49,130,1608
edeia,8312,2895,221,177,286,4733
estrela do norte,2777,1283,38,28,110,1317
faina,6133,2582,83,63,276,3130
fazenda nova,5868,2613,192,56,262,2745
firminopolis,8328,3642,164,210,599,3713
flores de goias,5670,1668,49,49,101,3802
formosa,61595,19311,1097,1103,2115,37970
formoso,4552,2059,109,63,211,2110
goianapolis,8421,3322,185,117,255,4542
goiandira,4235,1714,91,34,258,2137
goianesia,39788,17570,1050,629,2051,18487
goiania,911064,348466,20182,27363,39185,475869
goianira,14848,5860,264,260,719,7744
goias,22451,8741,450,348,1250,11661
goiatuba,25729,10969,823,538,1446,11953
gouvelandia,3344,1307,91,58,136,1752
guapo,11170,4427,180,179,528,5856
guaraita,2330,1150,35,27,104,1014
guarani de goias,3726,1120,4,0,65,2538
guarinos,2401,996,35,12,92,1266
heitorai,2824,1280,86,14,120,1324
hidrolandia,10654,4320,280,116,453,5485
hidrolina,3715,1745,76,11,195,1688
iaciara,8731,2205,44,23,257,6202
inaciolandia,4265,1338,151,70,182,2524
indiara,9386,3818,172,80,349,4966
inhumas,36338,15930,1115,712,2019,16563
ipameri,18689,6717,436,379,1242,9915
ipora,26049,10296,604,652,1234,13263
israelandia,2462,1079,87,44,98,1153
itaberai,22819,10261,459,292,1311,10496
itaguari,3681,1550,65,80,238,1748
itaguaru,4808,2103,96,58,294,2257
itaja,5308,1996,160,88,194,2870
itapaci,11231,4944,261,128,480,5418
itapirapua,8879,3531,146,62,461,4679
itapuranga,22295,10161,350,341,1148,10294
itaruma,4373,1592,150,43,165,2423
itaucu,6937,3142,112,137,411,3136
itumbiara,67744,28023,2038,1268,3495,32920
ivolandia,2527,1145,30,33,95,1224
jandaia,5228,2279,192,54,236,2468
jaragua,26877,12071,520,352,1260,12673
jatai,61349,20062,1653,1449,2479,35706
jaupaci,2562,1182,62,35,106,1177
jesupolis,1694,809,37,18,83,746
joviania,5643,2570,112,144,261,2557
