city,total
abadia de goias,2048
abadiania,4931
acreuna,7825
adelandia,1080
agua fria de goias,1805
agua limpa,1064
aguas lindas de goias,44221
alexania,7559
aloandia,938
alto horizonte,1149
alto paraiso de goias,2156
alvorada do norte,2844
amaralina,1422
americano do brasil,2117
amorinopolis,1987
anapolis,117931
anhanguera,353
anicuns,8384
aparecida de goiania,136222
aparecida do rio doce,1137
apore,1706
aracu,1919
aragarcas,6395
aragoiania,2890
araguapaz,3102
arenopolis,1939
aruana,2255
aurilandia,1901
avelinopolis,1109
baliza,1016
barro alto,2508
bela vista de goias,8498
bom jardim de goias,3708
bom jesus de goias,7333
bonfinopolis,2329
bonopolis,1168
brazabrantes,1249
britania,2290
buriti alegre,3965
buriti de goias,1201
buritinopolis,1289
cabeceiras,2609
cachoeira alta,3895
cachoeira de goias,732
cachoeira dourada,3670
cacu,4861
caiaponia,6618
caldas novas,21726
caldazinha,1331
campestre de goias,1391
campinacu,1609
campinorte,4121
campo alegre de goias,1977
campos belos,5861
campos verdes,3325
carmo do rio verde,3631
castelandia,1732
catalao,27236
caturai,1905
cavalcante,3139
ceres,9558
cezarina,2965
chapadao do ceu,1788
cidade ocidental,15286
cocalzinho de goias,5605
colinas do sul,1290
corrego do ouro,1465
corumba de goias,3858
corumbaiba,2924
cristalina,13582
cristianopolis,1350
crixas,6250
crominia,1584
cumari,1386
damianopolis,1282
damolandia,1228
davinopolis,907
diorama,1247
divinopolis de goias,1846
doverlandia,3848
edealina,1770
edeia,4511
estrela do norte,1466
faina,3375
fazenda nova,3409
firminopolis,4322
flores de goias,2873
formosa,28974
formoso,2382
goianapolis,4423
goiandira,2078
goianesia,20371
goiania,428456
goianira,7968
goias,11136
goiatuba,13151
gouvelandia,1862
guapo,5822
guaraita,1318
guarani de goias,1844
guarinos,1211
heitorai,1505
hidrolandia,5806
hidrolina,1989
iaciara,3901
inaciolandia,2374
indiara,5339
inhumas,18718
ipameri,9423
ipora,13560
israelandia,1327
itaberai,12443
itaguari,1893
itaguaru,2522
itaja,2923
itapaci,6021
itapirapua,4761
itapuranga,11973
itaruma,2605
itaucu,3591
itumbiara,35524
ivolandia,1499
jandaia,2950
jaragua,13922
jatai,31540
jaupaci,1403
jesupolis,845
joviania,3160
jussara,8607
leopoldo de bulhoes,3248
luziania,55176
mairipotaba,1094
mambai,1910
mara rosa,5030
marzagao,944
matrincha,2013
maurilandia,3967
mimoso de goias,1028
minacu,14258
mineiros,16255
moipora,966
monte alegre de goias,2384
montes claros de goias,3836
montividiu,3476
montividiu do norte,1674
morrinhos,16188
morro agudo de goias,1282
mossamedes,2749
mozarlandia,4600
mundo novo,3522
mutunopolis,1668
nazario,2914
neropolis,7461
niquelandia,15658
nova america,922
nova aurora,832
nova crixas,4735
nova gloria,4018
nova iguacu de goias,1122
nova roma,1396
nova veneza,2732
novo brasil,1974
novo gama,28455
novo planalto,1553
orizona,5938
ouro verde de goias,1911
ouvidor,1933
padre bernardo,8021
palestina de goias,1629
palmeiras de goias,8244
palmelo,886
palminopolis,1719
panama,1350
paranaiguara,3537
parauna,4925
perolandia,1219
petrolina de goias,4870
pilar de goias,1522
piracanjuba,10394
piranhas,5198
pirenopolis,8717
pires do rio,11299
planaltina,27953
pontalina,7106
porangatu,15922
porteirao,1314
portelandia,1646
posse,9573
professor jamil,1367
quirinopolis,16328
rialma,4262
rianapolis,1790
rio quente,1009
rio verde,50390
rubiataba,7853
sanclerlandia,3436
santa barbara de goias,1952
santa cruz de goias,1736
santa fe de goias,1870
santa helena de goias,14825
santa isabel,1717
santa rita do araguaia,2244
santa rita do novo destino,1308
santa rosa de goias,1703
santa tereza de goias,1950
santa terezinha de goias,4891
santo antonio da barra,1619
santo antonio de goias,1354
santo antonio do descoberto,19930
sao domingos,3537
sao francisco de goias,2558
sao joao da parauna,898
sao joao d'alianca,2542
sao luis de montes belos,11452
sao luiz do norte,1795
sao miguel do araguaia,9741
sao miguel do passa quatro,1564
sao patricio,888
sao simao,5698
senador canedo,20695
serranopolis,2990
silvania,8758
simolandia,2116
sitio d'abadia,1027
taquaral de goias,1693
teresina de goias,933
terezopolis de goias,2008
tres ranchos,1313
trindade,33063
trombas,1410
turvania,2382
turvelandia,1627
uirapuru,1338
uruacu,13324
uruana,6239
urutai,1397
valparaiso de goias,37189
varjao,1571
vianopolis,4792
vicentinopolis,2694
vila boa,1154
vila propicio,1927
