city,total,has_children,children_born,children_borned_live,children_borned_dead
acailandia,33272,20151,89039,82832,6207
afonso cunha,1668,1038,5124,4557,567
agua doce do maranhao,3460,2092,12248,11462,786
alcantara,7712,4832,24419,22613,1806
aldeias altas,6649,4142,20828,18992,1836
altamira do maranhao,3212,2018,10907,10235,672
alto alegre do maranhao,7931,4676,19822,18335,1487
alto alegre do pindare,10392,6169,32796,30325,2471
alto parnaiba,3637,2013,10695,9690,1005
amapa do maranhao,1761,1114,6046,5536,510
amarante do maranhao,10658,6359,30793,28761,2032
anajatuba,8417,5102,26818,24888,1930
anapurus,3739,2272,11266,10675,591
apicum-acu,3699,2233,12148,11341,808
araguana,3174,1965,10424,9767,657
araioses,12469,7396,41767,39329,2439
arame,10462,6065,30592,28838,1754
arari,10037,6024,28953,27149,1804
axixa,3751,2171,12953,11882,1071
bacabal,37533,22622,99367,91271,8096
bacabeira,3812,2240,11189,10614,575
bacuri,5412,3374,18595,17280,1316
bacurituba,1638,1043,6489,6008,481
balsas,22440,13452,59006,55031,3976
barao de grajau,5994,3404,16002,14851,1151
barra do corda,28752,17571,91582,85143,6439
barreirinhas,13606,7948,42902,40439,2463
bela vista do maranhao,3572,2221,11959,11241,718
belagua,1567,985,6088,5759,329
benedito leite,1977,1119,5529,5051,478
bequimao,7415,4463,22301,21091,1211
bernardo do mearim,1989,1200,6356,6023,333
boa vista do gurupi,1744,1082,6122,5623,499
bom jardim,13070,6877,35762,32435,3327
bom jesus das selvas,5602,3478,17801,16854,947
bom lugar,4230,2552,13766,12701,1064
brejo,10255,6313,31060,29340,1720
brejo de areia,3465,2101,11684,10836,848
buriti,8472,5064,27134,25161,1973
buriti bravo,8038,4780,24073,22451,1621
buriticupu,17265,10440,49906,46872,3034
buritirana,4935,3050,16745,15523,1222
cachoeira grande,2293,1387,7202,7051,151
cajapio,3506,2052,10959,10358,601
cajari,4600,2820,15125,13794,1331
campestre do maranhao,4124,2555,12679,11916,763
candido mendes,5840,3391,18594,17534,1060
cantanhede,6238,3814,19388,18316,1072
capinzal do norte,3985,2481,12819,11722,1097
carolina,9196,5367,26362,23966,2396
carutapera,6291,3878,21883,20962,920
caxias,56309,33515,154887,142771,12116
cedral,3562,2115,10214,9382,832
central do maranhao,2481,1564,8798,8211,588
centro do guilherme,1982,1187,6620,6000,620
centro novo do maranhao,4604,2814,15317,13935,1382
chapadinha,23025,13780,69416,65690,3726
cidelandia,4297,2573,13110,12170,940
codo,43371,26648,125378,113982,11396
coelho neto,16012,9640,47135,42616,4519
colinas,13259,8306,39140,36284,2856
conceicao do lago-acu,3605,2315,12154,10835,1319
coroata,21379,13455,62510,57998,4512
cururupu,12431,7898,39496,37230,2267
davinopolis,4619,2950,13960,13009,951
dom pedro,8788,5450,25843,24155,1688
duque bacelar,3274,1966,11164,10636,528
esperantinopolis,8114,4654,23817,22267,1550
estreito,8580,4982,22386,21370,1016
feira nova do maranhao,2499,1433,7966,7624,342
fernando falcao,1551,1037,5062,4820,242
formosa da serra negra,4531,2514,12798,12041,756
fortaleza dos nogueiras,4036,2276,11071,10647,424
fortuna,5464,3331,17931,16692,1239
godofredo viana,2383,1414,7347,7081,266
goncalves dias,6336,3821,18491,17339,1152
governador archer,3504,2137,11169,10214,955
governador edison lobao,4015,2474,11617,10939,678
governador eugenio barros,5446,3472,17853,16232,1621
governador luiz rocha,2381,1436,7325,6823,502
governador newton bello,4112,2537,13176,12154,1022
governador nunes freire,8972,5419,25024,23371,1653
graca aranha,2393,1442,7630,6903,727
grajau,16647,10035,50453,47251,3202
guimaraes,4776,2860,15141,13978,1163
humberto de campos,6933,4207,24889,22771,2118
icatu,7113,4412,22858,21884,974
igarape do meio,3519,2082,11016,10155,860
igarape grande,3825,2258,12030,10866,1163
imperatriz,94875,56825,229982,216455,13527
itaipava do grajau,4320,2578,14678,13746,932
itapecuru mirim,16130,9778,48023,44801,3222
itinga do maranhao,8452,5478,22679,21352,1327
jatoba,1820,1063,5896,5313,583
jenipapo dos vieiras,3344,1909,10320,9666,654
joao lisboa,9134,5419,27589,25716,1873
joselandia,5260,3188,16319,15304,1015
junco do maranhao,1914,1157,6519,5925,594
lago da pedra,15196,9464,47769,43797,3972
lago do junco,3623,2114,10953,10040,913
lago dos rodrigues,3217,1970,10441,9938,503
lago verde,4631,2811,14602,13865,737
lagoa do mato,3473,2011,9493,9056,437
lagoa grande do maranhao,2756,1720,9574,8930,644
lajeado novo,1970,1228,5796,5499,297
lima campos,4237,2617,12460,11616,844
loreto,3543,1951,10366,9547,818
luis domingues,2020,1230,6841,6298,543
magalhaes de almeida,4734,2954,16796,15806,990
maracacume,5348,3287,16214,15225,989
maraja do sena,2208,1330,7432,6814,619
maranhaozinho,2871,1762,9326,8382,945
mata roma,4280,2565,13315,12751,564
matinha,7411,4443,22593,21109,1484
matoes,9520,5837,30604,27677,2927
matoes do norte,2595,1581,7770,7110,660
milagres do maranhao,1718,1037,5727,5430,297
mirador,7061,4056,21147,20004,1143
miranda do norte,6245,3760,18141,16574,1567
mirinzal,4729,2892,14817,13959,857
moncao,8889,5559,30450,28272,2178
montes altos,3688,2264,10811,10242,569
morros,4858,2810,16078,15124,954
nina rodrigues,2883,1825,9899,9202,697
nova colinas,1260,751,3926,3643,282
nova iorque,1738,1008,4948,4641,307
nova olinda do maranhao,5723,3324,17769,16315,1454
olho d'agua das cunhas,5688,3726,17427,15990,1437
olinda nova do maranhao,3634,2190,11526,10708,819
paco do lumiar,31121,18223,69437,64768,4669
palmeirandia,6601,3965,19376,17718,1658
paraibano,6910,4195,20739,19142,1597
parnarama,11817,7184,37147,33285,3862
passagem franca,5593,3542,17150,15621,1529
pastos bons,5756,3450,16616,15642,974
paulino neves,3838,2261,13954,13131,823
paulo ramos,6998,4225,23201,21337,1863
pedreiras,16608,10050,41383,38581,2802
pedro do rosario,6101,3783,19645,18113,1532
penalva,10784,6653,33892,31571,2321
peri mirim,4932,3185,14273,13104,1169
peritoro,6551,4187,20158,18256,1902
pindare-mirim,10788,6626,30915,28538,2377
pinheiro,27073,15707,71859,67151,4708
pio xii,10534,6058,30744,29254,1490
pirapemas,5474,3288,16316,14825,1491
pocao de pedras,8768,5142,26474,24101,2373
porto franco,6434,3890,17329,15995,1335
porto rico do maranhao,2345,1358,7257,6763,494
presidente dutra,15508,9418,45571,42579,2992
presidente juscelino,3512,2110,12166,11193,974
presidente medici,1825,1098,5407,4952,455
presidente sarney,4597,2904,14963,14049,914
presidente vargas,3922,2166,11370,10957,412
primeira cruz,3639,2088,12376,11731,645
raposa,6163,3727,16743,15518,1225
riachao,7650,4363,22443,20542,1901
ribamar fiquene,2271,1348,6869,6129,741
rosario,12812,7800,38437,35474,2963
sambaiba,1833,1069,5951,5443,508
santa filomena do maranhao,1571,979,4996,4627,369
santa helena,11417,6872,33835,31212,2623
santa ines,27957,16782,74525,70371,4154
santa luzia,24441,14656,77013,70456,6557
santa luzia do parua,7390,4460,22398,20881,1517
santa quiteria do maranhao,9728,5875,31550,29389,2161
santa rita,9196,5727,28637,25957,2680
santana do maranhao,3670,2239,14063,13200,863
santo amaro do maranhao,3174,1779,11724,11204,520
santo antonio dos lopes,5342,3168,15793,14554,1240
sao benedito do rio preto,5834,3430,18528,17179,1349
sao bento,12606,7473,33878,31623,2255
sao bernardo,8048,4764,28563,26889,1674
sao domingos do azeitao,2217,1320,6974,6540,434
sao domingos do maranhao,12239,7577,38141,36053,2088
sao felix de balsas,1869,1057,5665,5376,289
sao francisco do brejao,2545,1549,7281,6876,405
sao francisco do maranhao,4802,3000,14629,13532,1097
sao joao batista,7446,4342,22708,21028,1680
sao joao do caru,4440,2859,15860,14609,1250
sao joao do paraiso,3602,2098,10154,9616,538
sao joao do soter,5337,3332,17015,15696,1319
sao joao dos patos,9334,5533,26601,24193,2408
sao jose de ribamar,42401,25154,100192,94287,5906
sao jose dos basilios,2684,1615,8591,8122,469
sao luis,380968,212309,742942,698130,44812
sao luis gonzaga do maranhao,8449,5243,25794,23828,1965
sao mateus do maranhao,13256,8312,40106,37577,2530
sao pedro da agua branca,3954,2280,12138,11301,836
sao pedro dos crentes,1433,778,4777,4432,346
sao raimundo das mangabeiras,5510,3234,17692,16196,1496
sao raimundo do doca bezerra,2220,1345,7794,7161,632
sao roberto,1455,842,4535,4278,257
sao vicente ferrer,6749,3972,21964,20425,1539
satubinha,3997,2233,12265,11216,1049
senador alexandre costa,3162,2061,10494,9657,837
senador la rocque,6094,3760,20539,19006,1532
serrano do maranhao,3119,1800,8901,8337,565
sitio novo,5210,3178,16416,15102,1315
sucupira do norte,3722,2194,10836,10135,701
sucupira do riachao,1601,964,4680,4489,192
tasso fragoso,2206,1272,5907,5538,369
timbiras,9554,5850,30921,28645,2276
timon,52193,31591,134081,123117,10964
trizidela do vale,6803,4284,20336,19348,988
tufilandia,1949,1189,6120,5906,214
tuntum,12774,7991,41499,39469,2030
turiacu,10337,6190,32528,29929,2599
turilandia,6347,3803,17928,16103,1825
tutoia,13122,7736,44515,41765,2749
urbano santos,6212,3717,19423,18290,1133
vargem grande,12495,7691,38099,35441,2658
viana,16385,9892,48024,44628,3395
vila nova dos martirios,2284,1421,7727,7087,640
vitoria do mearim,10816,6647,35735,33357,2378
vitorino freire,10637,6625,32497,30124,2373
ze doca,17332,10149,50534,47515,3018
