city,total,has_children,children_born,children_borned_live,children_borned_dead
acorizal,2074,1288,6143,5632,511
agua boa,6304,4202,14140,13449,690
alta floresta,17886,11773,40491,38852,1639
alto araguaia,4485,3126,11199,10358,842
alto boa vista,2169,1473,6083,5742,341
alto garcas,3296,2163,7764,7223,541
alto paraguai,3148,1969,8608,8105,503
alto taquari,1628,1092,3202,2989,213
apiacas,2140,1443,5639,5148,491
araguaiana,1298,869,2954,2821,133
araguainha,509,339,1668,1579,89
araputanga,5396,3458,13217,12512,705
arenapolis,4662,2863,12220,11454,766
aripuana,9135,6070,22904,21900,1004
barao de melgaco,2807,1682,7566,7291,275
barra do bugres,10059,6559,24929,23691,1239
barra do garcas,21112,13713,44864,42733,2131
brasnorte,3336,2280,7946,7494,452
caceres,33308,21033,81230,76996,4233
campinapolis,4328,2841,10951,10508,443
campo novo do parecis,6052,4016,12059,11226,833
campo verde,6417,4039,12614,12036,578
campos de julio,1000,646,1741,1668,73
canabrava do norte,1572,1042,4689,4320,369
canarana,5723,3815,12687,12055,632
carlinda,4295,2766,12790,12052,738
castanheira,2737,1839,7321,6556,766
chapada dos guimaraes,5870,3108,11857,11330,527
claudia,3617,2465,8397,8065,332
cocalinho,1992,1335,5010,4629,380
colider,10949,7228,27999,26465,1534
comodoro,5372,3397,12404,11680,724
confresa,6037,4000,15997,15030,967
cotriguacu,2754,1817,6968,6534,434
cuiaba,203848,121963,399548,380636,18912
denise,2714,1847,6269,5979,290
diamantino,6997,4365,15495,14569,925
dom aquino,3313,2192,8799,7965,834
feliz natal,2136,1375,4669,4475,195
figueiropolis d'oeste,1672,1025,4621,4334,287
gaucha do norte,1511,1053,3884,3757,127
general carneiro,1574,1073,3935,3671,265
gloria d'oeste,1274,883,3236,2916,320
guaranta do norte,10307,6796,24283,23401,881
guiratinga,5096,3322,13116,12404,712
indiavai,797,511,2140,1935,204
itauba,3000,2049,7345,6979,366
itiquira,3292,2249,7338,6834,503
jaciara,9216,6033,22026,21097,929
jangada,2499,1608,7315,6948,367
jauru,4888,2865,13864,12921,944
juara,11448,7340,27371,26142,1230
juina,13774,9155,33584,31859,1725
juruena,1900,1237,4586,4494,93
juscimeira,4615,3049,12738,12144,594
lambari d'oeste,1734,1091,4824,4317,507
lucas do rio verde,7080,4641,13924,13353,572
luciara,904,573,2638,2562,76
marcelandia,4878,3358,11025,10535,490
matupa,4046,2729,9668,9100,567
mirassol d'oeste,9303,5939,21482,20303,1179
nobres,5561,3427,15386,13929,1458
nortelandia,2740,1672,6587,6201,386
nossa senhora do livramento,4402,2600,11326,10717,609
nova bandeirantes,2225,1548,5977,5771,206
nova brasilandia,2120,1337,5590,5224,366
nova canaa do norte,4093,2712,11301,10892,410
nova guarita,1988,1373,5593,5261,332
nova lacerda,1363,825,3282,3153,130
nova marilandia,853,510,1693,1621,72
nova maringa,1245,868,2998,2837,160
nova monte verde,2301,1538,6042,5637,405
nova mutum,5309,3536,10511,10160,352
nova olimpia,4934,3435,12102,11395,708
nova ubirata,1761,1180,4103,3761,342
nova xavantina,7061,4667,17615,16425,1190
novo horizonte do norte,1308,828,3675,3544,131
novo mundo,1575,967,3592,3439,154
novo sao joaquim,3337,2328,8461,7893,568
paranaita,3624,2324,9168,8713,456
paranatinga,5481,3722,14147,13494,654
pedra preta,5153,3506,13282,12402,880
peixoto de azevedo,9232,6098,24636,23095,1541
planalto da serra,1033,638,2682,2479,202
pocone,11497,7014,30584,28885,1699
pontal do araguaia,1477,1036,3562,3465,97
ponte branca,783,520,1812,1711,101
pontes e lacerda,16282,10585,40431,38249,2182
porto alegre do norte,3094,2028,8481,7976,505
porto dos gauchos,2060,1344,4689,4477,212
porto esperidiao,3472,2264,8675,8397,278
porto estrela,1699,1073,5084,4427,657
poxoreo,7347,4932,20391,19230,1161
primavera do leste,15069,9731,29627,28193,1434
querencia,2474,1633,5411,5233,177
reserva do cabacal,944,556,2762,2527,235
ribeirao cascalheira,3215,2189,8204,7723,482
ribeiraozinho,769,511,2025,1924,101
rio branco,2043,1281,5326,5100,227
rondonopolis,60826,39438,134805,126500,8305
rosario oeste,6803,4308,19660,18212,1448
salto do ceu,1778,1193,4887,4616,271
santa carmem,1272,896,3331,3123,209
santa terezinha,2146,1283,6281,5652,629
santo afonso,1110,723,3059,2832,227
santo antonio do leverger,5627,3521,15196,13680,1516
sao felix do araguaia,3862,2540,10395,9625,770
sao jose do povo,1154,788,3528,3215,313
sao jose do rio claro,4548,3065,11353,10645,708
sao jose do xingu,1860,1215,4279,3974,305
sao jose dos quatro marcos,7859,5035,19432,18581,851
sao pedro da cipa,1305,850,3583,3403,180
sapezal,2563,1705,4721,4416,305
sinop,27921,18467,60697,56706,3991
sorriso,13235,8718,26889,25721,1168
tabapora,3898,2457,8677,7994,683
tangara da serra,23154,14927,51556,48927,2630
tapurah,3990,2613,8442,8024,417
terra nova do norte,5009,3435,14179,13587,591
tesouro,1168,808,3181,3076,105
torixoreu,1907,1316,5041,4556,485
uniao do sul,1340,938,3145,2895,250
varzea grande,85830,53666,183541,173924,9618
vera,3240,2140,7085,6803,282
vila bela da santissima trindade,4324,2756,11314,10807,508
vila rica,5391,3748,13262,12783,479
