city,total,has_children,children_born,children_borned_live,children_borned_dead
agua clara,3884,2588,8617,8080,537
alcinopolis,1333,879,2990,2929,61
amambai,11311,7526,25998,24621,1377
anastacio,8832,5927,20308,19332,976
anaurilandia,3020,1988,7649,7332,317
angelica,2947,2022,7767,7477,290
antonio joao,2784,1831,7224,7027,197
aparecida do taboado,7578,5298,17856,16698,1158
aquidauana,17195,11528,42103,40312,1791
aral moreira,2885,1887,7567,7249,318
bandeirantes,2401,1627,6244,5880,364
bataguassu,6217,4158,15322,14567,754
bataypora,4100,2774,11399,10864,534
bela vista,8313,5432,20598,19622,976
bodoquena,3026,2002,8003,7782,221
bonito,6441,4185,14765,14142,623
brasilandia,4450,2998,10430,9737,692
caarapo,8039,5462,20576,19730,846
camapua,6244,4199,14643,13579,1064
campo grande,280399,177573,562833,537579,25254
caracol,1632,1062,4211,4045,166
cassilandia,8311,5823,18994,18149,845
chapadao do sul,4291,2816,8004,7800,205
corguinho,1292,914,3302,3195,108
coronel sapucaia,4645,2996,11560,11217,343
corumba,37033,22981,84347,81320,3027
costa rica,5880,4101,14725,13590,1135
coxim,12209,7982,29309,27912,1397
deodapolis,4611,3021,12496,11660,836
dois irmaos do buriti,3298,2190,8827,8399,428
douradina,1836,1206,5290,5153,137
dourados,67674,43172,149334,141582,7752
eldorado,4312,2885,11033,10617,416
fatima do sul,8082,5254,20930,19598,1332
gloria de dourados,4202,2726,11089,10648,441
guia lopes da laguna,4265,2881,11002,10431,571
iguatemi,5217,3515,13058,12304,754
inocencia,2955,1986,6743,6481,263
itapora,6611,4425,16610,15875,734
itaquirai,5727,3811,15980,15174,805
ivinhema,8685,5742,21585,20510,1075
japora,2023,1368,6003,5604,398
jaraguari,1961,1394,4648,4437,211
jardim,8866,5843,20678,19536,1142
jatei,1567,1026,4286,4117,168
juti,1907,1282,5195,4768,428
ladario,5780,3676,13324,12873,451
laguna carapa,2050,1339,4640,4394,246
maracaju,9959,6709,23258,22134,1124
miranda,8534,5668,21847,20775,1072
mundo novo,6477,4175,15856,15180,676
navirai,14642,9680,36171,34059,2111
nioaque,5443,3654,14653,13594,1058
nova alvorada do sul,3724,2519,8332,7932,399
nova andradina,14401,9308,33501,31483,2018
novo horizonte do sul,2323,1575,6195,5811,384
paranaiba,15665,10564,36103,33738,2365
paranhos,3546,2328,9621,9219,402
pedro gomes,3300,2181,8663,8354,309
ponta pora,24059,15431,54364,52512,1852
porto murtinho,4620,3049,12626,12242,383
ribas do rio pardo,5811,3943,13404,12680,725
rio brilhante,8588,5631,19307,18240,1067
rio negro,2074,1406,5451,5216,235
rio verde de mato grosso,7139,4799,17208,16361,847
rochedo,1607,1135,4057,3748,309
santa rita do pardo,2422,1600,6191,5855,336
sao gabriel do oeste,6459,4118,13105,12655,450
selviria,2328,1654,6050,5827,224
sete quedas,4262,2924,11928,11337,591
sidrolandia,8655,5829,21273,20310,963
sonora,3470,2367,7814,7477,336
tacuru,3055,1981,7674,7447,227
taquarussu,1373,920,3807,3681,126
terenos,4310,2939,10242,9708,534
tres lagoas,32934,21746,74295,70592,3703
vicentina,2416,1551,6704,6296,408
