city,total,married,separated,divorced,widow,single
agua clara,8466,2864,127,140,167,5169
alcinopolis,2912,1511,79,9,48,1266
amambai,22668,7647,551,409,788,13272
anastacio,17906,6775,452,263,578,9838
anaurilandia,6310,2238,148,106,246,3572
angelica,5988,2687,120,80,297,2805
antonio joao,5643,1614,131,36,272,3590
aparecida do taboado,15035,5305,636,371,858,7865
aquidauana,34442,12062,962,601,1679,19137
aral moreira,5982,2050,39,29,161,3704
bandeirantes,5131,1679,123,64,160,3104
bataguassu,12960,4576,313,275,488,7309
bataypora,8433,3216,174,120,447,4476
bela vista,16817,5562,232,154,685,10183
bodoquena,6517,2218,92,100,207,3900
bonito,13385,4368,305,241,445,8026
brasilandia,9444,3363,265,120,307,5389
caarapo,16169,6376,211,268,641,8673
camapua,13203,4437,340,252,420,7754
campo grande,540680,189588,14873,16215,22725,297278
caracol,3497,1176,43,19,72,2187
cassilandia,16664,6016,680,326,843,8799
chapadao do sul,9132,3487,233,199,216,4996
corguinho,2863,1102,102,40,91,1528
coronel sapucaia,9429,2332,118,83,296,6599
corumba,73899,20943,1163,1137,3337,47319
costa rica,12404,4212,411,135,387,7259
coxim,24809,8406,706,393,824,14479
deodapolis,9269,4084,160,207,478,4340
dois irmaos do buriti,7079,2472,103,78,207,4218
douradina,3747,1499,51,60,154,1983
dourados,131949,54697,2978,2678,5467,66129
eldorado,8698,3436,149,132,389,4592
fatima do sul,15967,7233,370,295,888,7181
gloria de dourados,8371,3589,171,117,426,4068
guia lopes da laguna,8733,2673,173,186,343,5358
iguatemi,10569,3824,91,137,427,6091
inocencia,6294,2183,187,83,167,3674
itapora,13437,5735,225,277,612,6588
itaquirai,12211,4695,219,134,458,6706
ivinhema,17640,7774,307,282,933,8345
japora,4331,1548,69,26,143,2546
jaraguari,4360,1694,79,51,93,2444
jardim,17786,5579,264,396,634,10912
jatei,3262,1414,36,18,122,1672
juti,3829,1374,48,63,159,2185
ladario,11681,3504,113,115,494,7455
laguna carapa,4257,1418,102,26,110,2601
maracaju,20204,7362,468,272,711,11392
miranda,17833,6627,362,299,720,9825
mundo novo,12712,5325,302,222,635,6228
navirai,29247,10936,495,575,1151,16090
nioaque,11686,4484,158,172,388,6484
nova alvorada do sul,7829,2745,149,151,211,4574
nova andradina,28674,11298,635,640,1014,15087
novo horizonte do sul,5007,2224,75,45,138,2525
paranaiba,31515,11217,1187,638,1436,17038
paranhos,7339,1971,54,40,243,5031
pedro gomes,6845,2165,107,156,251,4167
ponta pora,47179,14413,731,760,1984,29291
porto murtinho,9914,2903,139,71,313,6488
ribas do rio pardo,13029,4369,385,209,414,7652
rio brilhante,17736,6289,379,387,440,10242
rio negro,4441,1572,81,112,182,2494
rio verde de mato grosso,14597,4706,373,335,535,8647
rochedo,3459,1303,22,77,131,1926
santa rita do pardo,5173,1855,169,31,211,2907
sao gabriel do oeste,13350,5205,204,219,428,7294
selviria,4848,1867,97,140,233,2512
sete quedas,8649,3313,236,107,395,4597
sidrolandia,18130,6524,384,273,471,10477
sonora,7248,2447,183,63,189,4366
tacuru,6452,1796,43,60,178,4374
taquarussu,2891,1407,33,47,79,1325
terenos,9185,3536,145,178,368,4958
tres lagoas,64441,21787,2026,1955,3348,35324
vicentina,4911,2290,74,105,245,2196
