city,total,has_children,children_born,children_borned_live,children_borned_dead
abadia dos dourados,2606,1813,6280,6050,230
abaete,9366,6048,21947,20918,1029
abre campo,5415,3264,14667,13985,682
acaiaca,1608,936,4561,4310,252
acucena,4489,2766,14263,13496,767
agua boa,6438,3824,20028,18352,1676
agua comprida,857,570,1761,1663,98
aguanil,1447,974,3096,3056,40
aguas formosas,7004,4281,22281,20846,1435
aguas vermelhas,4478,2716,12913,12076,837
aimores,10701,6792,26731,25352,1379
aiuruoca,2534,1401,5607,5194,413
alagoa,1075,644,3137,2887,250
albertina,1080,751,2640,2529,110
alem paraiba,14640,9573,30831,29272,1559
alfenas,28160,17670,58861,56228,2633
alfredo vasconcelos,2027,1293,5368,5086,281
almenara,14458,8820,39161,37242,1920
alpercata,2790,1740,7804,7524,280
alpinopolis,6557,4181,16959,15899,1060
alterosa,5108,3193,12589,11937,652
alto caparao,1823,1206,4235,4037,198
alto jequitiba,3414,2169,7920,7499,421
alto rio doce,5589,3188,15487,14836,651
alvarenga,2095,1293,6454,6243,211
alvinopolis,6451,3832,16147,15424,724
alvorada de minas,1296,750,3801,3592,209
amparo do serra,2266,1415,6864,6319,545
andradas,13827,8732,28366,26281,2085
andrelandia,5132,3147,12901,12337,565
angelandia,2703,1546,8435,7757,678
antonio carlos,4458,2837,10466,9858,609
antonio dias,3869,2272,10449,9862,587
antonio prado de minas,734,493,1715,1586,129
aracai,900,506,1882,1803,79
aracitaba,858,535,2192,2107,84
aracuai,14276,8229,39248,37662,1586
araguari,43139,28127,88928,85047,3881
arantina,1210,798,3056,2904,152
araponga,3003,1776,8897,8501,396
arapora,2077,1406,4800,4497,303
arapua,1151,751,2940,2722,218
araujos,2538,1523,5564,5437,127
araxa,33772,21290,66185,62870,3314
arceburgo,3312,2099,7620,7223,397
arcos,13799,8343,28063,26810,1252
areado,5012,3161,11365,10601,763
argirita,1344,822,3339,3210,129
aricanduva,1534,835,4254,4037,217
arinos,6444,3915,19168,18071,1096
astolfo dutra,4961,3028,10840,10417,423
ataleia,6590,4024,20683,19545,1139
augusto de lima,1908,1188,5668,5515,153
baependi,7274,4119,16153,15234,919
baldim,3377,1974,8726,8373,354
bambui,9372,5989,18720,17746,974
bandeira,2061,1322,6189,5912,277
bandeira do sul,1905,1248,4458,4291,167
barao de cocais,9679,5607,21538,20453,1085
barao de monte alto,2502,1531,6852,6524,328
barbacena,50154,29996,99757,94119,5639
barra longa,3085,1803,8935,8455,480
barroso,7632,4712,16933,15556,1377
bela vista de minas,4145,2404,10279,9594,685
belmiro braga,1373,853,3349,3104,245
belo horizonte,1006711,567391,1830834,1744594,86240
belo oriente,7688,4673,20521,19291,1230
belo vale,3207,1779,8287,7601,686
berilo,4975,2681,14154,13032,1122
berizal,1522,864,4104,3867,237
bertopolis,1565,1016,5020,4865,155
betim,122047,74389,259340,244072,15268
bias fortes,1728,997,4216,4013,204
bicas,5617,3540,11745,11250,495
biquinhas,1172,759,3334,3259,75
boa esperanca,14988,9430,35435,33291,2144
bocaina de minas,1955,1209,5009,4693,316
bocaiuva,16884,9850,41644,39125,2520
bom despacho,16631,10063,37968,35593,2375
bom jardim de minas,2724,1704,6463,5756,707
bom jesus da penha,1389,904,3151,2877,274
bom jesus do amparo,1985,1141,5289,4975,313
bom jesus do galho,6463,3894,19581,18075,1507
bom repouso,4384,2680,9911,9499,411
bom sucesso,6993,4365,16643,16140,503
bonfim,2916,1693,6936,6703,234
bonfinopolis de minas,2481,1466,6725,6304,421
bonito de minas,2834,1578,9535,8940,596
borda da mata,5971,3854,13355,12599,757
botelhos,6101,3897,13552,12843,709
botumirim,2451,1440,7310,6922,388
bras pires,2016,1196,6362,6108,254
brasilandia de minas,4217,2660,11464,10750,714
brasilia de minas,12144,6851,33253,31627,1626
brasopolis,6118,3661,14951,14249,703
braunas,2193,1291,6809,6127,682
brumadinho,10796,6364,23131,21646,1485
bueno brandao,4379,2855,10399,9772,627
buenopolis,4170,2450,11632,10915,716
bugre,1553,972,4511,4178,333
buritis,7607,4728,20308,18819,1489
buritizeiro,9800,5962,25478,23682,1796
cabeceira grande,2171,1468,6191,5829,362
cabo verde,5304,3509,12880,12336,544
cachoeira da prata,1686,932,3341,3214,126
cachoeira de minas,4227,2587,10716,10035,681
cachoeira de pajeu,3253,1942,9376,8876,500
cachoeira dourada,903,598,2820,2644,176
caetanopolis,3542,2042,7768,7508,260
caete,15564,8895,34804,32748,2056
caiana,1690,1052,4229,4094,134
cajuri,1688,989,4627,4275,351
caldas,5219,3427,12152,11651,501
camacho,1398,784,3556,3325,231
camanducaia,7986,5105,16663,16067,595
cambui,9426,6126,19497,18510,987
cambuquira,5227,3317,11943,11290,653
campanario,1326,795,3608,3493,115
campanha,5796,3526,13088,12532,556
campestre,7959,5141,17410,16474,936
campina verde,7870,5330,18495,17196,1299
campo azul,1344,788,4109,3784,325
campo belo,21141,13323,43182,41237,1945
campo do meio,4516,2872,10374,9924,449
campo florido,2053,1385,4472,4138,334
campos altos,5166,3351,12295,11735,560
campos gerais,10231,6522,25441,24193,1248
cana verde,2332,1522,5697,5398,298
canaa,1908,1234,5426,5162,264
canapolis,4240,2861,9533,9221,312
candeias,5918,3774,13230,12554,675
cantagalo,1555,846,4661,4319,342
caparao,1890,1195,4843,4556,286
capela nova,2088,1224,5399,5177,221
capelinha,11958,6894,31452,29926,1527
capetinga,2882,1903,6890,6540,350
capim branco,3182,1998,7216,6662,554
capinopolis,5902,4001,13846,13428,418
capitao andrade,1753,1102,5659,5158,501
capitao eneas,4941,2992,13985,13320,665
capitolio,3120,1958,6501,6251,250
caputira,3463,2080,8938,8422,516
carai,7949,4603,25220,23325,1895
caranaiba,1372,765,3587,3406,180
carandai,8644,5138,19233,18273,959
carangola,13584,8635,30026,28514,1511
caratinga,32517,19138,77561,73288,4273
carbonita,3389,2052,9405,8948,457
careacu,2294,1491,5733,5600,134
carlos chagas,8847,5557,24721,22979,1742
carmesia,896,496,2558,2490,68
carmo da cachoeira,4414,2822,10521,9977,544
carmo da mata,4314,2645,10024,9542,483
carmo de minas,4890,2895,11337,10538,799
