city,total
abadia dos dourados,2899
abaete,9269
abre campo,5547
acaiaca,1374
acucena,4208
agua boa,6009
agua comprida,922
aguanil,1662
aguas formosas,6461
aguas vermelhas,4338
aimores,10725
aiuruoca,2599
alagoa,1115
albertina,1326
alem paraiba,14020
alfenas,27960
alfredo vasconcelos,2250
almenara,12660
alpercata,2770
alpinopolis,7254
alterosa,5647
alto caparao,2212
alto jequitiba,3796
alto rio doce,5108
alvarenga,2117
alvinopolis,5885
alvorada de minas,1189
amparo do serra,2045
andradas,14971
andrelandia,4845
angelandia,2463
antonio carlos,4412
antonio dias,3702
antonio prado de minas,854
aracai,815
aracitaba,995
aracuai,11958
araguari,42422
arantina,1131
araponga,3073
arapora,2398
arapua,1322
araujos,2623
araxa,32108
arceburgo,3491
arcos,13758
areado,5077
argirita,1317
aricanduva,1557
arinos,6531
astolfo dutra,5160
ataleia,5945
augusto de lima,1975
baependi,6680
baldim,2820
bambui,9337
bandeira,2273
bandeira do sul,2168
barao de cocais,8758
barao de monte alto,2480
barbacena,44591
barra longa,2812
barroso,7342
bela vista de minas,3653
belmiro braga,1431
belo horizonte,824411
belo oriente,7548
belo vale,3210
berilo,3880
berizal,1412
bertopolis,1651
betim,120342
bias fortes,1689
bicas,5308
biquinhas,1238
boa esperanca,14532
bocaina de minas,2058
bocaiuva,15057
bom despacho,15989
bom jardim de minas,2821
bom jesus da penha,1626
bom jesus do amparo,1787
bom jesus do galho,6387
bom repouso,4970
bom sucesso,6531
bonfim,2845
bonfinopolis de minas,2320
bonito de minas,2673
borda da mata,6502
botelhos,6729
botumirim,2130
bras pires,1855
brasilandia de minas,4064
brasilia de minas,10531
brasopolis,5851
braunas,2124
brumadinho,10771
bueno brandao,4782
buenopolis,3533
bugre,1674
buritis,7663
buritizeiro,8950
cabeceira grande,2413
cabo verde,6100
cachoeira da prata,1379
cachoeira de minas,4406
cachoeira de pajeu,2935
cachoeira dourada,1005
caetanopolis,3170
caete,13759
caiana,1890
cajuri,1500
caldas,5731
camacho,1411
camanducaia,8901
cambui,10236
cambuquira,4889
campanario,1264
campanha,5603
campestre,9258
campina verde,8592
campo azul,1279
campo belo,20679
campo do meio,4635
campo florido,2538
campos altos,5319
campos gerais,10698
cana verde,2440
canaa,2021
canapolis,4782
candeias,6484
cantagalo,1310
caparao,2024
capela nova,1852
capelinha,10237
capetinga,3353
capim branco,3059
capinopolis,6425
capitao andrade,1722
capitao eneas,4609
capitolio,3417
caputira,3587
carai,7002
caranaiba,1321
carandai,8336
carangola,13136
caratinga,31417
carbonita,2991
careacu,2584
carlos chagas,8524
carmesia,872
carmo da cachoeira,4501
carmo da mata,4137
carmo de minas,4979
carmo do cajuru,7226
carmo do paranaiba,12315
carmo do rio claro,8196
carmopolis de minas,5580
carneirinho,4216
carrancas,1373
carvalhopolis,1413
carvalhos,1889
casa grande,960
cascalho rico,1270
cassia,7228
cataguases,27201
catas altas,1643
catas altas da noruega,1107
catuji,2324
catuti,1937
caxambu,8734
cedro do abaete,523
central de minas,2731
centralina,4310
chacara,977
chale,2437
chapada do norte,4675
chapada gaucha,2466
chiador,1203
cipotanea,2394
claraval,1861
claro dos pocoes,2742
claudio,8635
coimbra,2858
coluna,2980
comendador gomes,1403
comercinho,3935
conceicao da aparecida,4103
conceicao da barra de minas,1625
conceicao das alagoas,7745
conceicao das pedras,1170
conceicao de ipanema,1980
conceicao do mato dentro,5860
conceicao do para,1845
conceicao do rio verde,4594
conceicao dos ouros,3823
conego marinho,2186
confins,1883
congonhal,4006
congonhas,15922
congonhas do norte,1632
conquista,2553
conselheiro lafaiete,40515
conselheiro pena,8872
consolacao,727
contagem,207888
coqueiral,4018
coracao de jesus,8500
cordisburgo,3038
cordislandia,1355
corinto,8738
coroaci,3804
coromandel,11933
coronel fabriciano,38367
coronel murta,3151
coronel pacheco,1223
coronel xavier chaves,1267
corrego danta,1554
corrego do bom jesus,1878
corrego fundo,2321
corrego novo,1532
couto de magalhaes de minas,1211
crisolita,2049
cristais,4179
cristalia,1627
cristiano otoni,1990
cristina,3960
crucilandia,1730
cruzeiro da fortaleza,1593
cruzilia,5441
cuparaque,1718
curral de dentro,2234
curvelo,24644
datas,1686
delfim moreira,3402
delfinopolis,2778
delta,2158
descoberto,1862
desterro de entre rios,2932
desterro do melo,1204
diamantina,14048
diogo de vasconcelos,1511
dionisio,3745
divinesia,1197
divino,7812
divino das laranjeiras,2039
divinolandia de minas,2289
divinopolis,74507
divisa alegre,1778
divisa nova,2344
divisopolis,2529
dom bosco,1540
dom cavati,2216
dom joaquim,1549
dom silverio,1915
dom vicoso,1452
dona eusebia,2375
dores de campos,3660
dores de guanhaes,2015
dores do indaia,5924
dores do turvo,2083
doresopolis,541
douradoquara,868
durande,2810
eloi mendes,9598
engenheiro caldas,3657
engenheiro navarro,2322
entre folhas,1936
entre rios de minas,5071
ervalia,6841
esmeraldas,18701
espera feliz,8892
espinosa,11092
espirito santo do dourado,1957
estiva,4524
estrela dalva,1012
estrela do indaia,1655
estrela do sul,2857
eugenopolis,4396
ewbank da camara,1480
extrema,8572
fama,1013
faria lemos,1518
felicio dos santos,1951
felisburgo,2347
felixlandia,4896
fernandes tourinho,1045
ferros,4772
fervedouro,3987
florestal,2242
formiga,26706
formoso,2379
fortaleza de minas,1720
fortuna de minas,845
francisco badaro,3368
francisco dumont,1565
francisco sa,8376
franciscopolis,2247
frei gaspar,2074
frei inocencio,2832
frei lagonegro,1099
fronteira,3924
fronteira dos vales,1624
fruta de leite,2281
frutal,20222
funilandia,1230
galileia,2734
gameleiras,1953
glaucilandia,936
goiabeira,1193
goiana,1399
goncalves,1764
gonzaga,1923
gouveia,3941
governador valadares,93780
grao mogol,4521
grupiara,614
guanhaes,9925
guape,5722
guaraciaba,3802
guaraciama,1727
guaranesia,8030
guarani,3408
guarara,1759
guarda-mor,2784
guaxupe,19350
guidoval,3329
guimarania,2677
guiricema,4291
gurinhata,3432
heliodora,2428
iapu,4075
ibertioga,2116
ibia,8538
ibiai,2475
ibiracatu,2288
