city,total,has_children,children_born,children_borned_live,children_borned_dead
abaetetuba,42958,25272,117437,111692,5746
abel figueiredo,2135,1338,6082,5820,262
acara,17591,10322,44920,43120,1800
afua,9071,5397,29262,27898,1363
agua azul do norte,7619,4530,18218,16960,1258
alenquer,14487,8523,47824,45382,2443
almeirim,11378,6951,30643,28820,1824
altamira,29013,17877,73424,69229,4195
anajas,5627,3237,17252,16371,881
ananindeua,161366,99126,328993,314649,14344
anapu,3118,1754,9389,8541,848
augusto correa,10876,6493,34844,33026,1818
aurora do para,6493,3877,19678,18701,977
aveiro,4984,2998,15555,14725,830
bagre,4110,2521,13939,13036,903
baiao,7152,4399,22874,21491,1384
bannach,1291,827,3511,3241,270
barcarena,22963,14150,59065,56174,2891
belem,553991,327551,1088151,1042149,46002
belterra,4907,3164,16199,15449,750
benevides,13362,8367,33212,32102,1110
bom jesus do tocantins,4640,2871,13335,12421,914
bonito,3329,2003,10604,9927,677
braganca,34130,20631,100505,95728,4777
brasil novo,5830,3613,16079,15097,982
brejo grande do araguaia,2635,1624,7855,7303,552
breu branco,10459,6541,30037,28710,1327
breves,26124,15319,80502,76219,4283
bujaru,7785,4427,22233,20418,1815
cachoeira do arari,5441,3387,17439,16378,1061
cachoeira do piria,4844,3010,15528,14279,1249
cameta,33752,19567,104115,99986,4129
canaa dos carajas,3746,2281,10274,9421,853
capanema,22629,13553,58099,55284,2815
capitao poco,17484,10349,54016,51244,2772
castanhal,53654,32582,124868,119185,5683
chaves,5379,3253,16066,15425,640
colares,3803,2216,11706,10800,906
conceicao do araguaia,16142,10380,44803,41980,2823
concordia do para,7303,4383,21510,20274,1236
cumaru do norte,1839,1215,4662,4262,401
curionopolis,6637,4226,19854,17696,2158
curralinho,6089,3600,20968,19913,1055
curua,2875,1830,11003,10386,616
curuca,9329,5913,30212,28854,1358
dom eliseu,14019,8690,38032,35720,2312
eldorado dos carajas,9782,6157,29659,27461,2198
faro,3287,1888,9576,8884,692
floresta do araguaia,4821,3023,13954,12865,1089
garrafao do norte,7657,4695,27222,25319,1903
goianesia do para,7754,4755,21374,19640,1735
gurupa,7203,4179,22567,21501,1066
igarape-acu,11872,7268,34148,31779,2369
igarape-miri,18471,11089,53477,50719,2757
inhangapi,2682,1617,8320,7641,679
ipixuna do para,8106,4732,22194,20961,1233
irituia,11177,6626,35336,32963,2372
itaituba,33969,20607,89100,83141,5958
itupiranga,16620,10143,50247,46729,3517
jacareacanga,7013,3966,14375,13462,913
jacunda,14734,9372,38435,36649,1785
juruti,9920,5737,34007,32381,1626
limoeiro do ajuru,6278,3637,20331,19255,1076
mae do rio,9527,5593,25146,23876,1270
magalhaes barata,2840,1664,8762,8234,528
maraba,62764,37811,157410,146933,10477
maracana,9229,5766,30298,28409,1888
marapanim,8527,5498,28119,26365,1754
marituba,28588,18040,64871,61866,3005
medicilandia,7094,4350,20697,19075,1622
melgaco,6410,3468,17676,17238,438
mocajuba,7233,4228,21918,20103,1816
moju,17460,10156,49466,47179,2287
monte alegre,20811,13085,67526,64203,3324
muana,8627,5125,24854,23921,933
nova esperanca do piria,5746,3442,18298,17331,967
nova ipixuna,3921,2528,11496,10594,902
nova timboteua,4273,2705,11338,11019,319
novo progresso,7674,4049,11924,10967,957
novo repartimento,13772,8209,40710,37645,3064
obidos,16357,10104,49951,47608,2343
oeiras do para,7334,4421,22413,21379,1034
oriximina,17081,10369,47836,45274,2562
ourem,5107,3106,16377,15133,1244
ourilandia do norte,7015,4291,17703,16315,1388
pacaja,9566,5520,28994,27217,1777
palestina do para,2566,1598,7893,7130,762
