city,total,married,separated,divorced,widow,single
agua branca,6287,2387,37,4,307,3552
aguiar,4492,1588,8,43,168,2685
alagoa grande,22749,7715,201,71,1110,13651
alagoa nova,14611,5503,201,81,659,8166
alagoinha,9106,2753,81,42,439,5791
alcantil,3820,1188,26,15,143,2448
algodao de jandaira,1706,476,19,0,68,1143
alhandra,12115,2718,34,95,494,8773
amparo,1516,521,27,0,91,876
aparecida,4848,2302,3,21,159,2363
aracagi,14218,4563,60,30,617,8948
arara,9245,2840,42,19,307,6037
araruna,12647,4080,142,85,464,7876
areia,20455,6215,234,65,687,13254
areia de baraunas,1640,546,22,21,70,981
areial,4842,1718,33,22,143,2927
aroeiras,14878,5812,82,59,735,8190
assuncao,2326,874,27,9,99,1317
baia da traicao,4863,877,34,31,150,3771
bananeiras,17121,5561,132,101,696,10631
barauna,2517,785,16,71,78,1567
barra de santa rosa,10336,3015,139,53,348,6781
barra de santana,6453,2598,51,24,199,3581
barra de sao miguel,4050,1450,96,23,191,2290
bayeux,69495,23042,843,1288,3153,41168
belem,13273,4716,97,91,728,7641
belem do brejo do cruz,5619,1325,11,7,165,4111
bernardino batista,1901,565,20,0,46,1269
boa ventura,5194,1904,32,30,157,3071
boa vista,4044,1669,89,14,165,2108
bom jesus,1744,660,9,0,55,1020
bom sucesso,4340,1426,46,3,131,2734
bonito de santa fe,7172,1831,51,50,235,5004
boqueirao,12493,4514,190,104,646,7039
borborema,3663,1093,13,18,162,2377
brejo do cruz,9472,2270,27,43,224,6907
brejo dos santos,4810,1791,5,27,123,2864
caapora,13950,3554,92,106,484,9714
cabaceiras,3492,1367,14,24,122,1964
cabedelo,34451,10968,572,739,1387,20785
cachoeira dos indios,6140,2249,30,10,202,3649
cacimba de areia,2884,1154,13,13,119,1585
cacimba de dentro,12980,4307,137,99,543,7895
cacimbas,5108,1168,29,0,93,3819
caicara,5767,1635,15,47,249,3821
cajazeiras,44475,16295,611,445,2271,24853
cajazeirinhas,2297,866,21,12,80,1318
caldas brandao,3978,984,34,9,92,2858
camalau,4380,1572,28,15,162,2603
campina grande,287396,108707,5121,5373,14571,153624
campo de santana,7461,2097,41,17,189,5117
capim,3147,728,31,0,107,2281
caraubas,2712,1165,38,0,150,1359
carrapateira,1525,905,3,4,36,577
casserengue,5058,1488,17,15,171,3367
catingueira,3832,1218,12,7,92,2503
catole do rocha,21751,7517,262,71,607,13295
caturite,3316,1500,11,20,113,1672
conceicao,14322,5132,107,92,619,8373
condado,5328,2022,29,16,199,3063
conde,12415,2681,105,142,341,9146
congo,3680,1266,16,12,150,2237
coremas,12144,4714,113,66,493,6757
coxixola,1209,435,0,0,34,740
cruz do espirito santo,10754,2856,77,58,367,7396
cubati,5073,1647,32,22,165,3206
cuite,16155,5831,147,227,790,9159
cuite de mamanguape,4813,1923,8,11,127,2744
cuitegi,5518,1309,16,2,168,4023
curral de cima,4059,1493,38,5,230,2294
curral velho,1965,768,27,9,73,1088
damiao,2784,746,2,14,24,1998
desterro,5989,1808,22,24,228,3906
diamante,5394,1777,21,4,145,3446
dona ines,7803,2557,62,36,257,4891
duas estradas,3020,871,11,8,150,1979
emas,2379,903,3,6,79,1387
esperanca,22650,8599,215,282,1020,12534
fagundes,9178,3022,75,45,411,5625
frei martinho,2448,913,17,14,140,1364
gado bravo,6471,2548,34,22,298,3568
guarabira,41350,14776,537,404,2306,23327
gurinhem,10304,2958,44,44,209,7049
gurjao,2263,941,15,6,150,1151
ibiara,5079,2019,17,0,214,2828
igaracy,5027,1823,14,11,137,3042
imaculada,8732,2139,27,22,213,6330
inga,13640,4840,176,82,600,7942
itabaiana,20406,5678,162,173,906,13487
itaporanga,16947,6716,215,200,668,9148
itapororoca,11519,3704,121,75,390,7229
itatuba,7308,2034,29,61,205,4979
jacarau,10971,3099,84,75,356,7357
jerico,5887,1825,22,25,300,3714
joao pessoa,491758,169242,8734,12351,20922,280509
juarez tavora,5557,1629,9,12,136,3771
juazeirinho,11544,4141,125,121,430,6727
junco do serido,4760,1975,30,36,165,2554
juripiranga,7522,1792,56,29,273,5372
juru,7712,3480,21,11,263,3936
lagoa,3913,1298,3,6,53,2553
lagoa de dentro,5530,1712,41,19,191,3566
lagoa seca,19059,7845,212,163,940,9899
lastro,2584,1161,5,0,57,1362
livramento,5956,2047,72,21,199,3617
logradouro,2625,903,27,18,56,1621
lucena,7492,1477,58,49,232,5677
mae d'agua,2762,932,26,5,118,1681
malta,4574,1739,41,13,282,2500
mamanguape,29997,8594,395,199,1215,19594
manaira,7983,2841,69,0,258,4815
marcacao,4625,1096,34,9,141,3344
mari,16603,4125,232,88,666,11492
marizopolis,4630,2087,19,46,339,2138
massaranduba,9122,3307,82,51,388,5294
mataraca,4126,1031,24,19,118,2934
matinhas,3137,1235,11,30,150,1711
mato grosso,1905,670,0,0,49,1186
matureia,3882,1486,19,14,135,2227
mogeiro,10226,3092,63,25,284,6761
montadas,3180,1226,15,4,109,1825
monte horebe,3236,914,36,18,173,2094
monteiro,22320,9052,270,172,1268,11558
mulungu,7493,2617,66,33,420,4357
natuba,8063,1877,11,32,225,5917
nazarezinho,5870,2925,18,6,256,2664
nova floresta,7398,2477,78,15,399,4430
nova olinda,4943,1974,51,36,194,2687
nova palmeira,2934,977,29,14,144,1771
olho d'agua,6118,2413,23,31,220,3431
olivedos,2565,998,8,11,83,1465
