city,total,has_children,children_born,children_borned_live,children_borned_dead
abatia,3319,2138,9180,8616,563
adrianopolis,2716,1740,8164,7448,717
agudos do sul,2666,1756,7247,6935,312
almirante tamandare,33892,22165,77346,72411,4935
altamira do parana,2669,1702,7121,6911,210
alto parana,5123,3558,13012,12500,512
alto piquiri,4370,2875,11919,11361,558
altonia,8038,5285,19823,18960,862
alvorada do sul,3792,2555,9474,9009,466
amapora,1810,1221,4703,4444,259
ampere,6298,4235,16059,15224,835
anahy,1196,799,3157,3047,110
andira,9026,6063,20535,19662,873
angulo,1148,802,3009,2895,114
antonina,7588,4947,18896,17850,1046
antonio olinto,2812,1727,7631,7259,372
apucarana,45842,29678,98895,94626,4270
arapongas,36165,23465,73615,70709,2906
arapoti,9172,6140,21428,20014,1414
arapua,1625,1090,5041,4820,221
araruna,5174,3539,12534,12073,461
araucaria,37078,23934,76150,72429,3720
ariranha do ivai,1122,718,2796,2687,109
assai,7649,4947,19389,18227,1162
assis chateaubriand,14287,9386,35607,34691,916
astorga,10049,6749,23062,21963,1099
atalaia,1627,1169,4507,4226,281
balsa nova,3996,2616,8638,7985,652
bandeirantes,14027,9152,34197,32504,1694
barbosa ferraz,5800,3669,15945,15262,682
barra do jacare,1117,754,2788,2743,45
barracao,3732,2358,8999,8683,316
bela vista da caroba,1683,1160,4945,4857,88
bela vista do paraiso,6320,4143,14937,14212,725
bituruna,6041,3923,15598,14803,795
boa esperanca,2151,1372,4992,4755,236
boa esperanca do iguacu,1171,766,3104,2973,131
boa ventura de sao roque,2438,1442,6043,5778,265
boa vista da aparecida,3280,2264,9518,9079,439
bocaiuva do sul,3373,2205,8981,8336,645
bom jesus do sul,1600,1002,4789,4499,290
bom sucesso,2510,1661,6921,6502,418
bom sucesso do sul,1377,906,3602,3526,76
borrazopolis,3914,2675,10640,10193,447
braganey,2438,1591,6688,6534,154
brasilandia do sul,1558,1024,4349,4201,148
cafeara,1001,666,2956,2785,171
cafelandia,4449,2863,9574,9319,255
cafezal do sul,1851,1317,5735,5292,442
california,3159,2052,7291,6811,480
cambara,9747,6489,21428,20704,725
cambe,36726,24009,78804,75175,3629
cambira,2743,1767,6453,6188,265
campina da lagoa,7169,4617,19153,17878,1275
campina do simao,1559,1028,4292,4106,186
campina grande do sul,13276,8567,27916,26420,1495
campo bonito,1894,1264,5235,4819,416
campo do tenente,2309,1457,6062,5759,304
campo largo,37453,23830,76978,73047,3931
campo magro,7831,5002,17440,16502,937
campo mourao,34157,22145,77383,74295,3089
candido de abreu,6860,4448,18977,17765,1212
candoi,5237,3418,13463,12605,858
cantagalo,4824,3161,13829,13135,694
capanema,7540,5001,18803,18120,683
capitao leonidas marques,5737,3827,15007,14450,557
carambei,5665,3655,12718,11863,855
carlopolis,5332,3436,13221,12677,544
cascavel,101548,64645,212824,203984,8839
castro,24755,15886,58417,55018,3399
catanduvas,4034,2619,10620,10036,583
centenario do sul,4859,3318,12707,12022,685
cerro azul,6008,3761,16553,15389,1164
ceu azul,4389,2892,9746,9282,464
chopinzinho,8170,5185,18634,18081,553
cianorte,24320,15817,52483,49953,2530
cidade gaucha,3822,2583,9742,9356,386
clevelandia,7340,4854,17430,16689,742
colombo,72214,46965,153306,144955,8351
colorado,8877,5968,19354,18659,695
congonhinhas,3080,2077,8867,8271,596
conselheiro mairinck,1342,912,3748,3649,99
contenda,5263,3235,11567,10847,719
corbelia,6514,4333,15619,15053,566
cornelio procopio,20356,13207,43551,42014,1537
coronel domingos soares,2422,1528,6426,6202,224
coronel vivida,9486,6286,24215,23377,838
corumbatai do sul,1855,1226,5401,5091,310
cruz machado,6566,3970,16646,16039,608
cruzeiro do iguacu,1720,1153,5051,4806,245
cruzeiro do oeste,8550,5739,22513,21362,1151
cruzeiro do sul,1930,1295,4954,4669,285
cruzmaltina,1362,899,3863,3551,312
curitiba,699706,427461,1225281,1171460,53821
curiuva,4947,3252,13630,12601,1029
diamante do norte,2508,1663,6391,6004,387
diamante do sul,1289,833,4165,3928,237
diamante d'oeste,1895,1253,5485,5179,306
dois vizinhos,13016,8547,31781,30649,1132
douradina,2542,1706,6279,5941,339
doutor camargo,2507,1680,5855,5723,131
doutor ulysses,2081,1352,6261,6039,222
eneas marques,2549,1687,6699,6550,150
engenheiro beltrao,5824,3899,13746,12952,794
entre rios do oeste,1410,928,3088,3046,42
esperanca nova,999,660,2751,2616,135
espigao alto do iguacu,2020,1326,6008,5799,210
farol,1521,993,4259,3985,274
faxinal,6398,4189,15945,15074,871
fazenda rio grande,23782,15797,50368,47614,2754
fenix,2022,1359,5604,5261,342
fernandes pinheiro,2315,1403,6509,6199,310
figueira,3552,2450,9775,9140,636
flor da serra do sul,1921,1256,5130,4932,198
florai,2260,1530,5446,5214,233
floresta,2127,1431,5031,4739,292
florestopolis,4836,3268,13235,12325,910
florida,999,666,2419,2329,90
formosa do oeste,3722,2458,9282,8936,346
foz do iguacu,103141,65496,212864,204001,8864
foz do jordao,2336,1506,6807,6417,390
francisco alves,2854,1916,8226,7897,329
francisco beltrao,27925,18469,63829,61369,2460
general carneiro,5017,3350,12684,12144,540
godoy moreira,1512,1012,4682,4124,558
goioere,12569,8218,30558,28903,1655
goioxim,2852,1724,7821,7372,449
grandes rios,3024,1966,7857,7427,430
guaira,11867,7681,27211,26114,1098
guairaca,2373,1588,6228,5929,299
guamiranga,2642,1712,7287,6951,335
guapirama,1611,1052,4233,3900,333
guaporema,878,639,2439,2329,110
guaraci,2003,1376,5097,4775,323
guaraniacu,6665,4479,18364,17795,569
guarapuava,62705,40927,139549,131295,8253
guaraquecaba,2944,2001,9238,8687,551
guaratuba,10476,7043,24842,23620,1223
honorio serpa,2462,1614,6568,6316,252
ibaiti,10598,7134,28268,26909,1359
ibema,2219,1490,6061,5744,317
ibipora,17745,11553,40717,38657,2060
icaraima,4056,2788,10871,10178,693
iguaracu,1473,996,3559,3395,164
iguatu,894,572,2655,2426,229
imbau,3542,2330,9882,9324,558
imbituva,9409,6112,21487,20567,920
inacio martins,3925,2537,10491,9881,610
inaja,1162,785,3096,3004,92
indianopolis,1775,1166,4307,4118,189
ipiranga,4956,3025,12521,11931,590
ipora,6839,4474,17696,16759,937
iracema do oeste,1178,812,3299,3070,230
irati,21602,13731,47888,45217,2671
iretama,4451,2865,13184,12497,687
itaguaje,1964,1276,5292,4814,478
itaipulandia,2657,1724,6361,6211,150
itambaraca,2850,1898,7537,7220,317
itambe,2534,1702,6399,6012,388
itapejara d'oeste,3738,2499,9563,9088,475
itaperucu,7207,4806,16602,14793,1809
itauna do sul,1755,1170,5402,4943,459
ivai,4442,2678,11482,10985,498
ivaipora,13561,8943,35127,33323,1804
ivate,2799,1859,6987,6695,292
ivatuba,1222,748,2477,2395,81
jaboti,1851,1229,5259,5088,171
jacarezinho,16558,10617,38286,36513,1774
jaguapita,4542,3026,10938,10526,412
jaguariaiva,12232,7802,26378,25149,1229
jandaia do sul,8484,5573,19698,18876,822
janiopolis,3280,2183,9468,9031,437
japira,1928,1260,5074,4808,266
japura,3250,2175,7807,7479,328
jardim alegre,5433,3577,14878,14055,823
jardim olinda,623,394,1552,1440,112
jataizinho,4535,3063,11751,11185,566
jesuitas,4079,2776,10459,10011,449
joaquim tavora,4092,2660,9676,9191,485
jundiai do sul,1444,947,3848,3710,138
juranda,3240,2132,7794,7196,598
jussara,2547,1720,6557,6039,518
kalore,2064,1379,5733,5453,280
lapa,16732,10549,39091,37048,2043
laranjal,2486,1580,7359,7054,305
laranjeiras do sul,12061,7979,30776,28750,2026
leopolis,1790,1162,4150,3964,186
lidianopolis,1965,1296,5054,4827,227
lindoeste,2300,1508,6717,6476,241
loanda,8247,5533,20717,19613,1104
lobato,1672,1113,3932,3651,281
londrina,194057,122114,390710,374109,16601
luiziana,2889,1881,7911,7618,293
lunardelli,2257,1484,6463,6019,444
lupionopolis,1814,1190,4511,4423,88
mallet,4936,3050,12177,11560,617
mambore,6119,4134,15084,14208,875
mandaguacu,6907,4547,16005,15446,559
mandaguari,13258,9029,29158,27901,1257
mandirituba,6686,4247,16871,15980,891
manfrinopolis,1393,863,4498,4277,221
mangueirinha,6702,4396,17662,16781,881
manoel ribas,5153,3378,14407,13660,747
marechal candido rondon,17303,11382,37349,36454,895
maria helena,2592,1744,7047,6867,180
marialva,12066,7713,25858,24584,1274
marilandia do sul,3665,2414,9634,9099,534
marilena,2615,1684,7069,6851,218
mariluz,4061,2734,11954,11157,797
maringa,127946,80148,246274,236693,9581
mariopolis,2505,1676,5910,5680,229
maripa,2488,1628,5498,5402,95
marmeleiro,5398,3589,14036,13698,338
marquinho,2045,1279,5852,5593,258
marumbi,1868,1310,5115,4802,313
matelandia,5917,3786,14519,14030,489
matinhos,9487,6440,21998,20498,1500
mato rico,1659,1058,4829,4513,316
maua da serra,2444,1608,6441,6179,262
medianeira,15743,10339,34928,33889,1039
mercedes,1902,1321,4852,4729,123
mirador,983,639,2681,2559,123
miraselva,830,549,2012,1882,130
missal,4275,2895,10798,10429,369
moreira sales,5484,3750,14514,13793,721
morretes,5884,3903,14307,13560,746
munhoz de melo,1336,912,3505,3449,56
nossa senhora das gracas,1511,1038,4169,4008,161
nova alianca do ivai,498,340,1426,1413,12
nova america da colina,1434,882,3470,3336,133
nova aurora,5657,3737,13981,13435,546
nova cantu,3753,2430,10214,9766,448
nova esperanca,10856,7313,25259,24399,860
nova esperanca do sudoeste,1983,1334,5817,5643,174
nova fatima,3380,2236,9060,8425,635
nova laranjeiras,4397,2838,13303,12462,841
nova londrina,5356,3617,14080,13273,807
nova olimpia,2198,1497,6047,5857,190
nova prata do iguacu,4151,2746,11078,10598,480
nova santa barbara,1435,1022,4162,4032,130
nova santa rosa,3000,2000,6471,6265,205
nova tebas,3596,2255,10790,9970,820
novo itacolomi,1121,747,3068,2915,153
ortigueira,9384,6030,25353,23600,1753
ourizona,1448,962,3474,3254,220
ouro verde do oeste,2154,1395,5612,5335,277
paicandu,12481,8343,28257,26871,1386
palmas,13469,8840,32808,30795,2014
palmeira,12225,7745,28938,27103,1835
palmital,6539,4027,17735,16886,849
palotina,10881,6929,24758,23908,850
paraiso do norte,4013,2666,9742,9342,400
paranacity,3673,2472,9212,8857,355
paranagua,50603,33560,113669,106709,6960
paranapoema,930,614,2463,2371,92
paranavai,32797,21170,73253,69995,3258
pato bragado,1748,1183,4181,4050,132
pato branco,26458,17108,54381,52450,1931
paula freitas,1980,1288,4804,4590,214
paulo frontin,2497,1544,6243,5982,260
peabiru,5560,3717,13614,13141,473
perobal,2174,1474,5878,5589,289
perola,4032,2708,10661,10202,459
perola d'oeste,2969,1976,7647,7419,227
pien,3814,2416,9095,8786,309
pinhais,42218,26996,84897,80650,4247
pinhal de sao bento,963,652,2934,2731,203
pinhalao,2481,1570,6610,6351,258
pinhao,10480,6755,26027,24050,1977
pirai do sul,8765,5789,21205,20074,1130
piraquara,26968,17847,61097,57839,3258
pitanga,13981,8923,37582,35678,1904
pitangueiras,957,658,2366,2236,130
planaltina do parana,1584,1051,4053,3813,240
planalto,5734,3900,14773,14244,529
ponta grossa,114094,73334,239432,227460,11972
pontal do parana,5511,3815,12375,11753,622
porecatu,6647,4398,16195,14929,1265
porto amazonas,1682,1050,3905,3670,235
porto barreiro,1518,962,4304,4039,265
porto rico,998,674,3067,2861,205
porto vitoria,1525,1017,3937,3659,278
prado ferreira,1242,817,3048,2855,193
pranchita,2537,1679,6164,6004,160
presidente castelo branco,1689,1148,4265,4023,242
primeiro de maio,4508,3059,10640,10069,572
prudentopolis,18165,10697,43400,41467,1933
quarto centenario,2140,1389,5725,5463,263
quatigua,2867,1900,5946,5670,276
quatro barras,6372,4150,13306,12623,683
quatro pontes,1551,1015,3585,3506,80
quedas do iguacu,10368,7012,27735,26633,1102
querencia do norte,4350,2911,11961,11417,544
quinta do sol,2247,1517,5964,5622,342
quitandinha,5812,3776,15779,15223,556
ramilandia,1404,917,4484,4272,212
rancho alegre,1760,1204,4258,4074,185
rancho alegre d'oeste,1251,799,3437,3223,214
realeza,6639,4322,17027,16413,614
reboucas,5247,3456,13371,12479,892
renascenca,2735,1865,7136,6971,165
reserva,8952,5627,24926,23072,1854
reserva do iguacu,2324,1504,6154,5725,429
ribeirao claro,4461,2957,10858,10219,638
ribeirao do pinhal,5748,3679,15573,14740,832
rio azul,4926,3031,12577,11962,614
rio bom,1451,961,3816,3578,239
rio bonito do iguacu,4631,3014,13308,12615,693
rio branco do ivai,1449,914,4659,4166,493
rio branco do sul,10892,7192,28477,26415,2062
rio negro,11749,7269,25829,24500,1329
rolandia,20929,13628,45916,43773,2143
roncador,5385,3386,13989,13399,591
rondon,3408,2304,8494,8103,392
rosario do ivai,2594,1673,7758,7219,540
sabaudia,2187,1470,5288,4928,360
salgado filho,1993,1339,5629,5450,179
salto do itarare,2247,1504,6089,5714,375
salto do lontra,5078,3418,14917,14160,756
santa amelia,1762,1156,4808,4589,219
santa cecilia do pavao,1650,1173,4977,4720,257
santa cruz de monte castelo,3514,2316,9130,8689,441
santa fe,3779,2534,8996,8691,305
santa helena,8428,5416,19909,19392,517
santa ines,843,568,2416,2151,266
santa isabel do ivai,3871,2617,9721,9300,421
santa izabel do oeste,4685,3157,13001,12305,695
santa lucia,1645,1155,4999,4868,131
santa maria do oeste,5040,3069,13750,13193,558
santa mariana,5613,3839,14702,13579,1123
santa monica,1282,868,3789,3561,228
santa tereza do oeste,4225,2775,10038,9650,388
santa terezinha de itaipu,7445,4865,17309,16320,989
santana do itarare,2177,1492,6465,5952,513
santo antonio da platina,16765,10954,39725,37418,2307
santo antonio do caiua,1200,833,3538,3254,285
santo antonio do paraiso,1103,758,2927,2688,240
