city,total,married,separated,divorced,widow,single
abatia,6669,2866,105,118,474,3106
adrianopolis,5500,1992,54,55,347,3052
agudos do sul,5630,2560,71,35,264,2700
almirante tamandare,67535,27242,997,1345,2677,35274
altamira do parana,5566,2280,79,17,254,2937
alto parana,10351,5216,219,133,551,4231
alto piquiri,8715,3605,96,106,512,4397
altonia,16110,8505,399,114,825,6266
alvorada do sul,7557,3744,105,91,474,3144
amapora,3711,1587,89,40,185,1811
ampere,12407,5911,107,127,560,5702
anahy,2437,1218,7,8,189,1015
andira,17737,8735,245,459,1109,7189
angulo,2369,1131,21,29,132,1056
antonina,15279,5328,314,399,847,8391
antonio olinto,6020,2492,26,22,306,3174
apucarana,88998,41247,2107,1790,4694,39160
arapongas,71116,34901,1629,1234,3957,29396
arapoti,18547,8495,239,313,822,8678
arapua,3365,1776,19,25,152,1394
araruna,10651,5544,155,133,574,4244
araucaria,74209,33537,2029,1180,2658,34806
ariranha do ivai,2399,1270,14,6,121,988
assai,14920,7217,224,275,706,6498
assis chateaubriand,27864,13814,460,320,1687,11583
astorga,19806,9795,538,320,1055,8098
atalaia,3349,1708,91,11,199,1340
balsa nova,8183,3838,127,111,382,3725
bandeirantes,27614,12174,607,443,1694,12695
barbosa ferraz,11586,5541,211,124,625,5085
barra do jacare,2293,1175,65,8,149,896
barracao,7338,3075,195,110,320,3639
bela vista da caroba,3602,1794,15,12,165,1615
bela vista do paraiso,12396,5970,164,199,841,5222
bituruna,12318,5482,142,29,442,6223
boa esperanca,4334,2193,30,36,186,1888
boa esperanca do iguacu,2469,1250,31,0,78,1109
boa ventura de sao roque,5118,2381,31,60,192,2453
boa vista da aparecida,6712,3060,81,57,337,3177
bocaiuva do sul,7092,2932,110,47,338,3666
bom jesus do sul,3359,1552,32,24,153,1598
bom sucesso,4958,2324,163,73,285,2114
bom sucesso do sul,2772,1446,13,15,136,1162
borrazopolis,7864,4051,91,57,485,3180
braganey,5037,2301,83,28,212,2413
brasilandia do sul,3172,1483,68,5,187,1430
cafeara,2070,948,33,18,143,927
cafelandia,8897,4716,204,47,324,3606
cafezal do sul,3853,1864,86,74,228,1600
california,6340,3146,78,107,295,2714
cambara,18935,8678,465,312,1417,8063
cambe,72323,35557,1764,1609,3085,30308
cambira,5562,2863,61,43,264,2332
campina da lagoa,13770,6587,224,113,670,6177
campina do simao,3345,1541,30,22,96,1657
campina grande do sul,26907,10798,477,521,1056,14056
campo bonito,3925,1782,27,36,160,1921
campo do tenente,4832,2327,39,26,244,2197
campo largo,74617,36725,1412,1298,3604,31578
campo magro,15891,7279,399,354,605,7254
campo mourao,65450,28431,1309,1389,3304,31018
candido de abreu,14558,7122,126,79,658,6572
candoi,10804,4936,130,136,517,5086
cantagalo,9771,4236,117,74,480,4864
capanema,15029,7278,301,200,970,6281
capitao leonidas marques,11637,5651,108,43,444,5391
carambei,11472,4969,187,84,417,5815
