city,total
abatia,3424
adrianopolis,2640
agudos do sul,3120
almirante tamandare,36503
altamira do parana,2952
alto parana,5904
alto piquiri,4646
altonia,9180
alvorada do sul,4112
amapora,2021
ampere,7001
anahy,1321
andira,9965
angulo,1344
antonina,7470
antonio olinto,2996
apucarana,47882
arapongas,39781
arapoti,10392
arapua,1923
araruna,6079
araucaria,41585
ariranha do ivai,1318
assai,8014
assis chateaubriand,15305
astorga,11128
atalaia,1764
balsa nova,4651
bandeirantes,14162
barbosa ferraz,6002
barra do jacare,1191
barracao,3950
bela vista da caroba,2037
bela vista do paraiso,6620
bituruna,6882
boa esperanca,2461
boa esperanca do iguacu,1408
boa ventura de sao roque,2622
boa vista da aparecida,3811
bocaiuva do sul,3791
bom jesus do sul,1784
bom sucesso,2652
bom sucesso do sul,1695
borrazopolis,4416
braganey,2812
brasilandia do sul,1717
cafeara,1087
cafelandia,5409
cafezal do sul,2175
california,3509
cambara,10353
cambe,40084
cambira,3018
campina da lagoa,7612
campina do simao,1989
campina grande do sul,15077
campo bonito,2298
campo do tenente,2538
campo largo,41661
campo magro,8590
campo mourao,34746
candido de abreu,7939
candoi,6005
cantagalo,5386
capanema,8617
capitao leonidas marques,6499
carambei,6542
carlopolis,5865
cascavel,107801
castro,26466
catanduvas,4403
centenario do sul,5103
cerro azul,6665
ceu azul,5130
chopinzinho,9260
cianorte,26898
cidade gaucha,4157
clevelandia,7850
colombo,77575
colorado,9787
congonhinhas,3466
conselheiro mairinck,1569
contenda,5698
corbelia,7201
cornelio procopio,20455
coronel domingos soares,3019
coronel vivida,10292
corumbatai do sul,2123
cruz machado,7190
cruzeiro do iguacu,1982
cruzeiro do oeste,8975
cruzeiro do sul,2167
cruzmaltina,1542
curitiba,667635
curiuva,5877
diamante do norte,2763
diamante do sul,1509
diamante d'oeste,2089
dois vizinhos,14597
douradina,2846
doutor camargo,2928
doutor ulysses,2559
eneas marques,3022
engenheiro beltrao,6789
entre rios do oeste,1656
esperanca nova,1157
espigao alto do iguacu,2331
farol,1744
faxinal,6698
fazenda rio grande,28164
fenix,2219
fernandes pinheiro,2438
figueira,4128
flor da serra do sul,2370
florai,2492
floresta,2373
florestopolis,5381
florida,1106
formosa do oeste,4314
foz do iguacu,106423
foz do jordao,2618
francisco alves,3277
francisco beltrao,30713
general carneiro,5855
godoy moreira,1779
goioere,13002
goioxim,3296
grandes rios,3477
guaira,12378
guairaca,2694
guamiranga,3149
guapirama,1737
guaporema,1041
guaraci,2273
guaraniacu,7476
guarapuava,67023
guaraquecaba,3508
guaratuba,11790
honorio serpa,2952
ibaiti,11471
ibema,2656
ibipora,19011
icaraima,4573
iguaracu,1713
iguatu,1005
imbau,4321
imbituva,11304
inacio martins,4490
inaja,1316
indianopolis,2091
ipiranga,5629
ipora,7383
iracema do oeste,1307
irati,23125
iretama,4790
itaguaje,1950
itaipulandia,3064
itambaraca,3159
itambe,2654
itapejara d'oeste,4252
itaperucu,8581
itauna do sul,1896
ivai,4859
ivaipora,14597
ivate,3315
ivatuba,1178
jaboti,1954
jacarezinho,16078
jaguapita,4863
jaguariaiva,13445
jandaia do sul,8947
janiopolis,3529
japira,2169
japura,3802
jardim alegre,5980
jardim olinda,593
jataizinho,4811
jesuitas,4711
joaquim tavora,4095
jundiai do sul,1609
juranda,3801
jussara,3057
kalore,2424
lapa,17941
laranjal,2787
laranjeiras do sul,12799
leopolis,1978
lidianopolis,2310
lindoeste,2664
loanda,8212
lobato,1898
londrina,191817
luiziana,3299
lunardelli,2627
lupionopolis,2106
mallet,5207
mambore,6828
mandaguacu,7628
mandaguari,14663
mandirituba,7458
manfrinopolis,1599
mangueirinha,7512
manoel ribas,5811
marechal candido rondon,19257
maria helena,2979
marialva,13310
marilandia do sul,4033
marilena,2921
mariluz,4410
maringa,130598
mariopolis,2863
maripa,3000
marmeleiro,6204
marquinho,2282
marumbi,2176
matelandia,6460
matinhos,10379
mato rico,1839
maua da serra,2897
medianeira,17576
mercedes,2373
mirador,1041
miraselva,965
missal,5003
moreira sales,6328
morretes,6286
munhoz de melo,1574
nossa senhora das gracas,1750
nova alianca do ivai,596
nova america da colina,1489
nova aurora,6497
nova cantu,4193
nova esperanca,11616
nova esperanca do sudoeste,2495
nova fatima,3566
nova laranjeiras,5162
nova londrina,5888
nova olimpia,2487
nova prata do iguacu,4653
nova santa barbara,1644
nova santa rosa,3717
nova tebas,3875
novo itacolomi,1313
ortigueira,10717
ourizona,1695
ouro verde do oeste,2438
paicandu,14111
palmas,14395
palmeira,12871
palmital,6849
palotina,12166
paraiso do norte,4395
paranacity,4060
paranagua,52549
paranapoema,981
paranavai,32928
pato bragado,1868
pato branco,28321
paula freitas,2143
paulo frontin,2697
peabiru,5793
perobal,2380
perola,4431
perola d'oeste,3367
pien,4318
pinhais,44101
pinhal de sao bento,1152
pinhalao,2677
pinhao,12226
pirai do sul,9265
piraquara,29678
pitanga,15217
pitangueiras,1150
planaltina do parana,1806
planalto,6584
ponta grossa,116133
pontal do parana,6467
porecatu,6882
porto amazonas,1767
porto barreiro,1786
porto rico,1123
porto vitoria,1806
prado ferreira,1358
pranchita,2924
presidente castelo branco,2026
primeiro de maio,4868
prudentopolis,18094
quarto centenario,2350
quatigua,3367
quatro barras,7301
quatro pontes,1665
quedas do iguacu,11959
querencia do norte,4805
quinta do sol,2604
quitandinha,6304
ramilandia,1567
rancho alegre,1926
rancho alegre d'oeste,1434
realeza,7308
reboucas,6078
renascenca,3252
reserva,10059
reserva do iguacu,2914
ribeirao claro,4867
ribeirao do pinhal,5956
rio azul,5544
rio bom,1639
rio bonito do iguacu,5731
rio branco do ivai,1704
rio branco do sul,12683
rio negro,11920
rolandia,22375
roncador,5960
rondon,3874
rosario do ivai,2885
sabaudia,2658
salgado filho,2380
salto do itarare,2642
salto do lontra,5689
santa amelia,1961
santa cecilia do pavao,1865
santa cruz de monte castelo,3675
santa fe,4149
santa helena,9451
santa ines,905
santa isabel do ivai,4135
santa izabel do oeste,5201
santa lucia,2000
santa maria do oeste,5515
santa mariana,6040
santa monica,1461
santa tereza do oeste,4899
santa terezinha de itaipu,7945
santana do itarare,2509
santo antonio da platina,17630
santo antonio do caiua,1175
santo antonio do paraiso,1164
santo antonio do sudoeste,7849
santo inacio,2324
sao carlos do ivai,2703
sao jeronimo da serra,5065
sao joao,5123
sao joao do caiua,2524
sao joao do ivai,6095
sao joao do triunfo,5112
sao jorge do ivai,2799
sao jorge do patrocinio,3260
sao jorge d'oeste,4275
sao jose da boa vista,3111
sao jose das palmeiras,1716
sao jose dos pinhais,89465
sao manoel do parana,979
sao mateus do sul,16030
sao miguel do iguacu,10935
sao pedro do iguacu,3338
