city,total
abreu e lima,34732
afogados da ingazeira,12813
afranio,5777
agrestina,7754
agua preta,9801
aguas belas,13282
alagoinha,5255
alianca,13281
altinho,8480
amaraji,7586
angelim,3393
aracoiaba,5125
araripina,26126
arcoverde,22608
barra de guabiraba,3968
barreiros,12872
belem de maria,3894
belem de sao francisco,6665
belo jardim,26680
betania,4351
bezerros,22911
bodoco,11079
bom conselho,15132
bom jardim,13819
bonito,13556
brejao,3216
brejinho,2678
brejo da madre de deus,14202
buenos aires,4171
buique,15693
cabo de santo agostinho,57799
cabrobo,9342
cachoeirinha,6526
caetes,8693
calcado,4558
calumbi,2645
camaragibe,50873
camocim de sao felix,5650
camutanga,3311
canhotinho,9023
capoeiras,7092
carnaiba,6805
carnaubeira da penha,3341
carpina,24126
caruaru,100554
casinhas,4869
catende,10796
cedro,3489
cha de alegria,3825
cha grande,7466
condado,7917
correntes,5899
cortes,4313
cumaru,10825
cupira,8728
custodia,12174
dormentes,5648
escada,20131
exu,11402
feira nova,6789
fernando de noronha,796
ferreiros,4015
flores,8047
floresta,8194
frei miguelinho,5317
gameleira,8029
garanhuns,43616
gloria do goita,9740
goiana,26171
granito,2188
gravata,26521
iati,6468
ibimirim,8383
ibirajuba,2923
igarassu,31557
iguaraci,4393
ilha de itamaraca,5623
inaja,4653
ingazeira,1850
ipojuca,21195
ipubi,8296
itacuruba,1262
itaiba,10122
itambe,12609
itapetim,5825
itapissuma,7361
itaquitinga,5177
jaboatao dos guararapes,225745
jaqueira,3931
jatauba,5379
jatoba,5018
joao alfredo,10341
joaquim nabuco,5824
jucati,3754
jupi,4591
jurema,4909
lagoa do carro,4847
lagoa do itaenga,6993
lagoa do ouro,4138
lagoa dos gatos,6000
lagoa grande,6875
lajedo,12793
limoeiro,21082
macaparana,7658
machados,3335
manari,4395
maraial,4780
mirandiba,4450
moreilandia,3895
moreno,18788
nazare da mata,10427
olinda,134513
orobo,8110
oroco,3591
ouricuri,19878
palmares,19270
palmeirina,3560
panelas,8895
paranatama,3975
parnamirim,6947
passira,11060
paudalho,16433
paulista,103251
pedra,7339
pesqueira,21399
petrolandia,10030
petrolina,82512
pocao,4236
pombos,9071
primavera,4167
quipapa,7742
quixaba,2515
recife,514689
riacho das almas,7585
ribeirao,15193
rio formoso,6944
saire,5730
salgadinho,2638
salgueiro,19033
saloa,5906
sanharo,6231
santa cruz,3984
santa cruz da baixa verde,4050
santa cruz do capibaribe,22388
santa filomena,4439
santa maria da boa vista,12605
santa maria do cambuca,4322
santa terezinha,3645
sao benedito do sul,3338
sao bento do una,17093
sao caitano,13436
sao joao,7467
sao joaquim do monte,7733
sao jose da coroa grande,4833
sao jose do belmonte,11124
sao jose do egito,11528
sao lourenco da mata,34015
sao vicente ferrer,5729
serra talhada,26299
serrita,6002
sertania,11337
sirinhaem,11440
solidao,1993
surubim,19899
tabira,9297
tacaimbo,5299
tacaratu,6100
tamandare,6220
taquaritinga do norte,7640
terezinha,2323
terra nova,2737
timbauba,21464
toritama,8886
tracunhaem,4385
trindade,7977
triunfo,5395
tupanatinga,7221
tuparetama,2965
venturosa,4797
verdejante,3090
vertente do lerio,3111
vertentes,5596
vicencia,9766
vitoria de santo antao,44608
xexeu,4465
