city,total
acaua,2040
agricolandia,2033
agua branca,5552
alagoinha do piaui,2849
alegrete do piaui,1933
alto longa,4606
altos,14198
alvorada do gurgueia,1495
amarante,5991
angical do piaui,2863
anisio de abreu,3019
antonio almeida,1085
aroazes,2370
arraial,1711
assuncao do piaui,2569
avelino lopes,4098
baixa grande do ribeiro,2800
barra d'alcantara,1583
barras,14825
barreiras do piaui,963
barro duro,2526
batalha,8928
bela vista do piaui,1280
belem do piaui,1022
beneditinos,3531
bertolinia,1942
betania do piaui,3263
boa hora,1827
bocaina,1795
bom jesus,5598
bom principio do piaui,1695
bonfim do piaui,2078
boqueirao do piaui,1900
brasileira,2936
brejo do piaui,1616
buriti dos lopes,6458
buriti dos montes,2898
cabeceiras do piaui,3339
cajazeiras do piaui,921
cajueiro da praia,2314
caldeirao grande do piaui,2021
campinas do piaui,2009
campo alegre do fidalgo,1667
campo grande do piaui,1979
campo largo do piaui,1937
campo maior,16543
canavieira,1487
canto do buriti,7525
capitao de campos,3772
capitao gervasio oliveira,1264
caracol,3101
caraubas do piaui,1804
caridade do piaui,1466
castelo do piaui,6489
caxingo,1408
cocal,8741
cocal de telha,1579
cocal dos alves,2150
coivaras,1343
colonia do gurgueia,1801
colonia do piaui,2477
conceicao do caninde,1850
coronel jose dias,1845
corrente,7821
cristalandia do piaui,2089
cristino castro,3316
curimata,3562
currais,1603
curral novo do piaui,1472
curralinhos,1356
demerval lobao,4780
dirceu arcoverde,2537
dom expedito lopes,2474
dom inocencio,3387
domingos mourao,1524
elesbao veloso,5891
eliseu martins,1534
esperantina,12497
fartura do piaui,1872
flores do piaui,1779
floresta do piaui,883
floriano,18459
francinopolis,2126
francisco ayres,1839
francisco macedo,923
francisco santos,2877
fronteiras,3993
geminiano,1893
gilbues,3406
guadalupe,3435
guaribas,1732
hugo napoleao,1479
ilha grande,2945
inhuma,5738
ipiranga do piaui,3376
isaias coelho,2788
itainopolis,4494
itaueira,4017
jacobina do piaui,2333
jaicos,6133
jardim do mulato,1531
jatoba do piaui,1823
jerumenha,1674
joao costa,1112
joaquim pires,4854
joca marques,1616
jose de freitas,11812
juazeiro do piaui,1753
julio borges,1715
jurema,1731
lagoa alegre,2611
lagoa de sao francisco,2225
lagoa do barro do piaui,1759
lagoa do piaui,1287
lagoa do sitio,1767
lagoinha do piaui,869
landri sales,2061
luis correia,9061
luzilandia,8918
madeiro,2472
manoel emidio,1933
marcolandia,2425
marcos parente,1486
massape do piaui,2351
matias olimpio,3534
miguel alves,10325
miguel leao,529
milton brandao,2583
monsenhor gil,3529
monsenhor hipolito,2700
monte alegre do piaui,3460
morro cabeca no tempo,1716
morro do chapeu do piaui,2198
murici dos portelas,2350
nazare do piaui,2722
nossa senhora de nazare,1627
nossa senhora dos remedios,2575
nova santa rita,1727
novo oriente do piaui,2498
novo santo antonio,1315
oeiras,11888
olho d'agua do piaui,927
padre marcos,2873
paes landim,1460
pajeu do piaui,1248
palmeira do piaui,1864
palmeirais,4208
paqueta,1712
parnagua,3337
parnaiba,46855
passagem franca do piaui,1501
patos do piaui,2245
paulistana,6171
pavussu,1703
pedro ii,13038
pedro laurentino,801
picos,26854
pimenteiras,4460
pio ix,6462
piracuruca,9088
piripiri,22273
porto,3456
porto alegre do piaui,856
prata do piaui,1135
queimada nova,3253
redencao do gurgueia,2487
regeneracao,6054
riacho frio,1395
ribeira do piaui,1387
ribeiro goncalves,1990
rio grande do piaui,2353
santa cruz do piaui,2237
santa cruz dos milagres,1302
santa filomena,1999
santa luz,1817
santa rosa do piaui,1904
santana do piaui,1866
santo antonio de lisboa,2130
santo antonio dos milagres,662
santo inacio do piaui,1317
sao braz do piaui,1753
sao felix do piaui,1433
sao francisco de assis do piaui,1490
sao francisco do piaui,2284
sao goncalo do gurgueia,826
sao goncalo do piaui,1761
sao joao da canabrava,1690
sao joao da fronteira,1797
sao joao da serra,2483
sao joao da varjota,1566
sao joao do arraial,2077
sao joao do piaui,6361
sao jose do divino,1674
sao jose do peixe,1240
sao jose do piaui,2801
sao juliao,2300
sao lourenco do piaui,1737
sao luis do piaui,988
sao miguel da baixa grande,786
sao miguel do fidalgo,1064
sao miguel do tapuio,7131
sao pedro do piaui,4565
sao raimundo nonato,10901
sebastiao barros,1640
sebastiao leal,1595
sigefredo pacheco,3657
simoes,5138
simplicio mendes,3939
socorro do piaui,1696
sussuapara,2079
tamboril do piaui,1045
tanque do piaui,902
teresina,253428
uniao,14071
urucui,6207
valenca do piaui,7629
varzea branca,2131
varzea grande,1657
vera mendes,1314
vila nova do piaui,1313
wall ferraz,1493
