city,total,married,separated,divorced,widow,single
acari,9186,2940,25,46,441,5735
acu,38418,14446,428,241,1367,21936
afonso bezerra,8731,4021,113,41,433,4122
agua nova,2067,936,12,3,96,1020
alexandria,11267,5077,194,42,499,5456
almino afonso,4165,1795,40,9,160,2161
alto do rodrigues,7724,2454,97,33,293,4847
angicos,9451,3403,81,71,411,5485
antonio martins,5507,2569,76,10,256,2595
apodi,27479,12186,289,252,873,13879
areia branca,18382,6273,271,377,1156,10305
ares,8717,2762,92,54,414,5395
augusto severo,7102,1845,91,27,249,4890
baia formosa,6109,2062,28,53,170,3796
barauna,14519,5347,83,140,529,8421
barcelona,3159,1096,10,9,124,1920
bento fernandes,3578,1299,35,11,120,2112
bodo,2178,508,6,0,78,1586
bom jesus,6622,2256,90,72,355,3849
brejinho,7976,2438,78,18,264,5178
caicara do norte,4560,1478,12,30,246,2794
caicara do rio do vento,2222,795,5,9,65,1349
caico,47146,17068,579,363,1915,27221
campo redondo,7340,2700,45,36,330,4228
canguaretama,20054,5073,81,114,686,14099
caraubas,15274,5925,149,149,769,8282
carnauba dos dantas,5301,1776,28,22,238,3237
carnaubais,6561,2599,58,17,247,3641
ceara-mirim,47758,16237,442,285,2155,28640
cerro cora,8660,2717,33,9,285,5617
coronel ezequiel,4240,1410,28,2,139,2661
coronel joao pessoa,3558,1682,98,24,153,1602
cruzeta,6684,2362,33,18,298,3973
currais novos,33279,13229,448,282,1498,17823
doutor severiano,5183,2227,53,8,246,2649
encanto,3840,1719,36,11,213,1862
equador,4455,1613,42,34,151,2615
espirito santo,8111,2620,90,84,415,4902
extremoz,14959,4932,191,177,458,9200
felipe guerra,4606,2042,54,40,189,2281
fernando pedroza,2147,751,4,24,105,1263
florania,7339,2611,63,111,326,4228
francisco dantas,2433,1109,40,5,90,1188
frutuoso gomes,3680,1508,34,9,147,1982
galinhos,1331,432,7,9,16,868
goianinha,13487,4009,154,67,575,8682
governador dix-sept rosado,9315,3914,168,114,435,4684
grossos,6627,2758,59,50,285,3476
guamare,6216,2434,8,25,244,3505
ielmo marinho,7784,2454,14,27,282,5008
ipanguacu,9456,3174,57,120,315,5790
ipueira,1585,396,0,0,61,1127
itaja,4918,1664,28,14,200,3013
itau,4235,1659,22,3,174,2376
jacana,6044,1891,101,27,291,3735
jandaira,4687,1638,0,9,186,2854
janduis,4550,1195,67,21,161,3106
januario cicco,5845,1886,42,29,192,3696
japi,4749,1466,55,15,187,3026
jardim de angicos,2091,1025,9,21,71,966
jardim de piranhas,9661,2403,89,5,307,6857
jardim do serido,10110,4004,50,72,474,5510
joao camara,22279,7509,147,136,832,13655
joao dias,2028,860,0,0,86,1082
jose da penha,4867,2440,77,31,189,2131
jucurutu,14208,4149,140,51,724,9144
lagoa d'anta,4197,1583,6,0,175,2432
lagoa de pedras,4763,1533,43,40,202,2945
lagoa de velhos,2016,603,17,5,33,1358
lagoa nova,9380,2312,64,23,313,6668
lagoa salgada,5131,2191,17,8,214,2701
lajes,7511,2831,134,89,360,4097
lajes pintadas,3614,1160,6,14,141,2293
lucrecia,2585,1008,20,10,104,1444
luis gomes,7247,3362,54,12,280,3540
macaiba,42749,13479,246,379,1631,27015
macau,20930,7846,179,318,1047,11540
major sales,2388,1181,26,19,105,1057
marcelino vieira,6686,3038,41,16,298,3292
martins,6318,2636,53,21,251,3358
maxaranguape,5952,1874,18,17,198,3846
messias targino,2948,883,21,23,108,1913
montanhas,9083,2855,54,52,435,5686
monte alegre,14471,4315,164,43,459,9489
monte das gameleiras,1943,897,3,7,56,980
mossoro,173694,66545,3165,2830,7481,93673
natal,583185,198520,10940,10986,23606,339133
nisia floresta,14457,4441,260,101,556,9099
nova cruz,26196,8796,344,76,976,16004
olho-d'agua do borges,3644,1551,53,0,184,1856
ouro branco,3901,1560,43,33,185,2080
parana,2920,1173,24,4,115,1604
parau,3262,1208,23,5,132,1894
parazinho,3246,1337,12,4,104,1788
parelhas,15647,6110,134,125,620,8658
parnamirim,98239,36850,1772,1803,2691,55123
passa e fica,6503,2703,19,32,318,3431
passagem,2105,967,33,9,93,1003
patu,9024,3088,114,74,458,5290
pau dos ferros,20001,8311,160,125,707,10698
pedra grande,2989,940,10,9,119,1911
pedra preta,2173,900,41,5,43,1184
pedro avelino,6274,1892,53,59,303,3968
pedro velho,10403,3287,97,79,583,6356
pendencias,9177,4028,138,90,498,4424
piloes,2458,862,16,18,85,1477
poco branco,9439,3227,58,24,337,5793
portalegre,5459,2365,40,22,261,2771
porto do mangue,3072,1109,58,18,97,1789
presidente juscelino,5301,1491,20,13,176,3601
pureza,5155,1544,97,5,231,3279
rafael fernandes,3454,1586,66,46,120,1637
rafael godeiro,2429,966,28,14,110,1311
riacho da cruz,2112,861,76,16,87,1072
riacho de santana,3405,1578,13,5,118,1691
riachuelo,4315,1607,55,31,177,2446
rio do fogo,6922,2043,22,18,237,4603
rodolfo fernandes,3564,1588,42,17,105,1812
ruy barbosa,2817,976,9,6,76,1750
santa cruz,24380,8019,236,209,851,15065
santa maria,2946,1056,9,22,112,1747
santana do matos,13274,5001,133,44,539,7558
santana do serido,1926,815,0,11,81,1019
santo antonio,15592,4523,113,32,485,10439
sao bento do norte,2622,1386,32,0,69,1135
sao bento do trairi,2446,684,7,0,34,1721
sao fernando,2667,1241,19,0,83,1324
sao francisco do oeste,2814,1344,17,0,94,1359
sao goncalo do amarante,53267,18658,1049,458,1928,31174
sao joao do sabugi,4735,1277,44,22,167,3226
sao jose de mipibu,26637,7940,196,182,945,17375
sao jose do campestre,9228,2695,64,38,287,6145
sao jose do serido,3087,1241,25,15,115,1692
