city,total
acari,4279
acu,18654
afonso bezerra,4208
agua nova,1040
alexandria,5432
almino afonso,2126
alto do rodrigues,3937
angicos,4390
antonio martins,2840
apodi,14034
areia branca,8712
ares,4383
augusto severo,3301
baia formosa,2857
barauna,7591
barcelona,1530
bento fernandes,1630
bodo,1065
bom jesus,3297
brejinho,4152
caicara do norte,2129
caicara do rio do vento,1047
caico,22278
campo redondo,3753
canguaretama,9753
caraubas,7275
carnauba dos dantas,2792
carnaubais,3373
ceara-mirim,22243
cerro cora,4093
coronel ezequiel,2089
coronel joao pessoa,1753
cruzeta,3287
currais novos,15819
doutor severiano,2433
encanto,1819
equador,2139
espirito santo,4033
extremoz,7608
felipe guerra,2358
fernando pedroza,974
florania,3460
francisco dantas,1243
frutuoso gomes,1742
galinhos,654
goianinha,6120
governador dix-sept rosado,4757
grossos,3444
guamare,3450
ielmo marinho,3804
ipanguacu,4457
ipueira,751
itaja,2437
itau,2216
jacana,2987
jandaira,2309
janduis,1927
januario cicco,2964
japi,2443
jardim de angicos,1061
jardim de piranhas,4739
jardim do serido,5001
joao camara,10642
joao dias,1118
jose da penha,2428
jucurutu,6877
lagoa d'anta,1996
lagoa de pedras,2430
lagoa de velhos,985
lagoa nova,4500
lagoa salgada,2609
lajes,3724
lajes pintadas,1762
lucrecia,1289
luis gomes,3410
macaiba,21347
macau,10635
major sales,1214
marcelino vieira,3285
martins,3129
maxaranguape,2921
messias targino,1531
montanhas,4281
monte alegre,7110
monte das gameleiras,1094
mossoro,82838
natal,269897
nisia floresta,7368
nova cruz,12334
olho-d'agua do borges,1792
ouro branco,1804
parana,1322
parau,1611
parazinho,1685
parelhas,7568
parnamirim,51628
passa e fica,3326
passagem,1074
patu,4464
pau dos ferros,9777
pedra grande,1464
pedra preta,1125
pedro avelino,2877
pedro velho,4870
pendencias,4619
piloes,1216
poco branco,4435
portalegre,2615
porto do mangue,1692
presidente juscelino,2599
pureza,2606
rafael fernandes,1886
rafael godeiro,1235
riacho da cruz,957
riacho de santana,1714
riachuelo,2159
rio do fogo,3513
rodolfo fernandes,1748
ruy barbosa,1316
santa cruz,11852
santa maria,1506
santana do matos,6165
santana do serido,1019
santo antonio,7601
sao bento do norte,1453
sao bento do trairi,1251
sao fernando,1331
sao francisco do oeste,1488
sao goncalo do amarante,26802
sao joao do sabugi,2092
sao jose de mipibu,13045
sao jose do campestre,4374
sao jose do serido,1515
sao miguel,7681
sao miguel de touros,2664
sao paulo do potengi,5377
sao pedro,2582
sao rafael,3344
sao tome,4267
sao vicente,2381
senador eloi de souza,1921
senador georgino avelino,1300
serra de sao bento,2130
serra do mel,3325
serra negra do norte,2881
serrinha,2776
serrinha dos pintos,1917
severiano melo,4197
sitio novo,1728
taboleiro grande,822
taipu,3908
tangara,4605
tenente ananias,3525
tenente laurentino cruz,1760
tibau,1270
tibau do sul,2855
timbauba dos batistas,893
touros,10589
triunfo potiguar,1440
umarizal,4454
upanema,4368
varzea,3232
venha-ver,1186
vera cruz,3296
vicosa,556
vila flor,908
