city,total,has_children,children_born,children_borned_live,children_borned_dead
agua santa,1678,1117,3924,3845,79
agudo,7209,5006,14519,14023,497
ajuricaba,3294,2229,7358,7242,116
alecrim,3541,2411,9994,9633,361
alegrete,35016,22206,73136,70698,2437
alegria,2191,1510,5709,5534,176
alpestre,4143,2769,12306,11886,420
alto alegre,896,605,2211,2161,50
alto feliz,1189,807,2735,2643,92
alvorada,73592,49098,151660,145031,6629
amaral ferrador,2250,1523,5367,5106,260
ametista do sul,2732,1920,7614,7336,278
andre da rocha,455,297,934,922,12
anta gorda,2714,1772,6234,6107,128
antonio prado,5460,3561,11146,10950,196
arambare,1593,1130,3768,3635,134
ararica,1566,1096,3097,3020,77
aratiba,2949,2003,6848,6716,132
arroio do meio,7179,4587,13873,13489,383
arroio do sal,2161,1493,4616,4453,163
arroio do tigre,4983,3289,11590,11248,342
arroio dos ratos,5619,3760,12093,11541,552
arroio grande,7833,5216,15857,15312,545
arvorezinha,4156,2751,10057,9774,283
augusto pestana,3539,2384,7442,7201,241
aurea,1630,1054,3576,3420,156
bage,51377,33410,101187,97839,3348
balneario pinhal,2966,2060,6432,6242,190
barao,2211,1412,5030,4915,115
barao de cotegipe,2878,1876,7049,6827,222
barao do triunfo,2469,1681,6372,6103,269
barra do guarita,1196,811,3944,3830,114
barra do quarai,1383,900,2862,2762,100
barra do ribeiro,5015,3358,10076,9690,387
barra do rio azul,971,621,2261,2230,31
barra funda,944,568,1870,1828,42
barracao,2267,1480,5951,5634,316
barros cassal,4355,2870,11763,11177,586
benjamin constant do sul,984,619,2551,2423,128
bento goncalves,39452,24761,67332,65517,1815
boa vista das missoes,852,610,2410,2256,154
boa vista do burica,2784,1835,6201,6091,110
boa vista do sul,1194,815,2818,2764,53
bom jesus,4878,3254,11915,11508,407
bom principio,3827,2404,7655,7478,177
bom progresso,1095,778,2745,2657,88
bom retiro do sul,4547,3052,9666,9360,307
boqueirao do leao,3026,2049,7483,7244,240
bossoroca,3081,2059,7044,6810,234
braga,1724,1154,4684,4542,142
brochier,1837,1281,3969,3890,78
butia,8483,5654,19019,18308,711
cacapava do sul,15032,9684,31457,30423,1035
cacequi,6338,4177,15433,14903,530
cachoeira do sul,38569,24896,79037,76228,2810
cachoeirinha,45379,29751,84852,82495,2356
cacique doble,1952,1229,4836,4705,132
caibate,3064,2048,7881,7564,318
caicara,2230,1494,5849,5681,167
camaqua,25152,16966,57026,54387,2639
camargo,1042,672,2393,2311,82
cambara do sul,2666,1866,6503,6298,205
campestre da serra,1263,867,3115,3014,101
campina das missoes,2965,2068,7229,7118,111
campinas do sul,3520,2341,8290,8128,162
campo bom,22672,14793,41831,40559,1271
campo novo,2713,1803,6767,6408,359
campos borges,1551,972,3864,3746,117
candelaria,12564,8784,26062,25144,918
candido godoi,2995,2015,7012,6892,120
candiota,3103,2114,6041,5779,263
canela,13857,8951,28142,27172,970
cangucu,21246,14194,46017,44456,1561
